title,contents,url,source_site,crawled_at,fingerprint,metadata
제1장 총칙 제1조(목적),이 법은 근로자에 대하여 임금의 최저수준을 보장하여 근로자의 생활안정과 노동력의 질적 향상을 꾀함으로써 국민경제의 건전한 발전에 이바지하는 것을 목적으로 한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,20e71bb7faadfd8a839041aaccadb9edfdaf214060dc699b82f2e5be4ca7f744,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제1장 총칙', 'article': '제1조(목적)'}"
제1장 총칙 제2조(정의),"이 법에서 “근로자”, “사용자” 및 “임금”이란 「근로기준법」 제2조에 따른 근로자, 사용자 및 임금을 말한다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,9998c00d36b16879ae2e98ef9a3b7d361d4d1504ca1d3b5c7b738aecc896a922,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제1장 총칙', 'article': '제2조(정의)'}"
제1장 총칙 제3조(적용 범위),"① 이 법은 근로자를 사용하는 모든 사업 또는 사업장(이하 “사업”이라 한다)에 적용한다. 다만, 동거하는 친족만을 사용하는 사업과 가사(家事) 사용인에게는 적용하지 아니한다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,70078e548cbfcddbed638d8fc0a64f7732dce751041fde1e7ef2db03ca4890d9,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제1장 총칙', 'article': '제3조(적용 범위)'}"
제2장 최저임금 제4조(최저임금의 결정기준과 구분),"① 최저임금은 근로자의 생계비, 유사 근로자의 임금, 노동생산성 및 소득분배율 등을 고려하여 정한다. 이 경우 사업의 종류별로 구분하여 정할 수 있다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,835115f3c27305dcc1fc84386c879096369e36d6a8e3f43a6cee7302e620ce30,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제4조(최저임금의 결정기준과 구분)'}"
제2장 최저임금 제5조(최저임금액),① 최저임금액(최저임금으로 정한 금액을 말한다. 이하 같다)은 시간ㆍ일(日)ㆍ주(週) 또는 월(月)을 단위로 하여 정한다. 이 경우 일ㆍ주 또는 월을 단위로 하여 최저임금액을 정할 때에는 시간급(時間給)으로도 표시하여야 한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,eb05abc99dd9df5b6d1cb249094419a3b5bdd0bb36ab4dc74c476be9d3f1d7ce,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제5조(최저임금액)'}"
제2장 최저임금 제5조의2(최저임금의 적용을 위한 임금의 환산),최저임금의 적용 대상이 되는 근로자의 임금을 정하는 단위기간이 제5조제1항에 따른 최저임금의 단위기간과 다른 경우에 해당 근로자의 임금을 최저임금의 단위기간에 맞추어 환산하는 방법은 대통령령으로 정한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,c6614963616db0ae4a667d21ebd68189210a1cfbfd86baba6217b027d3823c48,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제5조의2(최저임금의 적용을 위한 임금의 환산)'}"
제2장 최저임금 제6조(최저임금의 효력),① 사용자는 최저임금의 적용을 받는 근로자에게 최저임금액 이상의 임금을 지급하여야 한다.,https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,4e63b12fab4021df4478277af0d8673efa8d175d606d00e5dc7a641234573bd5,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제6조(최저임금의 효력)'}"
제2장 최저임금 제6조의2(최저임금 산입을 위한 취업규칙 변경절차의 특례),"사용자가 제6조제4항에 따라 산입되는 임금에 포함시키기 위하여 1개월을 초과하는 주기로 지급하는 임금을 총액의 변동 없이 매월 지급하는 것으로 취업규칙을 변경하려는 경우에는 「근로기준법」 제94조제1항에도 불구하고 해당 사업 또는 사업장에 근로자의 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합, 근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자의 과반수의 의견을 들어야 한다.",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,88b97e5164c102ffa063460b9ef72aad88798d1163c0f6d26313f8d49650613e,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제6조의2(최저임금 산입을 위한 취업규칙 변경절차의 특례)'}"
제2장 최저임금 제7조(최저임금의 적용 제외),"다음 각 호의 어느 하나에 해당하는 사람으로서 사용자가 대통령령으로 정하는 바에 따라 고용노동부장관의 인가를 받은 사람에 대하여는 제6조를 적용하지 아니한다. <개정 2010. 6. 4., 2020. 5. 26.>",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,e9e25fef0982563a29933123a267c449cb360d41e2aa963375710126d1d7d0d7,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제2장 최저임금', 'article': '제7조(최저임금의 적용 제외)'}"
제3장 최저임금의 결정 제8조(최저임금의 결정),"① 고용노동부장관은 매년 8월 5일까지 최저임금을 결정하여야 한다. 이 경우 고용노동부장관은 대통령령으로 정하는 바에 따라 제12조에 따른 최저임금위원회(이하 “위원회”라 한다)에 심의를 요청하고, 위원회가 심의하여 의결한 최저임금안에 따라 최저임금을 결정하여야 한다. <개정 2010. 6. 4.>",https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%B5%9C%EC%A0%80%EC%9E%84%EA%B8%88%EB%B2%95,law_minimum_wage,1757409333,32df43cd34c02dac2996e4649acdf567ca0f0fc9640e61183e3deeb375fb7694,"{'source': 'law.go.kr', 'category': 'statute', 'article_type': 'law_article', 'chapter': '제3장 최저임금의 결정', 'article': '제8조(최저임금의 결정)'}"
