request_id,metadata
request-0,"{'상담제목': {'raw_text': '중도 퇴사 후 근로소득 신고되지 않아 고용허가연장 안된 노동자 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '중도 퇴직하는 외국인 근로자의 추가 납부세액 사례', 'Embedding': []}, '진행_과정_및_결과': '2023-09-18\n- 고용노동부에서 외국인근로자의 2020년 종합소득세 체납을   확인하여 고용허가제 연장 불가능 안내받았음 \n 회사 담당자하고 여주세무서에 방문 및 체납된 세금의 원인 상담 내용을 통역 요청으로 전화 상담 \n타행송금; 자동차세-7.360원, 2021년 주민세-11,330원, 2022년 주민세-11,330원, 2022년 지방세 44,630원, 2022년 소득세 – 476,590원, 2021년 지방세 173,140원, \n공과금 2020년 1,808,950원 안내 통역함\n\n2020-09-20\n- 2021년에 연말정산 신청하여 469,520원 환급받았음 \n- 체류자격 연장을 위해서 합계 2,533,330원을 납부함 \n공과금 납부 내용을 상담하러 이천세무서에 동시 통역 가능한지 문의로 전화 상담 \n10월 21일 오전 10시에 이천세무서에 방문 예정 안내함\n\n2023-09-21\n- 이천세무서 3층 소득세과에 방문 상담 내용 통번역 함\n- 1,808,000원 2020년도의 체납 안내: \n외국인근로자의 2020년에 중도에 퇴직후에 근로소득 신고하지 않아서 추가 체납 확인 \n* 근로자가 중도에 퇴직하는 경우 원천징수의무자(회사)는 퇴직하는 달의 근로소득을 지급하는 때에 근로소득 세액을 징수함.\n * 따라서, 중도 퇴직하는 근로자의 경우 퇴직하는 달의 급여를 받기 전 회사에 근로소득자의 소득·세액공제신고서와 증빙서류를 제출하여야 함  \n* 관련 법령: 소득세법 제137조 내용 안내 통역 \n\n2023-09-27\n - 체류지원 문의로 전화 상담 \n- 고용허가제 연장 확인함 \n- 11월 22일에 출입국사무소 방문예약함 \n- 외국인등록증은 10월 16일 만료 예정 \n- 회사 담당자가 바쁘셔서 출입국사무소에 방문 예약 기간에 갈 수 있다고 함 \n- 출입국사무소에 10월 16일 이후에 방문하면 문제가 생기지 않는지 문의로 전화\n*문의에 대한 답\n- 외국인노동자는 고용허가 받은 후에 출입국사무소에서도 인정함 안내\n- 고용허가 발급 후에 고용주 없이 외국인노동자는 출입국사무소에 방문 가능 안내\n민원실에서 내담자가 신청 중임 확인 안내 통번역 완료 \n\n2023-10-11\n - 타 기관 의뢰: 통번역 요청으로 A 회사에 이동 상담 \n외국인노동자는 10월 11일까지 체류자격 연장이 되지 않아서 고용주와 외국인노동자 간의 대화 내용 통번역: \n- 고용허가는 2025년 8월까지 연장 확인 \n- 23.09.13 출입국사무소에 체류자격 연장 신청함 \n- 종합소득 신고를 안 해서 체납 납부했음 \n- 23.10.15 체류자격 만료 예정이지만 법무부에서 결과를 기다려야 함 \n- 만약 법무부에서 체류자격 연장 불가능한다면 소송 진행 가능함 안내를 통번역함\n\n2023.11.02\n -  외국인노동자부터 전화 상담 \n - 외국인 체류자격 연장 완료 확인 \n - 사회통합프로그램 사전평가 신청 요청 \n - 사회통합프로그램 사전평가 신청 도왔음 \n - 사전평가 시험 기간 안내하여 상담을 종료함', '내담자_정보': {'거주지역': '여주시', '국적': '우즈베키스탄', '체류자격': 'E-9', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '체류자격', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-1,"{'상담제목': {'raw_text': '국민연금 반환일시금 신청 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '2023년 8월 중순 미등록체류 상황에서 본국으로 강제출국 당한 필리핀 국적의 이주 노동자로. 2006년 최초 한국에 입국했을 당시 E-9비자였음. 강제 출국하는 과정에서 국민연금 반환일시금 신청을 하지 못함.\n필리핀 본국에서 수령 할 수 있는 방법을 확인하였으나, 수령방법이 없어 23년 9월 본 센터에 지원을 요청함. 국민연금관리공단 남양주지사 반환일시금 담당자에게 문의 후 구비서류 및 대사관 공증에 대한 안내를 받고 노동자로부터 위임 받아 대리접수 가능함을 확인.', 'Embedding': []}, '진행_과정_및_결과': '11월 2일\n1. 노동자로부터 우편으로 관련서류 수령.\n 1) 외국인등록증 사본\n 2) 신규 여권 사본\n 3) 국민연금 반환일시금 청구서(영문) -> 대사관 공증 필요\n 4) 국민연금 해외송금 신청서(영문) -> 대사관 공증 필요\n 5) 해외계좌 서류 (Bank statement)\n 6) 대리접수자 위임장\n\n2. 국민연금관리공단 남양주지사 방문. 반환일시금담당자에게 서류 제출함.\n3. 담당자 소멸시효는 출국일 기준 5년으로 유효함을 안내해 주었음. 대사관 공증에 대한 발급번호 진위여부 확인 후 특이사항 없이 서류접수 완료.\n4. 담당자는 해외에 있는 노동자에게 국민연금 콜센터에서 직접 통화할 예정이며, 11월 이내 반환일시금 지급될 예정임을 안내 받았음.\n5. 노동자에게 접수 완료 안내 후 상담종료.\n\n해결\n1. 국민연금 반환일시금 접수지원 완료.', '내담자_정보': {'거주지역': '남양주시', '국적': '필리핀', '체류자격': '미등록', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '기타', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-2,"{'상담제목': {'raw_text': '외국인아동 교육권 보장을 위한 체류자격 부여자(G-1-85) 외국인등록 절차 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '법무부 장기 미등록체류 이주아동 구제대책으로 23년 4월에 접수한 필리핀 국적의 아동. 부모님의 유전자 검사를 진행하였으며, 친부, 친모로 확인되어 벌금 납부 후 외국인등록 절차를 진행해야 하는 상황. 금일 사범과 방문 예정이며, 동행 지원을 요청.', 'Embedding': []}, '진행_과정_및_결과': '11월 1일\n1. 양주출입국 사범과 방문.\n2. 담당자로부터 유전자 검사 결과 확인 받았으며, 벌금 납부 절차를 진행.\n3. 1층 우리은행 창구에서 벌금 1800만원 납부 후 영수증을 제출 하였음.\n4. 1층 접수과에 방문하여 최종적으로 관련서류를 제출하고 외국인등록에 대한 안내를 받았음. 어머니의 외국인등록증 사진변경 및 아버지 이혼서류 원본 회수를 요청.\n5. 접수과 담당자, 서류접수 완료됨을 확인. 1주일 뒤에 다시 어머니만 재방문 할 것을 안내. 11월 8일 오후 3시에 방문하기로 함. \n\n11월 8일\n1. 양주출입국 접수과 방문.\n2. 담당자로부터 외국인등록 절차를 진행.\n3. 유의사항에 대해 안내 받았으며, 메시지 발송을 위해 추후 아버지와 함께 출입국에 다시 방문할 것을 안내 받음.\n4. 외국인등록증 수령은 우편으로 접수.\n5. 기존에 진행하였던 사례는 외국인등록을 한 번에 진행하였으나, 변경된 담당자는 2회~3회에 걸쳐 재방문 안내를 하는 상황이라  상당히 불편한 상황. 무엇보다도 비자 획득이 되지 않는 것인지 어머니가 불안함을 호소.\n6. 담당 직원에게 항의를 하려 하였으나, 이주아동 어머니의 만류로 하지 않기로 함.\n7. 결국 3일 안에 메시지를 받고 나서 아버지와 함께 지문등록을 위해 재방문 하기로 함.\n\n11월 10일\n1. 양주출입국으로부터 메시지를 수령.\n2. 재방문하여 지문등록을 진행하였음.\n3. 이주가정 외국인등록 지원 완료.', '내담자_정보': {'거주지역': '남양주시', '국적': '필리핀', '체류자격': '미등록', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '체류자격', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-3,"{'상담제목': {'raw_text': '단체행동을 통해 체불임금 해결한 사례', 'Embedding': []}, '상담내용요약': {'raw_text': '사례자 안산시 한 직장에서 근무하는데, 회사에서 잔업수당 등을 상습적으로 속이고 있다고 생각하여 노동부 소송 가능한지 의뢰해옴, 그 과정에서 임금 체불로 사내 이주노동자 전체가 보이코트를 하기로 함에 동참하여 회장님과의 단체협상을 통해 급여를 받기도 함. 건강 관련해서는 치아에 문제가 있어서 병원 동반하여 진료 통역하여 치료를 진행함.', 'Embedding': []}, '진행_과정_및_결과': '8월 14일\n(전화상담) 회사에서 급여계산을 잘못해서 주고 야간 수당을 안주고 있어서 급여 계산 도움을 요청해옴. 급여도 매월 몇일 씩 밀려서 주고 있음. 해결방법 문의해옴.  \n\n8월 16일\n(전화상담) 근로자가 제공하여준 일별 근로시간을 토대로 7월 급여 계산 내용 통보함, 계산해 보니 약간의 차이가 있긴하나 실제적으로 회사 급여 계산에는 큰 이상이 없음을 인지시킴. \n\n9월 19일\n(내방 상담) 회사에서 급여가 지체되고 있어서 고민됨, 한국인들은 이미 지급하고는 외국인근로자들에게만 지급을 안함. 외국인근로자들 끼리 협의하여서 단체로 내일 보이콧하기로 한 사항 참여 해야할 지 상담 문의해옴. \n\n9월 20일\n(전화 상담) 오늘 이주노동자들 오전에 단체 보이콧 단행, 회장과의 대화 25일까지 급여 지급하기로 하고 업무 재개함. \n\n11월 20일\n회사에서는 급여를 제때 주려고 노력하고 있고, 치과진료 11월18일까지 추가로 진료하여 건강에 안정을 찾아서 잘 일하고 있음.', '내담자_정보': {'거주지역': '안산시', '국적': '필리핀', '체류자격': 'E-9', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '임금체불', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-4,"{'상담제목': {'raw_text': '취업가능기간이 짧게 남아 취업이 어려운 노동자 구직활동 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '상기 사례자는 한국 체류기간(노동가능기간)이 1년 4개월로 비교적 짧게 남아서 면접 본 회사마다 채용을 기피하고 있어서 채용이 어려운 상황에 쉼터에 입소하여 구직을 적극적으로 상담하고 도와주어서 취업에 성공한 사례임.', 'Embedding': []}, '진행_과정_및_결과': '4월 2일\n(내방상담) 현재 다니는 2번째 회사에도 일이 없어서 사업장변경 신청하여 현재 이직 중인데, 쉼터 입소를 문의해 왔으나, 현재 쉄터 자리가 없는 상황이어서 안산역 근처에 이직하는 친구 2명과 자취방을 얻어서 구직 중임. 보증금 50만원에 월 30만원 월세 3개월만 계약함. \n\n9월 11일\n(방문 상담) 어렵사리 새로 입사한 회사도 3개월 동안 적응을 못하고 8월 말부터 재 이직하여 구직 중인데, 현재는 고시원에 혼자 머물며 구직 중임, 9월 23일 고시원 계약 만료로 이후 혹은 이전에라도 생활비 부족으로 쉼터 입소를 원함. \n\n9월 20일-10월 18일 \n(내방, 방문상담 병행) 노동부 알선 회사 방문하여 면접을 수차례 진행하였으나 일할수 있는 기간이 짧다는 이유로 채용을 거부 당한 상황임. 현재 합법적인 구직 기간이 7일밖에 안남아서 구직 실패시 출국 당할 위기에 처함에 따라 도움 요청해옴. \n\n10월 21일\n(방문 상담) 다음주 화요일이 구직 마지막 날인데 아직 취업이 확정되지 않음. 다행히 월요일에 등록시켜 주겠다는 회사를 찾아서 월요일에 면접 보기로 함. \n\n10월 24일\n(전화 상담) 오늘 구직 마지막 날이어서, 파주, 인천 고용지원센터를 방문하였으나 알선 받지 못함.  마지막으로 의정부 고용지원센터 방문하여 도움 요청했는데 노동부 담당자의 적극적인 도움으로 남양주지역 한 가구 회사에 취업이 됨. 내일 근로계약 체결하기로 함. \n\n10월 26일\n(방문 상담)  오늘 남양주 회사에 취업 완료되어 내일부터 일 시작 하기로 함.  오늘 쉼터 퇴소하고 회사 기숙사로 이동함. 짐이 많아서 한꺼번에 가져갈 수 없어서 남은 짐은 토요일에 가지러 오기로 함. \n\n10월 29일\n(내방 상담) 쉼터 방문하여 남은 짐 가지고 회사 기숙사로 이동함. 한국에서의 1년 4개월 잔여기간을 일할 수 있게 됨. 이후에 성실 근로자로 연장하길 희망함. \n\n11월 20일\n현재까지 회사에 잘적응하며 일하고 있음. 회사와 협의하여 내년에 근로계약 만료 전에 성실근로자 신청 하길 원함.', '내담자_정보': {'거주지역': '시흥시', '국적': '필리핀', '체류자격': 'E-9', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '고용허가', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-5,"{'상담제목': {'raw_text': '청년전세보증보험료 환급 문의', 'Embedding': []}, '상담내용요약': {'raw_text': 'CH가 센터를 방문하여 청년전세보증보험료 환급 문자를 보여주면서 받을 수 있는지 문의함', 'Embedding': []}, '진행_과정_및_결과': '11월 13일\n-  CH가 센터를 방문하여 청년전세보증보험료 환급 문자를 보여주면서 받을 수 있는지 문의함.\n-  HUG에 문의해 보니 국토부에서 문자 보내라고 해서 보낸것이고 자세한 것은 국토부나 관할 지자체에 문의해 보라고 함.\n-  인천시청에 문의하여 가능하다고 함.\n\n11월 14일\n-CH와 동행하여 인천시청에 방문하여 서류 접수함.\n- 서류 접수 확인하고  돌아옴.', '내담자_정보': {'거주지역': '부천시', '국적': '중국', '체류자격': 'F-5', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '기타', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-6,"{'상담제목': {'raw_text': '사업주가 퇴사일을 잘못 신고하여 출국대상자가 된 노동자 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '4월17일까지 일을 했고, 4월18일 눈 수술을 받은 후 요양이 필요해서 5월15일에 사업주에게 외국인력상담센터 3자 통화를 통해 퇴사 의사를 밝혔음. 알았다며 기다리라고 했던 사업주가 이후 계속 전화를 받지 않았고, 6월15일 고용센터를 방문해서야 사업주가 퇴사일을 4월15일로 고용변동신고한 사실을 알게 되었음. 신고한 퇴사일을 기준으로 1개월 이내에 사업장변경 신청을 하지 않은 것이 되어 출국조치가 된 상황임을 확인했고, 구제받을 방법을 찾기 위해서 센터를 방문함.', 'Embedding': []}, '진행_과정_및_결과': '6월 22일\n- 국민권익위원회에 ‘사측의 고용변동신고 상 퇴사일 기준 기간 내 사업장변경 미신청’의 민원 제목으로 노동자가 합법적으로 한국에서 계속 일할 수 있도록 요청하는 고충민원 신청서를 제출함.\n7월 6일\n- SBS TV프로그램 인터뷰를 통해서 ‘사업주가 고용변동 신고 한 사실을 숨겨서 사업장 변경 기간이 경과되어 출국조치된 억울한 상황에 대해 호소함.\n7월 12일\n- ‘사업장변경 기간 도과 구제신청 진정서’를 의정부고용노동지청 외국인력팀에 접수함. \n7월 27일\n- 의정부고용노동지청의 ‘기간 내에 근무처 변경허가를 받을 수 없었던 부득이한 사정이 있었음으로 확인되지 않는다’는 이유로 ‘사업장변경에 대한 구제신청 수용이 불가하다’는 내용의 진정 민원처리 결과통지를 받음.\n8월 23일\n- 경기지방노동위원회에 ‘노동자와 협의 없이 일방적으로 해고를 한 것이며 해고 시 해고시기 등을 서면으로 통지하여야 하나 이를 위반하여 진정인이 더 이상 한국에서 합법적으로 일하지 못하는 상황에 이르게 되었음’으로 해고의 부당성을 주장하는 내용의 ‘부당해고 구제 신청서’를 접수함. \n8월 31일\n- 근로복지공단 남양주지사에 업무상 질병으로 요양급여신청서를 접수함\n9월 5일\n- 경기지방노동위원회 심판1과(수원시 장안구 서부로 2139 SK HUB빌딩 4층)를 방문하여 화해조정에서 화해조서를 작성함.\n9월 6일\n- ‘고용보험 피보험자격 상실일자를 2023.4.15.->2023.5.17., 무단결근으로 인한 근로계약 해지->개인 질병으로 인한 근로계약 해지’로 내용으로 작성된 경기지방노동위원회 화해조서 정본을 송부 받음.\n9월 14일\n\n- 의정부고용노동지청 외국인력팀을 방문하여 경기지방노동위원회 화해조서와  6월15일 의정부고용지청 외국인력팀에 사업장변경 신청을 위해 방문했다는 입증자료를 제출함. \n9월 21일\n- 의정부고용노동지청 외국인력팀을 방문하여 구직등록필증을 발급 받고, 체류자격 구제 요청을 위해서 양주출입국외국인사무소를 방문하여 체류자격 변경 완료함.', '내담자_정보': {'거주지역': '포천시', '국적': '몽골', '체류자격': 'E-9', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '고용허가', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-7,"{'상담제목': {'raw_text': '사업주가 사업장 변경신고 약속을 이행하지 않아 찾아온 노동자', 'Embedding': []}, '상담내용요약': {'raw_text': '임금지급 지연으로 인한 사업장변경 진정을 통해서 이행각서를 작성한 뒤 7월1일 퇴사하였는데 사업주가 이행각서를 지키지 않고 고용변동 신고를 지연하고 있어서 센터를 방문함.', 'Embedding': []}, '진행_과정_및_결과': '7월 2일\n- 이행각서를 가지고 센터를 방문하여 7월1일 퇴사 확인하고 14일 이내 퇴직금과 급여 지급받아야 함을 노동자에게 안내함.\n- 사업주에게 아직 고용변동신고를 하지 못했다는 사실을 확인하고 신고절차 설명함.\n\n7월 17일\n- 의정부고용노동지청 외국인력팀에 고용변동신고 미완료 확인하고, 사업주와 통화 후 사업장에 신고서류 팩스로 보냄. \n\n7월 18일\n- 노동자 EPS에서 고용해지 확인한 후 사업장변경 신청 완료함.\n\n7월 27일\n- 사업주가 임금과 퇴직금을 입금하지 않고 있어서 약속한 8월16일에 임금을 완납하지 않으면 진정서를 작성하기로 함.\n\n8월 21일\n- 의정부고용노동지청 근로개선지도과에 임금체불 진정을 접수함.\n\n9월 14일\n- 의정부고용노동지청 근로개선지도2과를 방문해서 임금체불 진정 출석 조사받고, 사업주 전부 인정해서 확정 받은 후 진정취하서 보냄.\n\n9월 18일\n- ‘체불 임금등·사업주 확인서’ 발급받아서 서울보증보험에 보험금 청구서 접수함.\n\n10월 20일\n- 체불임금으로 확정받았던 3,986,748원 서울보증보험 보험금으로 수령함.', '내담자_정보': {'거주지역': '포천시', '국적': '인도네시아', '체류자격': 'E-9', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '고용허가', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-8,"{'상담제목': {'raw_text': '아르바이트로 일한 곳에서 퇴직금 못 받은 노동자 상담', 'Embedding': []}, '상담내용요약': {'raw_text': '2022년 8월~2023년 7월까지 딱 1년 근무 후 퇴사, 퇴직금 미지급으로 방문', 'Embedding': []}, '진행_과정_및_결과': '9월 4일\n센터 방문하여 퇴직금 미지급 상담 및 노동부 진정서 작성\n\n10월 24일\n사업장 통화했으나 알바로 계약하여 지급할 의무없다고 하였음\n\n10월 27일\n노동부 진정 접수 \n\n11월 6일\n근로자 A와 동행하여 고용노동부 경기지청 대질조사 받았음, 3달 동안 휴업급여 100% 받은 것에서 남은 금액 공제 후 퇴직금 입금 약속\n\n11월 6일\n차액 지급 받은 후 종결하였습니다.', '내담자_정보': {'거주지역': '화성시', '국적': '태국', '체류자격': '미등록', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '임금체불', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
request-9,"{'상담제목': {'raw_text': '중도입국자녀의 폐렴의심 증상으로 병원진료 지원', 'Embedding': []}, '상담내용요약': {'raw_text': '중도입국자녀의 건강 문제로 병원 방문 시 통역 및 동행 지원', 'Embedding': []}, '진행_과정_및_결과': '11.7\n- 중도 입국자녀의 독감에 심한 기침으로 병원 치료 중 나이지지 않아서 병원 재방문 시  동행 상담 요청. 담당 의사를 만나 상담을 통해 폐렴의심으로 상급 병원으로 의뢰함.\n\n11.9\n- 의뢰서와 함께 S병원에 방문해 진찰과 검사를 받아 결과로 폐렴 증상임. 약 처방을 받아 1주 후에 다시 방문 예약함\n\n11.16\n- 상태가 많이 좋아져서 4일 약 처방 받고 귀가\n\n11.19\n- 확인 연락한 결과 약간의 기침만 남아서 안도감을 보임\n\n이주여성이 자녀 건강 문제로 병원 방문 시 의사소통이 어려워서 심리적 고통이 많고 특히 상급 병원 방문 시 복잡한 절차에 통역과 동행 지원으로 생활 불편 해소하게 됨', '내담자_정보': {'거주지역': '수원시', '국적': '미얀마', '체류자격': 'F-1', '추가정보': []}, '해결방법': '', 'metadata': {'상담유형': '의료', '상담일시': Timestamp('2023-11-27 00:00:00')}}"
