"판결요지","한편 이와 같은 소명자료가 제출되지 아니한 경우에는 등기관은 가등기 후에 마쳐진 다른 중간 등기들과 마찬가지로 국세 또는 지방세 압류등기를 직권말소하여야 한다고 봄이 상당하다."
"이유","그리고 원칙적으로 등기관은 등기신청에 대하여 부동산등기법상 그 등기신청에 필요한 서면이 제출되었는지 여부 및 제출된 서면이 형식적으로 진정한 것인지 여부 등 그 등기신청이 신청서 및 그 첨부서류와 등기부에 의하여 등기요건에 합당한지 여부를 심사할 형식적 심사권한밖에 없다."
"이유","이와 같이 위 구 국세기본법 및 지방세법의 해당 조항은 위 규정에 해당하는 가등기의 권리자가 그 재산에 대한 체납처분에 대하여 그 권리를 주장할 수 없다는 실체법상 효력을 규정한 것이다."
"이유","등기절차에서 위 규정의 실효성을 확보하기 위하여는 그에 필요한 범위 내에서 등기관에게 가등기와 압류등기 사이의 실체법상 우열 여부를 심사할 수 있도록 할 필요가 있다. 그러나 부동산등기법상 등기관의 심사권은 형식적인 것에 한정되는 것이 원칙이므로 이러한 점을 감안하여 등기관의 심사범위를 정하여야 한다."
"이유","그러므로 소유권이전 청구권 보전의 가등기 이후에 국세·지방세의 체납으로 인한 압류등기가 마쳐지고 위 가등기에 기한 본등기가 이루어지는 경우, 등기관은 체납처분권자에게 부동산등기법 제175조에 따른 직권말소 통지를 하다."
"이유","원심결정 이유에 의하면, 소유권이전 청구권 보전의 이 사건 가등기 후 소외 1 명의의 가처분등기, 대한민국의 국세 압류등기, 구리시의 지방세 압류등기, 소외 2가 신청한 강제경매개시결정등기가 마쳐지다."
"이유","등기관이 위 본등기 후 이해관계인에게 직권말소 통지를 하자 대한민국 등은 이 사건 가등기가 담보 가등기라고 주장하며 소명자료를 제출하였다."
"이유","대한민국이 체납처분한 국세에는 이 사건 각 부동산에 부과된 조세가 포함되어 있지 아니한 점을 알 수 있다."
"이유","이를 앞서의 법리에 비추어 보면, 위 가처분등기와 강제경매개시결정등기는 이 사건 가등기가 담보 가등기인지 여부와 관계없이 직권말소되어야 한다."
"이유","당해세가 아닌 국세의 경우 그 법정기일과 가등기일 사이의 선후에 따라 직권말소 여부가 결정되어야 할 것이다."
"이유","원심결정 이유에 의하면, 구리시가 체납처분한 지방세에는 이 사건 각 부동산에 부과된 조세인 재산세가 포함되어 있음을 알 수 있다."
"이유","거기에 등기관의 형식적 심사권 및 등기추정력, 가등기에 기한 본등기에 있어서의 중간 등기의 직권말소 여부에 관한 법리오해나 채증법칙 위반·심리미진 등으로 재판에 영향을 미친 헌법·법률·명령 또는 규칙의 위반이 없다."
