"귀사가 박씨를 포함한 여러 근로자를 해고한 구체적 사유가 무엇인지 설명해 주시겠습니까? 이러한 결정을 내린 경영진의 생각은 어떠한가요?"
"경제가 어려워서 그랬죠, 뭘 더 어떻게 하라고요? 지금 거의 모든 기업이 비용을 줄이려 애쓰는데, 우리만 뭐가 다르답니까?"
"박씨의 해고가 법원에 의해 부당하다고 판결된 것에 대해 어떻게 생각하십니까? 본인의 생각을 말씀해 주세요. 억울하다고 생각하십니까?"
"그 판결은 말도 안 되는 겁니다. 법원이 기업 운영을 얼마나 알겠습니까? 그건 우리가 알아서 할 일입니다."
"귀사가 폐업 후 새로운 회사를 설립한 동기에 대해 설명해 주십시오. 이러한 행위가 법적 책임을 회피하기 위한 것이라는 지적에 대한 귀사의 입장은 무엇인가요?"
"새로운 시작을 위한 결정이었죠. 법적 책임을 회피하려는 게 아니라, 회사를 위해 사업을 계속 유지하기 위한 유일한 방법이었습니다."
"법원이 신설회사도 기존 회사의 임금 및 위자료 지급 의무를 이어받는다고 판결한 것에 대한 귀사의 반응은 무엇입니까?"
"그런 판결을 받아들일 수 없습니다. 우리는 새로운 회사를 시작했습니다. 이전 회사 과거의 문제는 과거에 묻어두고 싶습니다."
"박씨를 포함한 해고된 근로자들에 대한 귀사의 태도와 이들에게 지급하지 않은 임금에 대한 계획은 무엇입니까? 자세히 말씀해 주세요."
"그들에게 더 이상 지급할 의무가 없다고 생각합니다. 우리는 이미 충분히 고생했고, 이제 새로운 시작에 집중하고 싶습니다."
"귀사의 결정이 다른 직원들에게 끼친 영향과 이에 대한 귀사의 평가는 어떠합니까? 당신의 생각을 솔직하게 말씀해 주세요."
"직원들도 경영상의 어려움을 이해해야 합니다. 우리 모두가 어려운 시기를 겪고 있으니, 어려운 시기를 이겨낼 수 있도록 각자 알아서 대처해야죠."
"만약 박씨가 귀사에 복직을 요구한다면, 귀사는 어떤 조치를 취할 계획입니까? 다시 복직할 수 있도록 도움을 주실 예정인가요?"
"복직은 고려하지 않고 있습니다. 우리는 새로운 회사를 운영하고 있으며, 과거의 문제에 더 이상 얽매이고 싶지 않습니다."
"귀사의 이러한 결정들이 회사의 평판과 이미지에 미친 영향에 대해 어떻게 생각하십니까? 그 부분에 대해서도 어느정도 파악 되어있나요?"
"사람들은 언제나 뭔가 말할 걸 찾습니다. 하지만 우리는 우리의 결정을 자랑스럽게 생각하며, 회사의 미래에만 집중하고 싶습니다."
"귀사가 박씨를 포함한 다른 해고된 근로자들에게 법적으로 지급해야 할 위자료에 대한 귀사의 계획은 무엇입니까? 말씀해 주세요."
"위자료 지급에 대해서는 현재로서는 계획이 없습니다. 그리고 저희는 저희의 새로운 회사의 안정과 성장에 집중하고 싶습니다. 바빠요."
"귀사의 이러한 행동이 다른 기업들에게 미칠 수 있는 영향에 대해 어떻게 생각하십니까? 본인의 생각을 말씀해 주세요."
"다른 기업들도 우리의 결정을 이해할 겁니다. 왜냐하면 모두가 자신의 사업을 지키기 위해 최선을 다하고 있는 것이니까요."
