"판결요지","노동조합의 조합원이 그 조합장이 조합비를 횡령하였다는 허위의 사실을 유포한 혐의로 제명처분을 받는 경우, 그 제명처분이 징계권을 남용하여 무효라고 본 사례."
"이유","피고 조합은 소속 조합원의 근로조건 유지 개선 및 경제적, 사회적 지위향상을 목적으로 소외 제주OOO호텔 주식회사 소속 근로자들을 구성원으로 하여 설립된 OOOO조합이다."
"이유","원고들은 피고 조합의 소속 조합원이었는데, 피고 조합은 1997. 9. 3. 원고들을 징계하기 위한 운영위원회를 개최하여, 원고들이 피고 조합 규약 제55조 제1항 각 호에 해당하는 행위를 하였다고 하여 원고들을 각 피고 조합으로부터 제명하는 처분을 내린 사실은 당사자 사이에 다툼이 없다."
"이유","이하 ① 규약 제14조의 각 항을 위반하였을 시, ② 조합원으로서 체면을 현저하게 손상시켰을 시, ③ 조직의 혼란을 야기하여 조합의 권위를 실추시켰을 시, ④ 조합의 목적을 현저하게 위반하였을 시 등을 규정한다."
"이유","조합의 정당한 발전에 협력할 의무, ③ 조합의 명예를 유지할 의무, ④ 조합원은 임금총액의 3% 이내에서 총회 또는 대의원대회에서 결정한 조합비 및 장학기금 등 특별부과금을 납부할 의무 등을 규정하고 있는 사실을 인정할 수 있고 반증 없다."
"이유","원고들은 피고 조합이 원고들을 제명할 때 원고들에게 소명할 기회를 주지 않은 절차상 하자가 있다고 주장한다."
"이유","이에 대하여 피고 조합은, 원래 조합규약에는 징계를 함에 있어 당사자에게 소명의 기회를 주어야 한다는 조항도 없는데 피고 조합은 징계결의를 할 때 원고들에게 통지하여 소명의 기회를 부여하였으므로 징계절차상에 아무런 하자도 없다고 주장한다."
"이유","피고 조합은 그 규약에서 조합원의 징계에 관하여 운영위원회에서 심의결정하고 징계처분을 당한 당사자가 그 징계에 이의가 있을 때는 징계 결의서 접수일로부터 7일 이내에 불복 이유를 명기하여 운영위원회에 재심을 요구할 수 있도록 하고 있는 사실이다."
"이유","그러나 징계결의 전의 당사자 소명기회에 대하여는 따로 규정하고 있지 않은 사실, 그런데 피고 조합에서는 1997. 9. 3. 원고들을 징계하기 위한 운영위원회 개최를 예정하고 그 이틀 전인 9. 1.경 그 부위원장인 소외 2를 통하여 원고들에게 위 운영위원회에 참석하여 소명하라고 통지하였다."
"이유","예정대로 열린 위 운영위원회 도중에도 원고들에게 와서 소명하라고 통지하였으나, 원고들은 통지를 받고도 징계결의를 하는 운영위원회에 참석하지 않은 사실이다."
"이유","위 운영위원회는 원고들은 피고 조합으로부터 제명하기로 결의하고 그 결과를 공고하였으며, 이에 원고들은 9. 4.경 운영위원회의 제명결의에 대하여 이의를 신청하자 피고 조합은 재심을 위한 운영위원회를 9. 13. 열기로 하고 원고들에게 이에 참여하여 제차 소명할 것을 9. 9.경 통지한 사실이다."
"이유","징계재심을 위한 운영위원회도 예정대로 열려 이 자리에서 원고들은 소명의 기회를 부여받은 사실을 인정할 수 있고 반증이 없다."
"이유","또 규정에 없음에도 원고들은 피고 조합으로부터 제명처분을 받을 때 상당한 소명기회를 부여받은 만큼, 이 사건 제명처분에 절차적 하자가 있다는 원고의 주장은 이유 없다."
"이유","원고들은 자신들에게 제명사유가 없음에도 피고 조합이 허위사실을 기초로 하여 원고들을 제명하였으므로 이는 무효이고, 만일 그렇지 않다고 하더라도 조합장 위 소외 1이 자신을 반대하는 원고들을 제거하기 위한 부당한 목적에서 제명처분을 한 것이므로 징계권남용으로 무효라고 주장한다."
