"판시사항","주택을 임차한 외국인이 체류지변경신고 한 경우 주택임대차보호법 소정의 주민등록을 마친 것으로 볼 수 있는지 여부"
"판결요지","외국인이 주택을 임차하여 출입국관리법에 의한 체류지변경신고를 하였다면 거래의 안전을 위하여 임차권의 존재를 제3자가 명백히 인식할 수 있는 공시의 방법으로 마련된 주택임대차보호법 제3조 제1항 소정의 주민등록을 마쳤다고 보아야 한다."
"이유","같은 해 11.15. 공증인가 영풍합동법률사무소에서 위 임방현과의 임대차계약서에 확정일자를 받은 사실, 피고는 그 이후인 1992.9.8. 위 아파트상에 근저당권설정등기를 경료한 자로서 같은 해 12.21. 위 근저당권에 기하여 서울민사지방법원 92타경42591호로서 부동산임의 경매신청을 하였다."
"이유","원고는 피고의 근저당권설정등기 경료 전에 주택임대차보호법 제3조의2 소정의 우선변제권의 요건을 갖추었으므로 피고에 우선하여 위 경락대금에서 위 임대차보증금을 변제받을 권리가 있는데 피고가 위와 같이 원고의 몫까지 배당받음으로써 위 임대차보증금 상당액을 부당이득하였다고 주장하였다."
"이유","이에 대하여 피고는 원고는 외국인으로서 ""주민등록"" 을 마치지 아니하였으니 위 법 제3조의2 소정의 요건을 갖추지 못하였다."
"이유","원고가 주택임대차보호법 소정의 우선변제권의 요건을 갖추었다 하여도 임대인의 지위를 승계한 경락인에 대하여 임대차기간이 종료된 후 임대차보증금을 반환받을 수 있는 것이니 원고에게 손해가 있다고 할수 없다."
"이유","가사 우선변제권이 있다 한들 이는 경매절차에서 배당요구를 하고 경매법원의 배당요구에 대하여 이의가 있으면 배당기일에 배당이의를 한 후 배당이의의 소를 제기하는 방법으로 권리를 행사하여야 하는 것이므로 경매절차가 종료된 후에 배당받은 자에게 직접 부당이득반환을 구할 수는 없는 법리라고 주장한다."
"이유","국내에 거류하고자 하는 외국인은 입국한 날로부터 90일 이내에 그 거류지를 관할하는 출입국관리사무소장에게 거류신고를 한 후 그로부터 14일 이내에 거류지를 관할하는 시.군.구의 장에게 외국인등록을 하여야 한다."
"이유","시.군.구의 장은 외국인등록대장과 외국인등록표를 비치하고 외국인등록사항을 기재하고, 외국인이 거류지를 변경할 경우에는 전거류지의 관할 시.군.구의 장에게 전출신고를, 신거류지의 관할 시.군.구의 장에게 전입신고를 하여야 하며 외국인이 위 등록 또는 신고의무에 위반할 경우에는 벌칙에 처할 수 있는 것으로 규정하고 있다."
"이유","위와 같이 원고가 주택임대차보호법상의 대항요건을 갖추기 전에 설정된 1번 저당권이 위 경매로써 소멸하게 되었으니 원고의 임대차는 위 경락인에게 대항할 수 없는 것이다."
"이유","원고가 위 경매나 배당절차에서 참가하지 못하여 배당요구도 하지 못한 채 그 절차가 종료되었다 하여 피고에 우선하여 위 경락대금에서 임대차보증금을 변제받을 수 있는 원고의 권리가 소멸하는 것은 아니므로, 피고의 위 주장들은 모두 받아들일 수 없다."
