"판시사항","타인 소유 주택에 대한 강제집행을 면탈하기 위하여 자신의 명의를 빌려 준 명의수탁자가 주택건설촉진법상 무주택자에 해당하는지 여부"
"판결요지","위와 같이 이율배반적 양면성을 가진 명의신탁의 주장을 그때그때 당사자의 필요에 따라 모두 인정해 준다면 법의 근본정신인 정의는 실종되고 말 뿐 아니라 법적 안정성을 저해하므로, 위 법상 무주택자로 인정할 수 없다."
"이유","다음 사실은 민사소송법 제139조 제3항에 의하여 피고가 자백한 것으로 보이거나 갑 4 내지 11호증의 기재와 증인 소외 1, 소외 3의 증언에 의하여 인정된다."
"이유","피고 조합은 부산지역에 거주하는 OOO 소속 직원으로 구성되고 1989.6.15. 부산 중구청장으로부터 설립인가를 받은 직장주택조합이고 원고들은 그 조합원이었다."
"이유","피고 조합은 그 조합원들을 위하여 주문에 기재된 OOO를 건립하기 시작하여 거의 완공단계에 이른 1991.12.15. 동, 호수 배정을 위한 추첨을 실시하여 그 결과 원고 1에게는 주문 기재와 같은, 원고 2에게는 청구취지 기재와 같은 동, 호수의 아파트를 각 배정하였다."
"이유","그 이유는, 원고 1은 남편인 소외 1이 1990.8.29.부터 부산 중구에 주택 1동을 소유하고 있고, 원고 2는 본인이 1984.12.28.부터 1991.3.14.까지 부산 서구에 주택 1동을, 어머니인 소외 2가 부산 동구에 무허가 건물 1동을 각 소유하고 있어서 무주택자가 아니라는 것이었다."
"이유","원고 1의 경우는 실제로 독립된 단독세대주이고 별거하는 남편 명의로 등기된 주택도 사실상 창고로서 주거가 불가능한 것이므로 실질적으로는 무주택자라고 보아야 할 것이다."
"이유","그러므로 유주택자라는 이유로 위 원고를 제명한 피고 조합의 조치는 부당하여 무효이고 위 원고는 여전히 조합원으로서 이미 배정된 위 아파트를 분양받을 권리가 있다."
"이유","그러나 원고 2의 경우는 그 명의로 등기되었던 주택이 사실상 그의 것이 아니기는 하나 그의 행위와 주장이 다음과 같은 이유로 법질서의 기본원칙에 위배되고 법적 안정성을 저해하는 것이어서 법률상의 무주택자로 인정할 수 없다."
"이유","위 원고의 명의수탁행위는 소외 3이 부도를 내고 강제집행면탈행위를 하는 데 적극 공모 협조한 것으로서 반 사회적 불법행위임이 명백하다."
"이유","그로 인하여 소외 3으로부터 부도를 당한 피해자들이 제대로 변제를 받지 못했을 것은 물론이고 소외 3과 원고가 서로 짜고 재산을 빼돌린 줄 뻔히 알면서 법적으로 이를 추궁할 길이 없어 법적 정의에 대한 깊은 회의와 좌절감을 경험하였을 것도 미루어 짐작하기 어렵지 않다."
"이유","그러한 나쁜 행위를 한 원고가 뒤돌아서 주택조합원의 자격에 관하여는 자기가 명의수탁자에 불과하다고 들고 나오는 것은 앞서 한 행위와 모순되는 것이고 전후 행위에 대한 사회적 신뢰를 심히 저해하는 것이어서 신의성실의 원칙에 위배된다고 하지 않을 수 없다. "
"이유","만약 법이 이렇게 이율 배반적 양면성을 가진 명의신탁주장을 그때그때 당사자의 필요에 따라 모두 인정해 준다면 법의 근본정신인 정의는 실종되고 말 것이다."
"이유","위 원고는 또 주장하기를, 피고가 원고를 조합원으로 받아들여 오랜 기간에 걸쳐 불입금을 받아 아파트를 짓고 동, 호수의 배정까지 끝내 놓은 상태에서 새삼스럽게 제명을 하는 것은 피고 조합에게는 아무런 이득이 없는 반면 원고에게는 엄청난 불이익을 주는 것이므로 권리남용이라고 한다."
"이유","주택건설촉진법이 주택이 없는 국민의 주거생활안정을 목적으로 하고, 주택이 없는 근로자가 설립한 조합을 주택조합이라고 하며, 관계 법령이 무주택자에게는 일반분양자에 비하여 여러가지 우선적, 특혜적 지위를 보장하고 있다."
"이유","그러한 주택공급질서를 교란하는 행위를 형사처벌하고 있는 점들에 비추어 보면 직장 주택조합의 조합원이 되기 위한 무주택 요건은 강행규정이라 할 것이다. 따라서 이것은 피고 조합이 임으로 좌우할 수 있는 것이 아니다."
"이유","그러므로 피고 조합에 대하여 신뢰이익 또는 이행이익의 배상을 청구하는 것은 별개의 문제로 하고, 제명의 효력 자체에 관한 한 위의 주장은 용납될 수 없다."
"이유","위 원고는 다시 주장하기를, 1991.12.15.에 이미 이 건 아파트를 배정받았고, 그러한 배정합의의 효력은 원고가 피고 조합의 조합원인가 아닌가에 관계없이 유효하다고 한다."
"이유","그러나 위 원고가 조합원으로서의 자격이 없는 이상, 그 자격이 있음을 전제로 하여 피고 조합이 원고에게 아파트를 배정하거나 제명과 관계없이 분양약정을 하는 것은 모두 강행법규에 위반되는 것이어서 무효이다."
"이유","결국 원고 1의 청구는 정당하므로 인용하고, 원고 2의 청구는 모두 이유 없으므로 기각하기로 하여 주문과 같이 판결한다."
