"판시사항","중복등기로 보이는 경우 선행보존등기가 객관적으로 당해 부동산에 대한 공시력을 갖추지 못한 때에도 후행보존등기가 중복등기로서 말소되어야 하는지 여부"
"판결요지","선행보존등기가 경료된 절차상의 경위도 확정할 수 없고 지적공부상 그 위치를 특정할 수도 없다면 그 등기는 물권공시의 효력이 있는 유효한 등기라고 볼 수 없다."
"이유","오히려 원고들 피상속인 명의의 이 사건 임야에 관한 등기는 위 소유권보존등기가 경료된 이후에 중복하여 경료된 후행 소유권보존등기에 터잡은 것으로 무효라고 다툰다."
"이유","동일부동산에 대하여 동일인명의로 보존등기가 중복되어 경료되어 있는 경우에는 뒤에 경료된 등기는 그것이 실체권리관계에 부합하는 여부를 가릴 것이 없이 무효이므로 그 무효인 등기에 터잡아 소유권이전등기가 순차 경료되었다고 하더라도 그러한 등기 역시 무효라고 할 것이다."
"이유","이 사건의 경우 위 산 79임야와 산 79의 1, 2 임야를 비교하여 보면 모두 동일인 명의로 소유권이전등기가 경료된다."
"이유","위와 같은 법률관계는 적어도 각 보존등기가 형식상 유효한 등기로서 그 목적물의 동일성을 공시하는 효력이 있음을 전제로 하는 것이라고 할 것이므로, 위 79의 1, 2의 임야에 대한 소유권보존등기 자체의 효력여부에 관하여 보기로 한다."
"이유","피고가 주장하는 임야분할 사실이나 선행 보존등기가 이루어지게 된 절차상의 경위에 관하여는 이를 확정하기에 족한 증거는 없는 바이다."
"이유","위 각 등기가 일체가 되어 79 임야 전체를 표상하는 것으로 본다고 하더라도 위 각 등기자체로서는 서로 위 임야를 구획하여 특정할 방법이 없어 목적물이 특정되지 아니한다고 할 것이다."
"이유","위 등기절차에 있어서도 위 설시와 같은 소정의 필요한 절차를 흠결한 중대한 위법이 있다고 할 것이니 위 각 등기는 어느모로 보나 유효한 것이라고는 할 수 없다고 하겠다."
"이유","반면 이 사건 임야에 관한 원고들의 피상속인인 위 OOO 명의의 소유권이전등기는 적법한 것이라고 할 것이니, 피고는 공유부동산에 대한 소유권방해배제청구권에 기하여 이 사건 청구에 이른 원고들에게 위 79의 1 임야에 대한 소유권이전등기의 말소등기절차를 이행할 의무가 있어 원고의 청구를 인용할 것인 바이다."
"이유","원고들의 항소는 이유있으므로 원판결을 취소하고 원고들의 청구를 인용하며, 소송비용의 부담에 관하여는 민사소송법 제96조, 제89조를 각 적용하여 주문과 같이 판결한다."
