"판시사항","위 가처분권자는 위 말소등기청구소송의 확정판결에 기한 소유권이전등기말소등기에 대하여 승낙의 의사표시를 할 의무가 있는지 여부 및 위 확정판결이 위 가처분결정에 저촉되는지 여부"
"판결요지","이 경우 제3자가 받은 처분금지가처분결정의 피보전권리나 그 확정판결의 내용은 모두 동일한 소유권이전등기의 말소등기절차를 이행하라는 것으로서, 결국 제3자의 위 가처분결정은 위 확정판결에 기하여 그 피보전권리가 실현될 것이므로 위 승소확정의 판결이 제3자의 처분금지가처분결정에 저촉된다고 볼 수는 없다."
"이유","다음의 사실은 당사자 사이에 다툼이 없거나 갑 제1, 3호증, 갑 제2호증의 1 내지 3, 갑 제4호증의 1, 2의 각 기재에 변론의 전취지를 종합하여 이를 인정할 수 있고 반증이 없다."
"이유","OOO, OOO, OOO, OOO, OOO, OOO, 망 OOO, OOO, OOO과 사이에 이 사건 건물에 대한 매매예약을 체결하고 같은 법원 같은 날 접수 제53243호로 소외인들 명의의 각 소유권이전청구권가등기를 마쳤다."
"이유","원고는 1995. 6. 17. 소외 OOO 및 소외인들 등을 상대로 광주지방법원 95가합8463 건물소유권보존등기말소 등 청구의 소를 제기하여 위 법원 1995. 6. 26. 접수 제7795호로 소외인들 명의의 위 각 가등기 및 소유권이전등기에 관하여 말소예고등기가 마쳐졌다."
"이유","이에 소외인들이 항소하였는데 광주고등법원은 원심판결을 변경하여 1998. 6. 25. 위 OOO은 원고에게 이 사건 건물에 관하여 1995. 9. 22.자 저당권설정등기청구를 원인으로 한 채권액 금 3,019,811,000원, 채권자 원고, 채무자 위 OOO으로 하는 저당권설정등기절차를 이행한다."
"이유","소외인들과 위 OOO 사이에 이 사건 건물에 관하여 1994. 9. 29. 체결된 각 매매예약과 1994. 12. 28. 체결된 각 매매계약을 취소한다."
"이유","소외인들은 원고에게 주문 기재 각 가등기 및 각 소유권이전등기의 각 말소등기절차를 이행하라는 내용의 원고 승소판결을 선고하였다."
"이유","피고는 1995. 9. 29. 소외인들을 상대로 광주지방법원에 이 사건 건물에 관하여 피고의 소외인들에 대한 소유권이전등기말소등기청구권을 피보전권리로 한 부동산처분금지가처분신청을 하여 그 결정을 받음에 따라 이 사건 건물에 관하여 같은 법원 1995. 10. 2. 접수 제13197호로 그 가처분등기가 마쳐졌다."
"이유","민법 제666조에 의하여 가지는 저당권설정등기청구권과 위 OOO과 소외인들 사이의 사해행위 취소권으로 하여 이 사건 건물에 관하여 부동산처분금지가처분신청을 하여 그 결정을 받음에 따라 이 사건 건물에 관하여 같은 법원 1996. 11. 18. 접수 제19535호로 그 가처분등기가 마쳐졌다."
"이유","위 인정 사실에 의하면, 소외인들은 위 승소확정 판결에 따라 원고에게 주문 기재 각 가등기 및 소유권이전등기의 각 말소등기절차를 이행할 의무가 있다."
"이유","앞에서 인정한 사실에 의하면 피고의 위 가처분결정에 앞서서 소외인들 명의의 위 가등기 및 소유권이전등기에 관하여 말소예고등기가 마쳐진 데다가 피고가 원고의 위 승소판결 확정 전에 소외인들을 상대로 받은 처분금지가처분결정의 피보전권리는 소외인들이 이 사건 건물에 대하여 마친 소유권이전등기의 말소등기청구권이다."
"이유","따라서 원고의 위 승소확정의 판결이 피고의 위 처분금지가처분결정에 저촉된다는 점을 전제로 한 피고의 위 주장은 더 나아가 살필 필요 없이 이유 없다."
"이유","그렇다면 피고는 위 가등기 및 소유권이전등기의 말소에 관하여 등기상 이해관계 있는 제3자로서 원고에게 주문 기재 각 가등기 및 각 소유권이전등기의 각 말소등기절차에 필요한 승낙을 할 의무가 있다."
"이유","다시 1994. 12. 28. 소외인들과 사이에 별지 제2목록 기재의 각 지분에 관하여 매매계약을 체결한 후 이를 원인으로 하여 위 각 지분에 관하여 같은 법원 같은 달 29. 접수 제57268호로 소외인들 명의의 각 소유권이전등기를 마쳤다."
"이유","그 후 위 법원으로부터 1996. 10. 31. 이 사건 건물에 관하여 원고에게 위 OOO은 1995. 9. 22. 저당권설정청구를 원인으로 한 저당권설정등기절차를 이행하고 소외인들은 그들 명의의 위 각 가등기 및 소유권이전등기를 말소하라는 판결을 선고받았다."
"이유","원고의 이 사건 청구가 인용된다고 하여 피고의 위 OOO에 대한 권리를 부당하게 침해한다고 볼 수 없으므로 피고의 위 주장도 더 나아가 살필 필요 없이 이유 없다."
