"판시사항","한 건물의 주거 용부분과 비주거용 부분이 함께 임대차의 목적이 된 경우, 주택 임대차 보호법의 적용 기준 이다."
"판결요지","일반적으로 한 건물의 주거용부분과 비주거용부분이 함께 임대차의 목적이 되어 각기 그 용도에 따라 사용되는 경우 주거용부분이 주가 되고 비주거용부분이 부수적인 경우에는 그 전체에 대하여 주택임대차보호법이 적용되고 그 반대의 경우에는 동법이 적용되지 아니한다고 할 것이다."
"판결요지"," 건물의 주된 용도가 주거용인가 비주거용인가의 여부는 그 건물의 위치, 구조, 객관적 용도, 실제이용관계 등을 고려하여 합목적적으로 판단하여야 한다."
"이유","성립에 다툼이 없는 갑 제1호증의 기재와 이 법원의 현장검증결과 및 감정인 문부남의 감정결과에 변론의 전취지를 종합하면, 별지목록기재 건물은 원고 명의로 소유권이전등기가 경료되어 있다."
"이유"," 피고 정순자는 위 건물 중 제3호 도면의 1,2,3,4,5,6,1의 각 점을 순차연결한 표시부분 건평 75.7평방미터를 점유하고 있는 사실을 인정할 수 있고 달리 반증이 없다."
"이유","위 인정사실에 의하면 위 건물은 원고의 소유로 추정된다 할 것이므로 위 피고는 위 점유부분을 점유사용할 수 있는 정당한 권원에 대한 주장입증이 없는 이 사건에서 위 점유부분을 원고에게 명도할 의무가 있다 할 것이다."
"이유","원고는 별지목록기재 건물이 원고의 소유임에도 피고 장구환이 그중 별지 제1호도면의 8,9,10,11,8의 각 점을 순차연결한 (아),(자),(차),(카) 표시부분 38.7평방미터를 정당한 권원없이 점유 사용하고 있다."
"이유","주장함에 대하여 위 피고는 공시송달에 의하지 아니한 적법한 소환을 받고도 이 사건 변론기일에 출석하지 아니할 뿐만 아니라 답변서 기타 준비서면도 제출하지 아니하다."
"이유","원고의 주장사실을 명백히 다투지 아니하므로 이를 자백한 것으로 볼 것이니 위 피고는 위 점유부분을 점유 사용할 정당한 권원에 대한 주장, 입증이 없는 이 사건에서 위 점유부분을 원고에게 명도할 의무가 있다 할 것이다."
"이유","별 지 목록 기재 건물이 원고의 소유인 사실은 원고와 피고 유 충희 사이에 다툼이 없다."
"이유","이 법원의 현장검증결과와 감정인 문부남의 감정결과에 변론의 전취지를 종합하면, 위 피고가 위 건물중 별지 제1도면의 각 점을 순차연결 한표 시부분 57.8평방미터를 점유하고 있는 사실을 인정할 수 있고 달리 반증이 없다."
"이유","원고가 위 건물의 소유권을 주장하여 위 피고에 대하여 위 점유부분의 명도를 구함에 대하여, 위 피고는 원고의 소유권취득의 전제가 된 근저당권이 위 건물에 설정되기 이전에 자신이 위 건물의 전소유자로부터 위 점유부분을 임차보증금 7,000,000원에 임차한다."
"이유","일반적으로 한 건물의 주거용 부분과 비주거용 부분이 함께 임대차의 목적이 되어 각기 그 용도에 따라 사용되는 경우 주거용부분이 주가 되고 비주거용 부분이 부수적인 경우에는 그 전체에 대하여 위 법이 적용되고 그 반대의 경우에는 위 법이 적용되지 아니한다고 할 것이다."
"이유","건물의 주된 용도가 주거용인가 비주거용인가의 여부는 그 건물의 위치, 구조, 객관적 용도, 실제이용관계 등을 고려하여 합목적적으로 판단하여야 할 것인바 이다."
"이유","성립에 다툼이 없는 갑 제1호증의 기재와 이법원의 수원시장에 대한 시실조회회보, 현장검증결과 및 감정인 문부남의 감정결과에 변론의 전취지를 종합하면, 위 건물은 주택가에 위치하여 있다."
"이유","구조는 지하실은 전체면적이 75.7평방미터인데 그중 16.5평방미터가 차고이고 나머지 59.2평방미터는 방, 주방등 주거시설이며,1층은 전체 면적이 135.2평방미터인데 그중 점포가 3칸으로 도합 51.7평방미터이고 나머지 83.5평방미터는 각 점포와 연결된 방, 부엌 등 주거 시설이다."
"이유","2층은 전체면적이 1,305평방미터인데 그중 강의실이 2칸으로 도합 86.5평방미터이고 나머지가 방 1칸 및 통로 등으로 도합 44평방미터인 사실, 한편 위 피고가 점유하고 있는 부분은 위1층중 57.8평방미터로서 그 구조는 점포1칸 15.7평방미터, 화장실 3.4평방미터, 다락 1.5평방미터이다."
"이유","위 점포부분은 현재 점포로 사용치 않고 있는 사실을 인정할 수 있고 달리 반증이 없으므로 위 피고의 점유부분은 주용도가 주거라 할 것이니 위 임대차관계에는 위 법이 적용된다 할 것이다."
"이유","나아가 그 대항력 유무를 살피건대, 앞에 나온 갑 제1호증, 각 성립에 다툼이 없는 갑 제2호증, 을 제2호증, 을 제3호증, 변론의 전취지에 의하여 진정성립이 인정되는 을 제1호증의 각 기재와 피고 정순자 본인 신문결과에 변론의 전취지를 종합한다."
"이유"," 피고 유충희는 1984.8.18. 위 건물의 원소유자이던 피고 정순자로부터 위 점유부분을 임차보증금7,000,000원, 기간은 1년으로 정하여 임차하여 같은 달 26.전입신고를 마친 다음 같은 해 9.7.경 입주한 사실, 소외 송수덕은 1985.1.8. 위 건물을 매수하여 같은 달 14. 그 명의로 소유권이전등기를 경료한다. "
"이유","다음 같은 달 17. 원고에게 채권최고액 80,000,000의 근저당권을 설정한 사실, 원고는 1985.경 위 근저당권에 기하여 이법원에 위 건물에 대한 임의경매를 신청한다."
"이유","그 경매절차에서 1986.2.24.경 위 건물에 대한 경락허가결정을 받아 그 무렵 경락대금을 납부하여 그 소유권을 취득하였고 이로써 위 근저당권 및 후순위 근저당권이 모두 소멸한 사실을 인정할 수 있고 달리 반증이 없다."
"이유","위 인정사실에 의하면, 피고 유충희는 1984.8.18. 위 건물의 소유자이던 피고 정순자로부터 위 점유부분을 임차하여 같은 달 26. 전입신고를 마치고 같은 해 9.7. 위 점유부분을 인도받음으로써 위 임대차는 같은 달 8.부터 제3자에 대하여 대항력을 갖게 되었다 할 것이다."
"이유","위 임대차계약상 임대인의 지위는 위 송수덕이 1985.1.14. 위 건물을 매수함으로써 그에게 승계되어 임대기간이 지난 1985.8.18.부터는 기간의 정함이 없는 임대차로서 존속하게 되었다."
"이유","원고가 위 1985.1.17.자 근저당권에 터잡아 위 건물의 소유권을 취득함으로써 위 임대인의 지위가 원고에게 승계되었다 할 것이므로 위 피고는 위 임대차로써 원고에게 대항할 수 있다 할 것인 바이다."
"이유","위 임대차계약이 해지 기타 사유로 종료되었음에 대한 아무런 주장입증이 없는 이 사건에서 위 피고의 위 항변은 이유있고 원고의 청구는 이유없다 할 것이다."
"이유","별지목록기재 건물이 원고의 소유인 사실과 피고 한창일이 위 건물중 별지 제2호 도면의 1,2,3,4,5,6,7,1의 각 점을 순차연결한 표시부분 130.5평방미터를 점유하고 있는 사실은 원고와 위 피고사이에 다툼이 없다."
"이유","원고가 위 건물의 소유권을 주장 하여 위 피고에 대하여 위 점유 부분의 명도를 구함에 대한다."
"이유","위 피고는 원고의 소유권취득의 전제가 된 근저당권이 위 건물에 설정된 1985.1.17.보다 이전인 1982.6.1. 위 건물의 전소유자인 피고 정순자로부터 위 점유부분을 임차보증금 8,000,000원, 기간은 3년으로 임차하여 인도받은 후 1983.8.19. 전입신고를 마쳤다. "
"이유","주택임대차보호법에 따라 위 임차보증금 8,000,000원을 반환받기 전에는 원고의 청구에 응할 수 없다고 동시이행의 항변을 하고 원고는 피고 한창일의 점유부분은 주용도가 학원이니 위 임대차에는 위법이 적용되지 아니한다고 다투므로 먼저 위 피고의 점유부분이 위 법의 적용대상이 되는지의 여부에 관하여 살피다."
"이유","위 건물의 위치, 공부상 용도와 구조 등은 피고 유충희에 대한 청구에 관한 판단에서 본 바와 같다."
"이유","이 법원의 현장검증결과 및 감정인 문부남의 감정결과에 변론의 전취지를 종합하면, 피고 한창일의 점유부분은 위 건물의 2층 130.5평방미터로서 그 구조는 강의실 2칸, 도합 86.5평방미터, 방 1칸 14.8평방미터, 부엌 10.9평방미터, 통로 14.9평방미터, 화장실 3.4평방미터 이다."
"이유","위 인정사실에 의하면, 위 피고의 위 점유부분은 그 일부가 비록 주거용이라 하더라도 이는 주산학원의 영업을 위하여 부수적으로 사용되고 있는 것에 불과하여 전체적으로 위 점유부분의 주된 용도는 주산학원이라 할 것이다."
"이유","위 법의 적용대상인 임차주택의 일부가 주거이외의 목적으로 사용되는 경우에 해당하지 아니하므로 위 점유부분에 위 법이 적용됨을 전제로 한 위 피고의 위 항변은 그 대항력 유무에 관한 판단에 나아갈 필요없이 이유없다 할 것이다."
"이유","그렇다면, 원고의 피고 정OO, 피고 장, 피고 한창 일에 대한 이 사건 청구는 정당하여OO 이를 모두 받아 들이다."
"이유","소송 비용의 부담에 관하 여는 민사소송법 제 89 조 제 92 조, 가집 행선고에 관하여는 같은 법 제 199 조 소송촉진등에관한특례법 제 6 조를 각 적용하여 주문과 같이 판결 한다."
