"판시사항","허무의 토지에 보존등기가 경료된 후 실재토지가 등록 전환되어 허무토지와 같은 지번을 부여받은 경우 실재 토지소유자의 허무토지상의 보존등기말소청구의 가부이다."
"판결요지","허무의 토지에 대하여 피고 명의의 보존등기가 되고 추후에 우연한 연유로 실재하는 토지가 일부 분할되어 개간되어 지목변경됨으로 등록전환되어 위 허무토지와 같은 지번을 부여받아 실재하는 토지에 대하여 원고 명의의 이전등기가 경료되어 있다."
"판결요지","원고는 부동산등기법상의 이의신청에 의해서 위 보존등기의 말소를 구할 수 있음은 물론 실재 토지소유권자로서 방해배제청구권을 행사하여 위 보존등기의 말소를 구할 수 있다."
"이유","서울민사지방법원 동부등기소 등기번호 제10573호 등기부상 1959. 1. 10. 접수 제97호로써 경기 남양주군 별내면 퇴계원리 271의 1 전 105평을 표제로 한 피고명의의 소유권보존등기가 경료되어 있는 사실이다."
"이유"," 같은등기소 등기번호 제2027호 등기부상 1973. 9. 29. 접수 제13876호로써 같은 번지, 즉 위 퇴계원리 271의 1 전 8,628평방미터를 표제로한 원고명의의 소유권이전등기가 경료되어 있는 사실에 관하여서는 당사자사이에 다툼이 없다."
"이유","성립에 다툼이 없는 갑 제2호증의 1, 2, 제3호증, 제4호증의 1, 2, 제5호증의 각 기재에 변론의 전취지를 더하여 보면, 위 제1등기부상 보존등기 당시 퇴계원리 271의 1 전 105평은 실제하지 아니한 허무의 토지인데도 토지대장이나 지적도상의 근거도 없다."
"이유","그중 일부인 임야 8단5무보를 같은번지의 14로 분할하여 농지인 전으로 개간한 후 1970. 12. 10. 동 개간을 원인으로 하여 같은 임야 8단5무보를 임야대장으로부터 토지대장상 전 8,628평방미터로 등록 전환하다."
"이유"," 같은리 271의 1 지번을 부여받음으로써 탄생하게 된 부동산인데 원고가 1973. 6. 25. 같은 정사각으로부터 위 산 46의 1 잔여임야와 같은리 271의 1 전 8,628평방미터를 모두 매수하여 동 잔여임야에 관하다. "
"이유","소유권이전등기를 경료한 후 1978. 8. 31. 위 분할 및 지목전환등을 원인으로 하여 같은 271의 1 전 8,628평방미터에 관하여서도 등기절차를 경료함으로써 비로소 위 제2등기부 표제부동산으로 등재하기에 이른 사실을 각 인정할 수 있고 달리 반증이 없다."
"이유","그렇다면 위 제1등기부상 조선부동산등기령에 따라 경료된 피고 명의의 소유권보존등기는 사건이 등기할 것이 아닌 때에 해당한 것을 등기한 것으로서 법리상 본래부터 무효라고 아니할 수 없다."
"이유","추후에 우연한 연유로써 같은 지번을 부여받은 실재하는 토지소유자로서 1978. 8. 당시 시행되던 부동산등기법에 따라 동 실재토지에 관하여 위 제2등기부에 적법유효한 소유권이전등기를 필한 원고로서는 현행이다."
"이유","부동산등기법 제178조 소정의 이의신청을 하여 동 제1등기부상 무효인 피고명의의 소유권보존등기의 말소를 구할 수 있음과 아울러 동 제2등기부상 표제부동산에 기초한 방해배제청구권에 근거하여 위 무효인 제1등기부상 등기에 관하여 말소를 구할 수 있다 할 것이다."
"이유","결국 피고는 원고에게 주문기재의 등기를 말소할 의무가 있다 할 것이어서 같은 등기의 말소를 구하는 원고의 이 건 청구는 이유있어 이를 인용하기로 하고, 소송비용의 부담에 관하여서는 민사소송법 제89조를 적용하여 주문과 같이 판결한다."
