"판시사항","주택 임대차 보호 법상의 임차 주택에 대한 임대인의 지위승계에 대하여 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있는지 여부"
"판결요지","주거용건물의 임대차관계에서는 주택임대차 보호법 제3조 제1항,  제2항에 의하여 임차주택의 양수인이 당연히 임대인의 지위를 승계한 것으로 보고, 양도인은 임차보증금반환채무를 면한다. "
"판결요지","보아야 할 것이지 임차인의 선택에 따라서 임대인의 지위에 대한 승계 여부가 달라지거나 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있다고 볼 수는 없다."
"이유","원고는 위 임차기간이 1998. 10. 30.로 만료하였음을 이유로 위 임차보증금의 반환을 청구함에 대하여, 피고는 위 임차보증금 반환의무는 1998. 10. 1. 이 사건 주택의 양수인에게 인수되고 피고는 그 반환의무를 면하였다고 항변하므로 살피다."
"이유","을 제1호증, 갑 제3호증의 각 기재에 변론의 전취지를 종합하면, 위 주택에 관하여는 1998. 10. 1. 소외 백영식에게 같은 해 9. 28. 매매를 원인으로 한 소유권이전등기가 마쳐다."
"이유","이어 1999. 10. 22. 소외 주식회사 국민은행에 의한 임의경매(이 법원 99타경64842)의 기입등기가 마쳐진 사실을 인정할 수 있고 반증 없다."
"이유","위 임차보증금 반환의무는 주택임대차보호법 제3조 제1항, 제2항에 의하여 위 주택의 양수인으로서 임대인의 지위를 승계한 위 백영식에게 이전되어 양도인인 피고의 위 보증금반환채무는 소멸하였다고 할 것이므로 피고의 위 항변은 이유 있다."
"이유","이에 대하여 원고는, 원고가 피고에 대하여 위 임차기간만료 3개월 전 구두로 위 임대차계약의 해지를 통보하였으므로 그 임대인의 지위가 양수인에게 승계된 것이 아니라고 주장하므로 살피다."
"이유","앞서 본 바와 같은 임차기간의 약정이 있는 이상 임차인의 일방적 의사표시로 위 임차대차계약에 대한 해지의 효력이 발생할 수 없음은 물론이다."
"이유","갑 제4, 5, 6호증의 각 기재만으로는 원·피고 사이에 해지의 합의나 임대차관계종료의 합의가 있었음을 인정하기에 부족하며 달리 이를 인정할 아무런 증거가 없다."
"이유","위 주택에 대한 위 양도행위 이전에 위 임대차계약관계가 종료하여 임대인의 지위가 승계되지 아니하였다는 취지의 주장은 이유 없다."
"이유","나아가 임차주택에 대한 임대인의 지위승계에 대하여 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있는지를 살피다."
"이유","주택 임대차 보호법의 적용 대상인 '주거용 건물'이 아닌 상가 건물 등의 임대차 관계에서는 그러한 법리가 적용된다고 볼 것이다."
"이유","그러나 주거용건물의 임대차관계에서는 주택임대차보호법 제3조 제1항, 제2항에 의하여 임차주택의 양수인이 당연히 임대인의 지위를 승계한 것으로 보고,양도인은 임차보증금반환채무를 면한다고 보아야 할 것이다."
"이유","이지 임차인의 선택에 따라서 임대인의 지위에 대한 승계 여부가 달라지거나 임차인이 이의를 함으로써 승계되는 임대차관계의 구속을 면할 수 있다고 볼 수는 없다."
"이유","임차인이 그 승계를 원하지 않는다면 미리 그러한 약정을 하거나 승계 이전에 임대차관계를 종료하는 방법 등이 있을 수 있다."
"이유","대법원 94다 37646 판결은 임차기간 중에 임차 주택이 경매되는 경우에는 임차인의 해지 권이 인정 된다."
"이유","그 해지에 의하여 임대차관계가 종료되면 개정 전 주택임대차보호법 제3조의2 제1항 단서에 해당하지 아니하므로 우선변제를 청구할 수 있다는 것일 뿐이지 일반적으로 임차인이 승계를 원하지 아니할 때에는 승계되는 임대차관계의 구속을 면할 수 있다는 취지는 아니라고 할 것이다."
"이유","주택임대차보호법의 위와 같은 승계규정들은 임차주택이 최소한의 담보가 된다는 전제하에 임차인의 보호를 위하여 마련된 규정이나 현실에 있어서는 승계되지 아니하였던 편이 임차인에게 경제적으로 유리한 경우도 없지 아니할 것이다."
"이유","법규 정은 자신의 권리 확보를 위하여 최선을 다하는 합리 적인 인간을 전제로 하는 것 이다."
"이유","임차인의 보호를 위한다고 하여 임차인이 법률 관계를 개별적·일방적으로 선택할 수 있게 할 수는 없을 것 이다."
"이유","원고는 다시, 피고와 위 백영식 사이에서는 실제 매매가 이루어진 것이 아니고 원고에 대한 위 임차보증금 반환채무를 면탈하기 위하여 명의를 이전한 것 뿐이라는 취지로 주장한다."
"이유","갑 제1 내지 6호증, 을 제1호증의 각 기재만으로는 피고와 위 백영식 사이의 위 매매계약이 통정허위표시이거나 무효임을 인정하기에 부족하고 달리 이를 인정할 아무런 증거가 없으므로 위 주장도 이유 없다."
"이유","그렇다면 원고의 이 사건 청구는 이유 없어 이를 기각하고,소송비용의 부담에 관하여는  민사소송법 제89조를 적용하여 주문과 같이 판결한다."
