"판시사항","퇴근길에 우연히 탑승권유를 받아 회사 승용차에 타고 가다가 교통사고를 당한 경우 업무상 재해가 아니라고 한 사례"
"판결요지","업무용자동차종합보험계약의 피보험자인 회사의 과장이 평소 출·퇴근용으로 이용하던 회사 승용차로 퇴근을 하던 길에 회사정문 앞 버스정류장에서 버스를 기다리던 직원 5명을 우연히 발견하고 그들을 태워 가다가 교통사고가 발생하여 직원이 다친 경우에 직원의 부상은 업무상의 재해가 아니다."
"이유","갑 제1, 3,4,5호증, 갑 제8호증의 4 내지 16, 갑 제9호증의 각 기재와 변론의 전취지를 종합하면 다음과 같은 사실을 인정할 수 있고, 달리 반증이 없다."
"이유","따라서 피고는 소외 회사와 자동차종합보험계약을 체결한 보험자로서 상법 제724조 제2항, 부칙 제2조 제1항에 의하여 원고들에게 위 손해배상금을 지급할 의무가 있다."
"이유","피고는, 업무용자동차종합보험약관 제10조의2 제4항에 의하면, 배상책임이 있는 피보험자의 피용자로서 근로기준법에 의한 재해보상을 받을 수 있는 사람이 죽거나 다친 경우에는 보상하지 않는다고 규정되어 있는 바이다."
"이유","위 원고는 업무의 연속인 퇴근길에 이 사건 사고를 당하였다 할 것이어서 이는 업무상 재해에 해당되고 소외 회사는 근로기준법 적용업체이므로 위 원고는 소외 회사로부터 재해보상을 받을 수 있다."
"이유","따라서 이는 위 보험약관에서 정하는, 보상하지 않는 손해에 해당되므로 원고들의 청구에 응할 수 없다고 항변한다."
"이유","소외 회사가 근로기준법 적용업체인 사실을 각 인정할 수 있으나,나아가 과연 이 사건 사고가 업무상 재해에 해당되어 위 원고가 근로기준법에 의한 재해보상을 받을 수 있는지에 관하여 본다."
"이유","무릇 근로자의 통근행위는 노무의 제공이라는 업무와 밀접불가분의 관계에 있다 하더라도 일반적으로 통근방법과 그 경로의 선택이 근로자에게 유보되어 있어 통상사용자의 지배관리하에 있다고 할 수 없다."
"이유","이로써 사용자인 소외 회사가 위 원고 등에게 위 승용차를 통근용 교통수단으로 제공하였다거나 이에 준하는 교통수단으로서 이용하게 한 것이라고 보기는 어려워 위 원고의 위 퇴근과정이 소외 회사의 지배관리하에 있었다고 볼 수 없다 할 것이다."
"이유","달리 이 사건 사고를 업무상 재해라고 인정할 증거가 없으므로 위 사고가 업무상 재해에 해당함을 전제로 한 피고의 위 항변은 이유 없다."
"이유","피고는, 위 소외 1이 업무시간중에만 운행하도록 되어 있는 위 승용차를 업무시간 외에 회사의 지시를 어기고 자신의 이익만을 위하여 소외 회사 몰래 무단으로 운행함으로써, 소외 회사는 위 승용차에 대한 운행이익이나 운행지배를 상실하였다."
"이유","피해자인 위 원고도 위 소외 1이 무단운행하는 점을 알면서도 이에 탑승하여 위 소외 1과 운행이익을 공유하였으므로 소위 회사는 위 사고로 인한 손해에 대하여 아무런 책임이 없다고 항쟁한다."
"이유","설사 위 승용차가 무단운행되었다고 하더라도 위 원고가 위 승용차가 무단운행되는 정을 알았다고 볼 증거도 없으므로 피고의 위 주장도 이유 없다."
"이유","그러나 위에서 본 위 원고의 동승 경위만 가지고는 위 원고에게 어떠한 과실이 있다거나 또는 가해자측에게 일반의 교통사고의 경우와 같은 책임을 지우는 것이 신의칙이나 형평의 원칙에 비추어 불합리하다고는 인정되지 아니하므로 피고의 위 주장은 받아 들이지 않는다."
"이유","피고는, 위 원고가 위 승용차에 탑승함에 있어서 정원을 초과하여 승차함으로써 손해의 범위를 확대하는 데 기여한 잘못이 있으므로 피고가 배상할 손해액을 정함에 있어서 이를 참작하여야 한다고 주장한다."
"이유","위와 같이 정원을 초과하여 탑승한 것이 이 사건 사고의 발생이나 그로 인한 손해의 확대에 기여하였음을 인정할 증거가 없으므로 피고의 위 주장 역시 이유 없다."
"이유","원고 1이 이 사건 사고로 상실한 가동능력에 대한 금전적 총평가액 상당의 일실수입 손해는, 다음 (1)과 같은 인정사실 및 평가내용을 기초로 하여,다음 (2)와 같이 월 12분의 5푼의 비율에 의한 중간이자를 공제하는 단리할인법에 따라 이 사건 사고 당시의 현가로 계산한 금 22,781,558원이다."
"이유","갑 제10호증의 3의 기재에 의하면 위 원고가 병실차액금으로 위 박애병원에 금 525,000원을 지급한 사실을 인정할 수 있으나, 이는 통상의 손해범위를 넘는 것으로서 이 사건 사고와 상당인과관계에 있는 손해라고 보기 어려우므로 원고의 이 부분 청구는 이유 없다."
"이유","이 사건 사고에 관하여 위 원고의 과실이나 피고의 손해배상액을 감경할 사유가 없음은 앞서 본 바와 같으므로 그와 같은 사유가 있음을 전제로 한 피고의 위 공제 주장은 더 나아가 살필 필요 없이 이유 없다."
"이유","그 다음날부터 완제일까지는 소송촉진등에관한특례법 소정의 연 2할 5푼의 각 비율에 의한 지연손해금을 지급할 의무가 있다 할 것이다."
"이유","따라서 원고들의 이 사건 청구는 위 인정범위 내에서 이유 있어 이를 각 인용하고, 그 나머지 청구는 이유 없어 이를 각 기각할 것인 바이다."
"이유","원심판결은 이와 결론을 일부 달리 하여 원고들의 청구를 모두 기각하여 부당하므로 원고들의 항소를 일부 받아들여 주문과 같이 판결한다."
