"판결요지","부동산등기는 물권변동이 일응 진정하게 이루어진 것이라는 사실에 대한 공시적 기능을 하는 것이므로 특별한 사정이 없는 한 그 등기를 신뢰한 데에 어떤 과실이 있다고 할 수 없다."
"이유","등기를 신청함에 있어서 필요한 서면의 하나인 등기의무자의 권리에 관한 등기필증이 멸실된 때에는, 부동산등기법 제49조는, 등기신청서에 그 등기소에서 소유등기를 한 성년자 2인 이상이 등기의무자가 본인임을 보증하는 서면을 첨부하여 등기할 수 있는 길을 열어 놓고 있다."
"이유","이로 보아 위 보증서를 제출하게 한 이유는 그 보증서로서 등기필증의 소지에 가름하여, 등기의무자로 행세하면서 등기신청을 하는 자와 등기명의인과의 동일성을 확인하여 부정등기를 방지하자는 데에 있는 것이라 생각된다."
"이유","부동산등기법 제49조 소정의 1970.12.7.자 보증서를 작성·첨부하여 등기신청을 한 결과 1970.12.9. 그에 따른 소외 OOO 명의로의 위 부동산에 대한 소유권이전등기가 이루어졌던 것이다."
"이유","그러한 경위로 위 부동산의 소유등기명의를 취득한 소외 OOO은 1970.12.12.경 그 등기를 신뢰한 원고와 교섭한 결과 그 부동산을 담보로 금 1,500,000원을 대여받기로 합의가 이루어진다."
"이유","담보제공의 방법으로서는 위 부동산에 대하여 원고 명의로 근저당권설정등기와 아울러 매매계약을 원인으로 한 소유권이전등기 청구권보전의 가등기를 함께 경료해 두기로 되어, 그 등기사무를 소외 이두영 사법서사에게 위임하였다."
"이유","이렇게 되자 원고는 이리 저리 알아 본 결과 비로소 담보로 제공받을 부동산에 대한 소외 한완석 명의의 등기가 원인무효의 등기였다는 사실을 탐지하게 된 사실을 인정할 수 있고 달리 위 인정에 반하는 증거없다."
"이유","피고들의 이러한 과오에 의한 보증행위는 그 결과 이루어진 위 허위등기를 믿고 그 등기부동산을 담보로 할 것을 전제로 돈을 대여함으로써 원고가 입게 된 손해와 인과관계가 있다고 아니할 수 없는 것이다."
"이유","결국 피고들은 원고가 소외 OOO에게 대여한 금 50만원과 그 손해발생일 이후의 지연손해금을 연대하여 배상할 책임이 있다할 것이다."
"이유","또 피고들은 원고의 위 금원대여로 인한 손해는 원고가 소외 OOO명의의 등기만을 믿은 채 동 소외인에 관한 여러가지 사정이나 동 소외인의 등기명의를 취득한 경위를 확인해 보지 아니한 과실에 의한 것이므로 피고들에게는 원고의 손해에 대한 배상책임이 없다."
"이유","원고의 본소 청구는 정당하여 인용할 것인바, 이와 결론을 달리하여 원고의 청구를 배척한 원판결은 부당하고 원고의 항소는 이유있으므로 원판결을 취소한다."
