"판시사항","가 등기 후에 주택을 임차한 자가 임 차후 본 등기를 경료한 자에게 대항할 수 있는지 여부 이다."
"판결요지","원고 명의로 1979. 11. 26. 가등기가 되고 그 다음 피고들이 1981. 3. 5. 전에 위 가등기된 건물에 입주하여 전입신고를 마친 후인 1981. 3. 23. 위 건물에 대하여 원고명의로 위 가등기에 기한 소유권이전의 본등기가 된 경우 이다."
"판결요지","위 본등기의 순위는 1981. 3. 5. 전인 위 가등기의 경료일로 소급된다 할 것이므로 원고는 위 법 부칙 제2조 단서의 위법 시행전에 물권을 취득한 자에 해당되어 피고들은 위법의 보호대상에서 제외된다."
"이유","소외인의 소유였던 사실, 이 사건 건물에 관하여 채권담보의 목적으로 원고의 명의로 서울민사지방법원 동대문등기소 1979. 11. 26. 접수 제78525호로서 소유권이전청구권보전을 위한 가등기가 경료된다."
"이유"," 그후 원고와 위 소외인간의 1980. 1. 21.자 제소전 화해조서정본에 의하여 같은등기소 1981. 3. 23. 접수 제6614호로서 위 가등기에 기한 본등기가 경료된 사실 이다."
"이유"," 이 사건 건물중 피고 김총교는 2층 16평 2홉중 별지도면표시 부분 3평을, 피고 김성택은 1층 16평 2홉중 같은도면표시 부분 13평 2홉을, 피고 박경효는 지하실 16평 2홉을 각 점유하고 있는 사실에 관하여는 당사자 사이에 다툼이 없다."
"이유","성립에 다툼이 없는 갑 제2호증의 기재와 변론의 전취지를 종합하면, 원고는 위 소외인으로부터 1980.2.25.까지 금14,000,000원을 수령함과 상환으로 위 소외인에게 위 가등기를 말소하기로 하고 위 소외인이 위 기일까지 위 금원을 지급하지 아니할 때에는 원고에게 채권담보의 목적으로 위 가등기에 기한 본등기절차를 이행한다. "
"이유","담보권의 실행을 위하여 이 사건 부동산을 명도하기로 하는 제소전 화해를 한 사실 및 위 소외인이 아직 위 금원의 지급을 지체하고 있는 사실을 각 인정할 수 있고 반증없다."
"이유","그런데 피고들은 위 소 외인 으로 부터 위 각 점유 부분을 별 지 기재와 같이 임차 하였다."
"이유","그후 위 임대차계약은 묵시적으로 갱신되어 오던중 원고가 이 사건 건물에 관하여 위와 같이 소유권이전등기를 경료하면서 위 소외인의 피고들에 대한 임차보증금 반환채무를 인수하였으므로 원고가 위 각 임차보증금을 반환하지 아니하면 원고의 이 사건 명도청구에 응할 수 없다고 다투고 있으므로 살피건대 있다."
"이유","원심증인 소외인의 증언에 의하여 진정성립이 인정되는 을 제5호증, 제8호증, 제9호증. 제6호증 의 각 기재와 위 증인의 일부증언에 변론의 전취지를 보태어 보면, 피고들 주장과 같은 임대차계약사실은 인정되다."
"이유","나아가 원고가 그 임대차 보증금 반환 채무를 인수 하였다는 점에 관하여 보면 이에 부합하는 위 증인 이다."
"이유","소외인의 일부증언 은 위 갑 제2호증의 기재와 변론의 전취지에 비추어 믿을 수 없고 달리 이를 인정할 증거없으므로 위 다툼은 이유없다."
"이유","다시 피고들은 위 소외인으로부터 위 각 점유부분을 임차하여 이에 입주한 후 1981. 3. 5. 전인 별지목록기재일에 그에 따른 주민등록을 하여 전입신고를 마쳤으며 원고는 1981. 3. 23. 이 사건 건물에 대한 소유권을 취득하였다."
"이유","피고들은 주택임대차보호법에 의하여 1981. 3. 5. 이후에 소유권을 취득한 제3자인 원고에게 대항할 수 있으므로 원고로부터 위 각 임차보증금을 반환받지 아니하면 원고의 이 사건 청구에 응할 수 없다고 다투고 있으므로 살피건대 있다."
"이유","성립에 다툼이 없는 을 제1호증, 제3호증, 제4호증 의 기재에 의하면 피고들 주장과 같은 입주 및 주민등록 사실을 인정할 수 있다."
"이유","주택임대차보호법 제3조 1항에 의하면 임대차는 그 등기가 없는 경우에도 임차인이 주택의 인도와 주민등록을 마친 때에는 그 익일부터 제3자에 대하여 효력이 생기고 이 경우 전입신고를 한 때에 주민등록이 된 것으로 보게 되어 있다."
"이유","같 은법 부칙 제 2 조에 의하면 위 법은 시행 일인 1981. 3. 5. 후에 체결되거나 갱신된 임대차에 이를 적용 한다. "
"이유","다만 제3조의 규정은 위 법 시행당시 존속중인 임대차에 대하여도 이를 적용하되 위 법 시행전에 물권을 취득한 제 3자에 대하여는 그 효력이 없다고 규정되어 있는바이다."
"이유","앞에서 살핀 바와 같이 원고는 위 법 시행 후에 그 소유권 이전 등기를 경료 하였다."
"이유","그 등기는 피고들의 각 전입신고일 전인 1979. 11. 26.에 이미 경료된 가등기에 기하여 이루어진 본등기이므로 위 본등기의 순위는 1981. 3. 5. 전인 위 가등기의 경료일로 소급된다 할 것이다."
"이유","이러한 본 등기에 의한 권리는 가등기후 본 등기 전에 이루어진 등기에 의하여 취득된 일체의 권리에 우선 된다. "
"이유"," 이에 저촉되는 권리의 취득은 모두 그 효력을 상실하게 되는 법리에 비추어1981. 3. 5. 전에 경료된 가등기에 기하여 위와 같이 소유권이전의 본등기를 한 원고는위 법 부칙 이다."
"이유","제2조 단서에서 지칭하는 위 법시행전에 물권을 취득한 자에 해당된다고 보아야 할 것이므로 피고들의 위 다툼 역시 그 이유없다 하겠다."
"이유","또 피고 김OO은 가사 원고가 같은 피고에게 직접 위 임차 보증금을 반환할 의무가 없다 하더라도 원고 이다."
"이유","소외인에 대한 금9,000,000원의 채권을 위하여 담보권을 실행하여 싯가 25,000,000원 상당의 이 사건 건물에 관하여 위와 같이 그 명의로 소유권이전등기를 경료하였으므로 원고는 위 금 25,000,000원에서 그가 지급받을 금 9,000,000원을 공제한 나머지 금 16,000,000원의 정산금을 위 소외인에게 반환할 채무가 있다 할 것인바이다."
"이유","위 소외인은 무자력자이므로 같은 피고는 위 소외인에 대한 금 4,000,000원의 임차보증금 반환채권자로서 위 소외인의 원고에 대한 위 금 16,000,000원의 정산금 반환채권중 위 금 4,000,000원의 채권에 대한다."
"이유"," 위 소외인을 대위하여 원고에 대하여 그 지급을 구하여 그 지급시까지 유치권을 행사한다는 취지로 다투고 있다."
"이유","원고 명의로의 위 소유권이전의 본등기는 앞에서 살핀 바와 같이 채권담보의 목적으로 경료된 것에 지나지 않으며 이를 담보권의 실행이라 볼 수 없을 뿐 아니다."
"이유","원고가 그 후 이 사건 건물에 관하여 환가처분 또는 평가청산등 담보권을 실행하여 정산절차를 밟았음에 대한 아무런 입증이 없으므로 원고와 위 소외인간의 채권, 채무관계는 계속 존재한다 할 것이다."
"이유","원고가 이 사건 건물에 관하여 담보권을 실행하였음을 전제로 한 같은 피고의 위 다툼은 더 살펴볼 필요없이 그 이유없다 하겠다."
"이유","그렇다면 피고들이 달리 이 사건 건물중 각 그 점유부분을 점유할 정당한 권원있음에  대한 주장, 입증이 없는 이 사건에 있어서 피고들은 원고에게 그 점유부분을 각 명도할 의무가 있다 할 것이므로 이의 이행을 구하는 원고의 이 사건 청구는 이유있어 인용할 것인바이다."
"이유","이와 결론을 같이 한 원 판결은 정당하고 피고들의 항소는 모두 그 이유 없어 기각 하기로 한다."
"이유","소송비용의 부담에 관하여는 민사소송법 제95조, 제89조, 제93조를, 가집행의 선고에 관하여는 같은법 제199조를 각 적용하여 주문과 같이 판결한다."
