"판시사항","건물 등기의 지번 표시에 다소의 착오 또는 유루가 있으나 실체의 권리 관계를 공시함에 족한 근사성이 있다고 인정된 사례이다."
"판결요지","용산구 후암동 102의8 지상에 있는 건물에 관하여 위 102의8이 분할되기 전의 지번인 같은동 102의 1 지상에 있는 건물로 등기되어 있다고 하더라도 이는 실체적권리관계를 공시함에 충분할 정도로 사실과 사이에 근사성이 있는 경우이므로 위 등기는 유효하다."
"이유","성립에 다툼이 없는 갑 제4호증, 을 제1호증 의 각 기재를 종합하여 보면 서울 용산구 후암동 102의8 대 48평에 대하여 원고명의로 소유권이전등기가 경료되어 있다."
"이유","동 102의 1 지상 제1호 목조와즙 평가건 본가1동 건평 14평 9홉에 대하여는 소외 박도행명의로 소유권이전등기가 경료되어 있는 사실을 인정할 수 있다."
"이유","원고는 서울 용산구 후암동 102의8 대지와 그 지상건물은 원래 동 동 102의1 대지에서 분할되었는데 분할전인 1954.11.30. 소외 장종두가 국가로부터 불하받아 대금을 완납하였다."
"이유"," 그 소유권이전등기를 함에는 착오로 인하여 동 동 102의1 대지와 그 지상 제1호 건물로 잘못 경료하여 놓았기 때문이다."
"이유","그후 동 동 102의1 대지와 그 지상건물을 실제로 불하받은 소외 신태식, 동 진한규가 원고가 되어 위 장종두, 그로부터의 매수자 소외 우수형 및 경락에 의한 소유권취득자 소외 박도행을 피고들로 하여 동 대지중 이다."
"이유","36.8/45.7지분소유권이전등기말소등기절차이행의 소를 제기한 결과 위 신태식들의 승소판결의 확정에 따라 위 소외인들 앞으로 경료되었던 위 36.8/45.7 지분소유권이전등기는 원인무효로서 각 말소등기가 경료되자  위 장종두의 재산상속인인 그 처 소외 임봉순이 국가에 대하여 위 장종두가 위 102의8 대지를 실제로 불하받았다."
"이유"," 위와 같이 착오로 잘못 등기된 위 102의1 대 45평 7홉중 36평 8홉에 대한 명의변경, 위치 및 지적의 시정신청을 한 결과 위 102의8 대 48평을 불하받게 되었다."
"이유","그 소유권이전등기를 경료한 후 위 102의8 대 48평과 그 지상의 미등기인 건물을 소외 최창옥에게 매도하고 동 소외인은 이를 원고에게 매도하여 원고는 동 대지에 대하여는 소유권이전등기를 경료하여 받았다."
"이유"," 위 건물에 대하여는 미등기인채 이를 소유하게 되었으니 원고는 위 건물의 전 소유자인 위 최창옥, 동 임봉순, 동 장종두 및 국가를 순차 대위하여 이를 불법점유사용하고 있는 피고들에 대하여 그 명도를 구한다."
