"판시사항","비정상적으로 주식거래대금을 위탁받은 증권사 직원의 행위가 사무집행에 관한 행위가 아니라는 이유로, 위탁고객의 손해에 대한 증권사 책임을 부정한 사례"
"이유","다음의 사실은 당사자 사이에 다툼이 없거나 갑 제3호증의 1, 2, 갑 제4 내지 7호증, 을 제6호증의 각 기재, 원심 및 당심 증인 소외 1, 원심증인 소외 2의 각 증언에 변론의 전취지를 보태어 보면 이를 인정할 수 있고 달리 반증이 없다."
"이유","원고는 피고 회사의 OOO지점 지점장으로 근무하고 있던 소외 1로부터 주식 투자를 하라는 권유를 받고 1995. 1. 3. 위 OOO지점의 현금출납 담당 직원이던 소외 2 개인 명의로 OOO은행 OOO지점에 개설되어 있던 예금계좌을 통하여 소외 1에게 금 200,000,000원을 송금하였다."
"이유","소외 1은 원고로부터 송금받은 금 200,000,000원을 송금 당일 인출하여 그 중 금 130,000,000원은 자신이 개인적으로 관리하고 있던 소외 4 명의의 증권거래구좌에 입금하였다."
"이유","나머지 금 70,000,000원 역시 자신이 관리하고 있던 자신의 자형인 소외 3의 증권거래구좌에 입금하였다가 다시 그 중 금 36,000,000원을 다른 구좌에 입금한 후 금 166,000,000원은 주식 매매, 개인적인 사채 변제 등으로 임의 사용하였다."
"이유","소외 3 구좌에 남아있던 금 34,000,000원으로 임의로 주식 거래를 하였으나 이전에 피고 회사로부터 신용대출받은 바 있는 금원에 대한 이자 부담과 주가 하락, 금원 인출 등으로 인하여 오히려 금 900,000원이 모자라는 마이너스 구좌로 되었다."
"이유","원고는 원고가 피고 회사 OOO지점장인 소외 1로부터 그가 피고 회사 OOO지점에 원고 명의의 증권거래구좌를 개설한 후 그 구좌에 원고로부터 송금받은 돈을 예탁하고 원고와 상의하여 주식을 매수하거나 매도하는 등으로 원고의 증권거래 구좌를 관리하여 주겠다고 하여 금 200,000,000원을 송금하여 주었다."
"이유","또 피고 회사 OOO지점이 주식의 매매 기타의 거래를 함에 있어서 위와 같이 원고에게 금 200,000,000원의 손해를 끼쳤으므로         증권거래법 제41조의 규정에 따라 원고에게 그 손해를 배상할 책임이 있다고 주장한다."
"이유","이에 대하여 피고는, 원고가 소외 1에게 금 200,000,000원을 송금하고 소외 1이 이를 사용하여 주식 거래를 하거나 임의로 소비, 횡령한 것은 원고와 소외 1 사이의 개인적인 거래에 불과하므로 소외 1이 피고의 사무 집행에 관하여 원고에게 손해를 가하였다고 할 수 없다."
"이유","또 피고 회사 OOO지점은 원고와 사이에 주식의 매매 기타 거래를 한 적이 없으므로 원고의 청구에 응할 수 없다는 취지로 다툰다."
"이유","나아가 송금 후 소외 1을 통하여 원고 명의의 구좌가 개설되었는지 여부, 구좌의 비밀번호 등을 확인하거나 소외 1에게 증권카드, 입금확인서 등을 교부하여 줄 것을 요구하지도 않았던 사실이다."
"이유","소외 1은 원고로부터 위와 같이 금 70,000,000원을 송금받은 후 그가 관리하고 있던 수십여 개의 차명구좌를 이용하여 그의 판단과 위험부담하에 임의로 주식 매매 등을 행하였다."
"이유","같은 해 8.경 원고의 요구에 따라 주식 매매 거래 실적과 관계없이 그 각 차명구좌에서 조금씩 돈을 인출하여 원고에게 7천여 만 원을 반환하여 주었다."
"이유","원고는 소외 1이나 피고 회사에게 반환받은 7천여 만 원의 산출 근거, 거래 내역 등에 대하여 아무런 확인 조치도 취하지 아니한 사실이다."
"이유","이 때에도 원고는 반환받은 금 230,000,000원의 산출 근거, 거래 내역 등에 대하여 소외 1이나 피고 회사에 아무런 확인 조치를 취하지 않은 사실이다."
"이유","금 200,000,000원을 주식매입대금으로 보관하며 원고가 지불을 요구할 때에는 금 200,000,000원을 언제든지 지불하겠으며 지불책임을 ,이행하지 아니하여 발생되는 모든 민·형사책임은 자신 및 피고 회사에서 지겠다."
"이유","이 사건 사고 발생 후에도 소외 1에게만 개인적으로 변상을 요구하였을 뿐 이 사건 소송을 제기하기 전까지 피고 회사에 대하여 한 번도 손해배상을 요구한 적이 없는 점이다."
"이유","더욱이 1987. 10.경부터 1989. 12. 3.까지 사이에 있어서는 원고가 소외 1의 권유로 피고 회사와 사이에 정상적인 주식 위탁매매 등의 거래를 한 적이 있는 점 등 이 사건 변론에 나타난 제반 사정을 종합적으로 참작하여 보았다."
"이유","피고 회사의 사무 집행에 관하여 행한 것이라고 인정하기 어려울 뿐만 아니라, 가사 원고가 피고 회사 OOO지점에 근무하는 직원의 은행예금계좌를 통하여 소외 1에게 금원을 송금한 사정이 인정된다."
"이유","증권거래법 제41조는 ""증권회사는 지점 기타 영업소가 유가증권의 매매 기타의 거래를 함에 있어서 타인에게 손해를 끼친 때에는 피해자에 대하여 그 손해를 배상할 책임을 진다.""고 규정하고 있다."
"이유","따라서 원고의 위 주장 역시 나머지 점에 대하여 더 나아가 살펴볼 필요 없이 이유 없다."
"이유","그렇다면, 원고의 이 사건 청구는 이유 없어 이를 기각하여야 할 것인바, 원심판결은 이와 결론을 같이하여 정당하므로 원고의 항소를 기각하고, 항소비용은 패소자인 원고의 부담으로 하여 주문과 같이 판결한다."
