"판시사항","주택에 대해 임차인이 주택의 인도, 주민등록 및 확정일자 부여의 3가지 요건을 모두 갖춘 날과 근저당권 설정일이 같을 경우, 배당절차에서의 배당 순위"
"판결요지","주택임대차보호법 제3조의2 제1항에 규정된 주택임차인의 우선변제권은 주택의 인도와 주민등록, 임대차계약증서상의 확정일자 부여라는 3가지 요건을 모두 갖춘 시점에 즉시 취득한다 할 것이다."
"판결요지","동일 건물에 대해 임차인이 위 3가지 요건을 모두 갖춘 날과 근저당권 설정일이 같은 경우, 그 임차권과 근저당권은 배당절차에 있어서 같은 순위로 보아야 한다."
"이유","원고는 1994. 7. 28. 별지 목록 기재 부동산의 소유자인소외인과, 채권최고액 금 84,000,000원, 채무자 위 소외인, 근저당권자 원고로 하는 근저당권설정계약을 체결하고,같은 날 위 부동산에 관하여 순위 1번으로 위와 같은 내용의 근저당권설정등기를 마쳤다."
"이유","피고는 1994. 7. 21. 위 75,000,000원, 임차기간 같은 달 27.부터 2년간으로 약정하여 임차하고, 같은 달 27. 위 부동산에 입주하여 그 다음날인 1994. 7. 28. 주민등록법상의 전입신고를 함과 아울러 위 임대차계약서상에 확정일자를 갖추었다."
"이유","위 부동산에 관하여 서울지방법원 95타경50678호로 임의경매절차가 개시되자, 원고는 1순위 근저당권자로서 피담보채권인 원금 68,737,460원과 이자 금 6,131,758원을 합한 금 74,869,218원을, 피고는 확정일자를 갖춘 임차권자로서 임차보증금반환 청구 채권인 금 75,000,000원을 각 배당 요구하였다."
"이유","따라서 위 법원이 원·피고를 같은 순위 권리자로 보아 위와 같이 배당표를 작성한 것은 부당하므로 위 배당표는 청구취지 기재와 같이 경정되어야 한다고 주장한다."
"이유","위 법 제3조의2 제1항은 그 법문상 대항 요건과 확정일자를 갖추면 곧바로 임차인에게 우선변제권이 생기는 것으로 규정하고 있으니 피고의 우선변제권은 위 3가지 요건을 구비한 날짜인 1994. 7. 28.에 발생한다고 보아야 하므로 피고는 같은 날 근저당권설정등기를 마친 원고와 같은 순위 권리자라고 주장한다."
"이유","임대차는 그 등기가 없는 경우에도 임차인이 주택의 인도와 주민등록을 마친 때에는 그 익일부터 제3자에 대하여 효력이 생긴다."
"이유","제3조의2 ① 제3조 제1항의 대항 요건과 임대차계약증서상의 확정일자를 갖춘 임차인은 민사소송법에 의한 경매 또는 국세징수법에 의한 공매시 임차주택의 환가대금에서 후순위 권리자 기타 채권자보다 우선하여 보증금을 변제받을 권리가 있다."
"이유","임차인이 당해 주택의 양수인에게 대항할 수 있는 경우에는 임대차가 종료된 후가 아니면 보증금의 우선변제를 청구하지 못한다."
"이유","여기서 주택의 인도와 주민등록은 거래의 안전을 위하여 임차권의 존재를 제3자가 명백히 인식할 수 있게 하는 공시방법으로 마련된 것이라 할 것이다."
