"판시사항","회사 여직원이 동료직원에 의하여 강간당한 것과 관련하여 회사의 강요로 사직한 것이 실질적인 부당해고에 해당하여 무효이고 그 부당해고가 불법행위에 해당한다고 본 사례"
"판결요지","회사 여직원이 동료직원에 의하여 강간당한 것과 관련하여 회사로부터 수시로 사직서의 제출을 강요당하고 이에 불응할 경우 징계해고될 수 있다는 경고를 받는 상황에서 극심한 수치심과 분함을 이기지 못하고 사직한 것이 실질적인 부당해고에 해당하여 무효이고 그 부당해고가 불법행위에 해당한다고 본 사례."
"이유","원심판결 '1. 기초 사실'항의 인용증거란에 갑 제1호증, 제7호증의 28, 29, 40, 42, 46, 제9, 16호증의 각 1, 2, 을 제1호증의 4, 5, 7, 9, 10, 11, 제2호증의 각 기재와 소외 1, OOO의 각 증언을 추가한다. "
"이유","갑 제7호증의 42, 46, 을 제1호증의 4, 7, 11의 각 기재와 OOO의 일부 증언을 그 배척증거로, 을 제1호증의 6, 제2호증을 그 부족증거로 드는 외에는 원심판결 1.항 기재와 같다."
"이유","이에 반하는 을 제3호증의 3, 제4호증의 2, 3, 제5호증의 9, 12, 13, 14, 16, 17, 18, 제6호증의 3, 4, 9, 10, 11, 제7호증의 1, 2의 각 일부 기재와 OOO의 일부 증언은 믿지 않는다."
"이유","그럼에도 원고는 사직서 제출을 거부하고 차선책으로 다른 지역으로의 전보를 요청하였으나 피고측에서는 이마저 거절한 채로 같은달 30.에는 원고가 담당하던 경리업무를 OOO에게 맡기고 원고에게는 위 OOO영업소에서 OOO지점 사무실로 자리를 옮겨 근무하라고 지시하면서 원고의 자리를 OOO지점 사무실 가운데의 빈 책상으로 배당하였다."
"이유","원고는 그 후 3일간 결근한 후 앞서 본 바와 같이 같은 해 11. 3. 언니인 원고 5와 형부 소외 1을 대동하여 피고 회사에 와서 이 사건 사직서를 제출한다. "
"이유","피고는 앞서 본 바와 같이 원고가 자필로 사직서를 작성, 제출하고 이의유보 없이 퇴직금을 수령한 이상 이 사건 의원면직처분이 유효하다고 다투고 있어 이 사건 청구가 신의칙 내지 금반언의 원칙에 반한다는 취지의 주장으로 볼 여지가 있다."
"이유","그러나 앞서 본 이 사건 의원면직경위와 그 전후에 나타난 원고의 태도 등에 비추어 보면 그와 같은 사정만으로는 이 사건 의원면직무효확인청구가 신의칙 내지 금반언의 원칙에 위배된다고 볼 사유가 되지 않으므로 위 주장은 결국 이유 없다."
"이유","나아가 피고는 원고에게 원인무효인 위 의원면직일부터 원고를 복직시킬 때까지, 갑 제2호증, 제3호증의 1, 2의 기재에 의하여 인정되는 위 의원면직 당시 원고의 임금에 해당하는 월 1,315,955원의 계산에 의한 돈을 지급할 의무가 있다."
"이유","원고들은 피고가 (1) 소외 2의 사용자로서 소외 2의 강간에 따라 원고 1과 그 가족들인 나머지 원고들이 입은 손해를 배상할 의무가 있다."
"이유","나아가 그 위자료의 수액에 관하여는, 앞서 본 해고경위와 위 원고가 소외 2로부터 형사합의금 2,700만 원을 수령한 점 기타 변론에 나타난 제반 사정을 종합하여 5,000,000원으로 정함이 상당하다."
"이유","따라서 피고는 원고 1에게 위자료 5,000,000원과 이에 대한 위 의원면직처분일로부터 이 판결 선고일까지는 민법이 정한 연 5%, 그 다음날부터 다 갚는 날까지는 소송촉진등에관한특례법이 정한 연 25%의 각 비율에 의한 지연손해금을 지급할 의무가 있다."
"이유","그렇다면 원고 1의 의원면직무효확인과 위 인정범위 내의 임금 및 위자료청구는 각 이유 있어 받아들이고, 위 원고의 나머지 임금 및 위자료청구와 나머지 원고들의 위자료청구는 모두 이유 없어 기각할 것인데, 원심판결 중 원고 1의 의원면직무효확인부분은 이와 결론을 달리하고 있다."
"이유","임금과 위자료청구부분은 이와 일부 결론을 달리하고 있어 각 부당하므로 이를 탓하는 위 원고의 항소를 받아들여 위 각 인용부분에 해당하는 위 원고의 패소부분을 각 취소한다. "
"이유","그 해당부분 청구를 각 인용하며, 위 원고의 나머지 항소와 나머지 원고들의 각 항소는 모두 이유 없어 기각한다."
