"판시사항","채권자가 정당하게 배당받을 채권 금액 이상을 배당받는 것으로 배당표가 작성된 경우, 채무자가 채권자를 상대로 채권자가 정당하게 배당받을 채권액의 확인을 구할 이익이 있는지 여부"
"판결요지","정당한 채권 금액을 넘는 금액을 채권자가 배당받는 것으로 배당표가 작성된 경우, 이해관계가 있는 채무자 또는 부동산의 소유자는 그 채권자를 상대로 배당이의의 소를 제기하거나 부당이득반환청구의 소를 제기하면 된다."
"판결요지","채권자가 배당받을 정당한 채권액이 넘는 부분에 대한 채무부존재확인의 소를 제기하는 것은 확인의 이익이 없어 부적법하다."
"판결요지","집행력 있는 정본이 있는 채권자의 배당요구에 대하여 채무자가 이의하는 경우 채무자는 채권자를 상대로 청구이의의 소를 제기하여야 한다."
"판결요지","집행력 있는 정본이 없는 채권자의 배당요구에 대하여 채무자가 이의하는 경우 채권자가 채무자를 상대로 채권확정의 소를 제기하여야 하나, 후자에서 말하는 집행력 있는 정본이 없는 채권자에는 근저당권자 등 담보물권자는 포함되지 아니한다."
"판결요지","이 경우 채무자 또는 부동산의 소유자가 이의하는 방법으로는 채무자 또는 부동산의 소유자가 근저당권자를 상대로 배당이의의 소를 제기할 수 있는 것으로 해석된다."
"이유","소외 OOO 주식회사는 소외 3을 통하여 1995. 9. 2.부터 같은 달 30.까지 6회에 걸쳐 피고로부터 합계 금 250,000,000원을 이율 월 25%로 정하여 차용하고, 각 차용금에 대한 담보로 OOO 발행의 당좌수표 또는 소외 OOO 발행의 당좌수표를 피고에게 교부하였다."
"이유","그 후 1995. 12.경 소외 OOO이 부도처리되자, OOO는 위 소외 3을 통하여 1995. 12. 25. 소외 OOO 발행의 당좌수표를 회수하고 OOO 발행 당좌수표를 피고에게 새로 교부하였다."
"이유","1996. 6.경 피고가 위 대여금의 변제를 독촉하자 OOO는 변제기의 유예를 요청하면서 대신 물적 담보를 제공하겠다고 제의하였다."
"이유","피고가 이를 받아들여 1996. 7. 1. 피고를 대리한 소외 3과 원고 사이에, 원고 소유의 별지목록 기재 각 부동산에 관하여 채권최고액 금 225,000,000원, 근저당권자 피고, 채무자 OOO, 근저당권설정자 원고로 하는 근저당권설정계약이 체결되었다."
"이유","위 근저당권설정계약에서 당사자는 법무사 사무실에 비치되어 있던 인쇄된 근저당권설정 계약서 용지를 이용하였는데, 위 계약서 제1조에는 채무자가 채권자에 대하여 기왕·현재 부담하고 있거나 장래 부담하게 될 차용금 채무 및 어음금 또는 수표금 채무를 담보하기 위하여 근저당권을 설정한다고 기재되어 있다."
"이유","위 근저당권설정계약에 기하여 1996. 7. 3. 이 사건 부동산에 관하여 수원지방법원 광주등기소 1996. 7. 3. 접수 제30901호로 근저당권설정등기가 각 경료되었다."
"이유","피고는 그 후 위 소외 3을 통하여 OOO에게 1996. 7.경 금 40,000,000원, 1996. 9.경 금 90,000,000원 등 합계 금 130,000,000원을 이율 월 2%로 정하여 추가 대여하였다."
"이유","그 후 OOO가 1997. 7. 1. 부도처리되자, 피고는 1997. 9. 12.경 이 사건 부동산에 관하여 담보권실행을 위한 경매를 신청하여 같은 달 13. 위 경매절차가 개시되었다."
"이유","이에 원고는 1997. 10. 10. 이 사건 근저당권설정등기의 피담보채무 중 미변제액이 금 119,981,370원이 남아 있다고 주장하면서 동 금원을 변제공탁하였고, 피고는 같은 해 11. 13. 위 공탁금이 일부 변제금이라는 이의를 유보한 채 이를 수령하였다."
"이유","이 사건 부동산에 관한 경매절차는 환송 전 당심 판결선고일까지 정지되어 있다가 이 사건이 대법원에 계속되어 있는 동안 절차가 속개되어 1999. 12. 20. 낙찰된다."
"이유","낙찰인이 그 대금을 완납하여 배당절차가 개시되었는데 2000. 3. 7. 집행법원은 낙찰대금에서 경매 비용 등을 공제한 금 319,026,613원을 배당하면서, 경매신청 근저당권자인 피고가 제1순위 권리자이나 잔존 채권액이 환송 전 당심판결 주문에 기재된 금 105,018,630원으로 인정된다고 하여 위 금원을 피고에게 배당한다."
"이유","원고는 피고의 잔존 채권액이 금 28,470,243원 뿐이라며 위 배당절차에서 이의를 진술하고, 피고를 상대로 수원지방법원 성남지원에 2000가합1781호 배당이의 소를 제기하여 현재 계속중이다."
"이유","이 사건 부동산 위에 설정된 위 각 근저당권의 원인증서로 작성된 근저당권설정계약서의 피담보채무의 범위에 관한 기재는 예문에 불과하다."
"이유","위 근저당권설정등기의 경료 전후에 이루어진 여러 사정을 고려하여 당사자의 의사를 합리적으로 해석한다면 이 사건 근저당권의 피담보채무는 이 사건 근저당권설정등기를 경료한 후 OOO가 피고로부터 추가로 차용한 금 130,000,000원 및 그 이자 상당 금원이다."
"이유","위 피담보채무 130,000,000원에 대한 미지급 이자는 1997. 4. 1.부터 피고가 공탁금을 수령한 1997. 11. 13.까지 금 19,326,666원이다."
"이유","그런데 이 사건 부동산의 경매절차에서 집행법원은 위 인정의 잔존 채무액을 넘는 금 105,018,630원을 원고에게 배당하는 것으로 배당표를 작성하였으니 이는 잘못된 것이다."
"이유","그 반환의 방법으로 피고는 원고에게 위 출급청구 채권을 양도하고 그 양도통지 절차를 이행할 의무가 있다."
"이유","채무부존재 확인 청구의 적법 여부 먼저 원고의 위 채무부존재 확인 청구가 확인의 이익이 있는지의 점에 대하여 본다."
"이유","부동산의 소유자인 원고에게는 더 적은 금액을 배당하는 것으로 배당표를 작성하였으니, 위 배당표의 작성은 잘못된 것이다."
"이유","그 시정을 위해 피고가 배당받을 정당한 금액 즉 원고의 피고에 대한 물상보증 채무의 범위를 채무부존재확인의 소로 구한다."
"이유","이 사건 확인판결에 의해 위 채무의 범위가 확정하면 배당이의 사건도 이에 따라 처리될 것이므로, 위 확인의 소는 확인의 이익이 있다는 것이다."
"이유","그러나 확인의 소는 원고의 권리 또는 법률상의 지위에 현존하는 불안, 위험이 있고, 확인판결을 받는 것이 그 분쟁을 근본적으로 해결하는 가장 유효, 적절한 수단일 때에 허용되는 것인 바이다."
"이유","배당절차는 집행법원이 강제집행 대상인 부동산 등의 환가대금을 채권자 등 권리자들에게 분배하는 절차로서, 집행법원은 각 채권자로부터 제출받은 계산서 등을 기초로 각 권리자가 배당받을 금액을 산정한 배당표를 작성하여 이해관계인들에게 열람시킨다."
