"판시사항","원래 어업권원부가 없는 어장의 경우에 있어서도 구 수산업법 시행 후의 관행어업권을 인정받기 위해서는 어업권원부의 등록이 필요한지 여부"
"판결요지","공유수면매립권자가 그러한 권리를 가진 관행어업권자에 대하여 사전보상이나 동의를 받지 아니하고 공유수면매립공사를 착공·시행함으로써 그 관행어업권자가 피해를 입었다면 이는 구 공유수면매립법 제16조, 제17조의 규정을 위반한 행위로서 불법행위에 해당하고, 공유수면매립권자는 관행어업권자에게 그로 인한 손해를 배상할 의무가 있다."
"판결요지","구 수산업법상의 관행어업권은 원칙적으로 독립세대별로 인정되고 차남 이하 분가자나 외지로부터의 전입자에 대하여는 일정한 기간이 경과되어야 인정되며, 이 경우에도 그러한 어업을 계속할 수 있는 노동능력과 의사를 가진 자로서 20세부터 60세가 될 때까지의 자에 대하여만 인정된다고 할 것이다."
"판결요지","어장의 이용에 관하여 대내외적으로 사실상 아무런 제한이 없었을 뿐만 아니라 어장에서의 제3자의 어업행위를 배제할 수 있었다는 등의 사정도 엿보이지 아니한다."
"판결요지","구체적인 입어기간이나 어획물의 거래실적 등도 인정되지 않는 이상, 어장에 입어하여 바지락, 동죽 등 수산동식물을 포획·채취하여 왔다는 사실만으로 구 수산업법 제40조의 규정에 의한 관행어업을 하여 온 관행어업권자라고 인정하기는 어렵다."
"이유","피고는 1991. 8. 13. 서해안개발사업의 일환으로 농지조성과 용수개발을 주목적으로 하는 새만금간척종합개발사업을 시행하기로 확정하고, 1991. 8. 19. 구 농촌근대화촉진법 제94조에 따라 농림수산부장관 고시 제91-23호로 새만금간척종합개발사업 시행계획을 고시하였는데, 그 주요 내용을 보면 아래와 같다."
"이유","그 후 농림수산부장관은 1991. 10. 17. 구 공유수면매립법 제4조에 따라 매립장소를 새만금사업의 사업구역인 위 19개 읍·면·동 지선의 공유수면 40,100ha로 한다."
"이유","준공기한을 착공일로부터 14년 이내로 하는 공유수면매립면허를 받아 이를 1991. 10. 22. 농림수산부 고시 제91-32호로 고시하였다."
"이유","농림수산부장관은 위와 같은 새만금사업 시행계획에 따라 1991. 11. 16. 사업시행기간을 1991. 11.부터 2004. 12.까지로 한다."
"이유","용지매수 및 손실보상업무는 전라북도지사에게, 새만금사업 공사의 시공 및 공사감리 업무는 소외 농어촌진흥공사에게 각 위임하기로 하는 내용의 사업시행을 인가받아 농림수산부 고시 제91-36호로 이를 고시한 후, 1991. 11. 28. 부안군 변산면 대항리에서 기공식을 갖고 위 새만금방조제 제1공구공사에 착공하였다."
"이유","위 각 공구별로 위 방조제공사의 진행상황을 보면, 위 공사 착공 후부터 1992년말까지 사이에 위 제1공구 방조제 중 l.8km 부분의 공사가 시행되었다."
"이유","이어 1994. 7. 25. 위 제1, 3공구 방조제의 사석제 끝막이공사가 완공된 후 현재까지 방조제 공사가 계속 시행되어 왔으나, 위 제2공구 방조제 중 약 4km, 위 제4공구 방조제 중 약 5km 부분의 공사는 현재까지도 시행되지 않고 있다."
"이유","이 사건 사업구역 인근의 해안 일대는 조수간만의 차이가 커 약 131,045,000㎡ 정도의 넓은 개펄이 형성되어 있다."
"이유","그 곳에는 바지락, 개량조개, 동죽, 가리맛, 굴 등 자연산 어패류가 서식하고 있어, 원고들 및 선정자들을 비롯하여 이 사건 사업구역 내에 거주하는 주민들은 예전부터 이 사건 어장에서 손이나, 호미 등의 간단한 어구를 사용하여 바지락, 개량조개 등의 자연산 어패류를 채취하여 왔다."
"이유","한편, 이 사건 어장은 지역에 따라 1,186,000㎡부터 23,895,000㎡까지 사이의 면적을 가진 13개 어장으로 나뉘어져 있는데, 각 어장에의 입어에 특별한 제한이 없어 모든 어장을 부락에 관계없이 자유롭게 선택하여 이용하여 왔다."
"이유","피고는, 1991. 9. 19. 수산업법 제89조에 따라 보상 구역과 범위 결정에 관한 의견제시를 위하여 피해가 예상되는 지역의 어촌계 계장, 어민대표, 대학교수 등 57명으로 구성되는 전라북도어업대책협의회를 설치한다."
"이유","그 보상범위 및 보상액, 보상 방법 등에 관하여 협의한 결과, 이 사건 공유수면매립면허 고시일인 1991. 10. 22.을 기준으로 현재 이 사건 사업구역 내 지선에 대한 적법한 권리자 또는 허가·신고어업자에 대하여 보상을 하기로 결정한다."
"이유","1992. 7. 4. 소외 OOO대학교 해양개발연구소와 사이에 새만금사업에 따른 어업피해 및 보상 등을 위한 연구조사 용역계약을 체결하였다."
"이유","맨손어업에 관하여는 이 사건 공유수면매립면허 고시일 전에 조업구역을 이 사건 사업구역 내 지선으로 하여 맨손어업신고를 마친 자만을 대상으로 보상금을 지급하였으며, 원고들에 대하여는 적법한 어업신고가 없었다는 등의 이유로 보상금의 지급을 거절하였다."
"이유","한편, 위 1991. 10. 22. 당시 이 사건 사업구역 내 지선에 대하여 해당 지역의 어촌계 또는 개인 명의로 합계 398건의 어업면허가 설정되어 있었는데, 위 어업권에 대하여는 모두 수산업법시행령 제62조가 정하는 기준에 의한 보상금이 지급되었다."
"이유","원고들은 이 사건 공유수면매립면허 고시일을 전후하며 수산업법 부칙 제11조에 정해진 기간 내에 관할 부안군수에게 적법하게 각 맨손어업 신고를 하고 그 어업신고필증을 교부받았는 바이다."
"이유","피고는 적법하게 어업의 신고를 하고 위 공유수면매립사업지구 내에서 신고한 어업에 종사하고 있던 원고들에게 손실보상을 할 의무가 있음에도 불구하고 이를 이행하지 아니한 채 위 공유수면매립공사를 시행함으로써 원고들에게 손해를 입혔으므로 그 손실보상금 상당액을 배상할 의무가 있다."
"이유","위 군산대학교 해양개발연구소의 용역결과에 따르면, 위 공유수면매립면허 고시일 이전에 이 사건 사업구역 내 지선에 대하여 어업신고필증을 교부받은 맨손어업자들에 대하여는 개인별 보상액을 정하였다."
"이유","나머지 맨손어업자들에 대하여는 어촌계지선별 보상액을 남겨 두었으므로, 피고는 원고들에게 위 어촌계지선별 보상액을 지급할 의무가 있다."
"이유","이 사건 공유수면매립면허가 고시될 무렵 이 사건 어장에서 바지락이나 동죽 등을 채취, 판매하는 이른바 관행어업을 한 바도 없으므로, 원고들의 위 청구는 이유 없다고 주장한다."
"이유","새만금사업의 근거 법률인 위 구 농촌근대화촉진법 제2조 제1호는 ""농지개량사업이라 함은 이 법에 의하여 시행하는 다음의 사업을 말한다.""고 규정하면서 (라)목에서 ""농업을 목적으로 하는 매립 또는 간척""을 열거하고 있다."
"이유","권리를 가진 자가 있는 공유수면에 대하여 매립의 면허를 받은 자는 대통령령이 정하는 바에 의하여 그 권리를 가진 자에게 끼친 손실을 보상하거나 그 손실을 방지하는 시설을 하여야 한다."
"이유","같은 법 제17조는 ""매립의 면허를 받은 자는 전조 제1항의 규정에 의한 손실이나 시설을 한 후가 아니면 그 보상을 받을 권리를 가진 자에게 손실을 미칠 공사에 착수할 수 없다."
"이유","이 사건 공유수면매립면허 고시일 이전에 시행되던 구 공유수면매립법 제6조 제2호는 위 같은 법 제16조의 권리를 가진 자 중 하나로 '어업권자 또는 수산업법 제40조 제1항의 규정에 의한 입어자""를 들고 있다."
"이유","당시 시행되던 구 수산업법 제40조 제1항은 ""공동어업의 어업권자는 종래의 관행에 의하여 그 어업장에서 어업하는 자의 입어를 거절할 수 없다.""라고 규정하고 있었다."
"이유","위와 같은 관행어업권이 인정되는 경우, 공유수면매립권자가 그러한 권리를 가진 관행어업권자에 대하여 사전보상이나 동의를 받지 아니하고 공유수면매립공사를 착공·시행함으로써 그 관행어업권자가 피해를 입었다면 이는 위 구 공유수면매립법 제16조, 제17조의 규정을 위반한 행위로서 불법행위에 해당한다."
"이유","제2조 제6호에서 ""'어업권'이라 함은 제8조의 규정에 의하여 면허를 받아 어업을 경영할 수 있는 권리를 말한다.""라고 규정한다."
"이유","'입어'라 함은 입어자가 공동어업의 어장에서 수산동식물을 포획·채취하는 것을, '입어자'라 함은 제44조 규정에 의하여 어업의 신고를 한 자로서 공동어업권이 설정되기 전부터 당해 수면에서 계속적으로 수산동식물을 포획·채취하여 온 사실이 대다수 사람들에게 인정되는 자 중 대통령령이 정하는 바에 의하여 어업권원부에 등록된 자를 말한다."
"이유","제8조, 제41조 또는 제42조의 규정에 의한 어업 외의 어업으로서 수산청장이 정하는 어업을 하고자 하는 자는 어선, 어구 또는 시설마다 시장, 군수 또는 자치구의 구청장에게 신고하여야 한다."
"이유","수산청 1991. 4. 24.자 고시 제91-9호는 신고어업의 종류와 조업방법을 6가지로 정하고 있는데, 그 중 하나는 맨손어업으로서 그 조업방법은 손으로 낫, 호미, 해조틀이 및 갈고리류 등을 사용하여 수산동식물을 포획·채취하는 어업이라 규정하고 있다."
"이유","한편 위 수산업법의 개정에 따라 구 공유수면매립법도 제6조 제2호를 ""어업권자 또는 수산업법 제2조 제7호의 규정에 의한 입어자""라고 개정함으로써 그 관련 조문을 정리하였다."
"이유","이 법 시행 당시 공동어업의 어장 안에서 입어 관행이 있는 것으로 인정되는 자로서 종전 규정에 의하여 어업권원부에 입어자로 등록하지 아니한 자는 이 법 시행일로부터 2년 이내에 어업권원부에 등록을 한 경우에 한하여 입어자로 본다."
"이유","위 개정 수산업법 및 구 공유수면매립법의 제반 규정에 비추어 볼 때, 개정 수산업법 시행 후에 일정한 공유수면에서의 관행에 따른 어업을 권리로 인정받기 위하여는 단순히 종전과 같이 당해 공유수면에서 계속적으로 수산동식물을 포획, 채취하여 온 사실이 대다수 사람들에게 시인되는 것만으로는 부족하다."
"이유","개정 수산업법 제44조에 의하여 어업의 신고를 하고 공동어업의 어업권원부에 입어에 관한 사항을 등록할 것을 요한다고 할 것이다."
"이유","구 수산업법에 있어서와는 달리, 앞서 본 바와 같은 개정 수산업법 제2조 제6호, 제7호 각 규정에 의하면 공동어업권이 설정되지 않은 곳에서의 어업자는 위 제7호 소정의 입어자에 해당하지 않음이 문언상 명백하다."
"이유","한편으로는 그 권리를 합리적으로 제한하기 위한 발전적인 입법작용의 결과라고 할 것이므로, 원고들의 위 주장은 이유 없다."
"이유","따라서 원고들을 위 구 공유수면매립법 제16조에 의하여 보상을 받을 권리가 있는 자들이라고 볼 수 없다."
"이유","그렇다면 문제는, 만일 원고들이 개정 수산업법 시행 이전부터 구 수산업법 제40조 제1항 소정의 입어의 관행에 해당하는 어업행위를 하여 왔다."
"이유","이 사건 공유수면매립면허처분 당시 위 (1)의 (가)항에서 본 바와 같은 관행어업권을 취득하였다고 할 경우 위 개정 수산업법 및 구 공유수면매립법상으로도 과거에 인정하던 것과 동일한 권리를 인정할 수 있는가 하는 점이다."
"이유","만약 원고들이 그 전에 구 수산업법에 의하여 관행어업을 하고 있었다면 일응은 어업권원부에의 등록과 상관없이 보상대상자로서의 지위를 유지하고 있음에는 아무런 변화가 없다고 할 것이다."
