"판시사항","미국 소재 법인의 대리인이 대한민국 은행의 외국 지점과 신용장개설 계약을 체결한 경우, 그 대리행위의 성립, 효력 및 추인 여부에 관한 준거법"
"판결요지","섭외사법상 법률행위의 성립과 효력에 관하여 당사자의 의사가 분명하지 아니한 때에는 행위지법에 의하여야 할 것인데 그와 같은 별다른 의사가 있었다는 점에 대한 아무런 주장·입증이 없는 경우"
"판결요지","대리인이 미국 소재 법인을 대리하여 신용장개설 계약을 체결하였다고 볼 수 있을 것인지 그렇지 아니하더라도 그 법인이 사후에 대리인이 대리 권한 없이 체결한 신용장개설 계약을 추인하였다고 볼 것인지는 그 신용장개설 계약 체결지의 법을 적용하여 판단하여야 한다."
"이유","위 소외 2가 그 지급보증을 이용하여 OOO의 명의로 상업신용장을 개설하여 자신의 수출입 거래에 따른 대금의 결제에 사용하되, 동인은 그 대가로 원고 회사에게 일정액의 수수료를 지급하며 위 상업신용장 대금의 결제를 확보하기 위하여 상당한 담보를 제공하기로 약정하였다."
"이유","위 수수료의 액수에 대하여는 위 소외 1은 신용장 대금의 10%를, 위 소외 2는 5%를 각각 제시하여 의견이 불일치하였다. "
"이유","한편 위 소외 2는 1991. 6. 20. 피고 은행 뉴욕지점에 원심판결 별지 목록 기재 1, 2번 화환신용장 등 3건의 신용장의 개설을 의뢰하는 취지가 기재되고 동인이 그 각 신청인란에 OOO의 명칭을 영문으로 타자한 다음 'OOO'이라고 서명한 신청서 3장을 제출한다. "
"이유","같은 해 8. 21. 위 뉴욕지점에 같은 목록 기재 3, 4번 각 취소불능 화환신용장의 개설을 의뢰하는 신청서 2장을 위와 같은 방법으로 작성, 제출하여 피고 은행 뉴욕지점과 각각 신용장 개설 계약을 체결하여 신용장을 발부받은 사실."
"이유","그러나위 소외 2는 미국에 소재한 OOO와 한국에 소재한 OOO의 대표이사로 재직하면서 의류 수출입업에 종사하고 있었다. "
"이유","기록에 비추어 보면 원심의 위 사실 인정은 옳고 거기에 소론이 주장하는 채증법칙 위반 등으로 인한 사실오인의 위법이 있다고 할 수 없다. 원심의 위 사실 인정을 다투는 논지는 모두 이유 없다."
"이유","이 사건에서 원고가 부존재 확인을 구하고 있는 채무는 대한민국 법인인 피고 은행의 섭외적 생활관계에 관한 것이므로 이에 관한 준거법의 확정이 선행되어야 할 것이다. "
"이유","섭외사법상 법률행위의 성립과 효력에 관하여 당사자의 의사가 분명하지 아니한 때에는 행위지법에 의하여야 할 것인데 이 사건의 경우 그와 같은 별다른 의사가 있었다는 점에 대한 아무런 주장·입증이 없다. "
"이유","따라서 원심판결에 준거법에 관한 법리를 오해한 나머지 필요한 심리를 다하지 아니한 위법이 있다 할 것이므로 이 점을 지적하는 논지는 이유 있다."
"이유","그러므로 나머지 상고이유에 대한 판단을 생략하고 원심판결을 파기하고 사건을 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
