"판시사항","아파트의 동·호수를 특정하지 않은 채 분양계약을 중개하는 행위가 ‘공인중개사의 업무 및 부동산거래 신고에 관한 법률’상 ‘건축물의 중개’에 해당하는 경우"
"이유","건축이 예정된 아파트의 분양 세대수가 확정된 경우라 하더라도 동·호수가 특정된 세대를 분양받기로 한 것이 아닌 이상, 당초 예정과 달리 아파트 건축 자체가 이루어지지 아니할 가능성을 배제할 수 없어 조합원들이라도 당연히 아파트를 분양받게 된다고 단정할 수 없다."
"이유","일반분양 세대와 관련하여서도 향후 분양절차에서 분양신청자의 수가 확정 세대수를 초과할 수 있어 모든 분양신청자가 아파트를 당연히 분양받을 수 있게 된다고 할 수 없다고 할 것이다."
"이유","따라서 건축 예정인 아파트에 대한 분양권은 동·호수가 특정되지 아니한 이상 분양 세대수가 확정되었다고 하더라도, 아직까지는 장차 수분양자가 될 수 있는 지위 정도에 불과하다고 할 것이어서, 공인중개사법이 정한 중개대상물인 건축물에 해당하지 아니한다고 보아야 한다."
"이유","그러나 기록에 의하면, 이 사건 분양계약이 체결될 당시 이 사건 아파트는 이미 건축이 완료되어 있던 상태에 있었다."
"이유","이 사건 분양계약은 이 사건 아파트의 조합원 분양 세대 중 당초 조합원과의 조합가입계약이 해지됨에 따라 시행대행사인 가인주택건설 주식회사가 이미 확보하고 있다는 32평형 1세대를 대상으로 하는 것인 사실을 알 수 있다."
"이유","그렇다면 이 사건 분양계약을 중개한 1심공동피고의 행위가 공인중개사법이 정한 중개대상물의 중개행위라고 판단한 원심판결은 결론에 있어서 정당하다."
"이유","거기에 상고이유에서 주장하는 바와 같은 공인중개사법이 정한 중개대상물에 관한 법리를 오해하여 판결에 영향을 미친 위법이 있다고 할 수 없다."
"이유","1심공동피고의 과실 있는 중개행위로 인하여 분양대금 상당의 손해를 입게 되었다고 인정하여 원고의 이 사건 공제계약에 기한 공제금청구를 일부 인용한 제1심판결을 그대로 유지한 것은 정당한 것으로 수긍할 수 있다."
"이유","거기에 상고이유의 주장과 같이 논리와 경험의 법칙에 위반하여 사실을 인정하거나 판단을 유탈하는 등의 위법이 있다고 할 수 없다."
"이유","따라서 이 사건 분양계약의 내용대로라면 원고가 조합가입계약이 해지된 상태에 있었던 조합원을 대신하여 조합원으로서 조합원 분양 세대들 중 32평형 1세대를 당연히 분양받게 되는 것이다."
