"판시사항","선택발명의 진보성이 인정되기 위한 요건 및 이때 필요한 명세서 중 발명의 상세한 설명 기재의 내용"
"이유","선택발명은 선행 또는 공지의 발명에 구성요소가 상위개념으로 기재되어 있고, 위 상위개념에 포함되는 하위개념만을 구성요소 중의 전부 또는 일부로 하는 발명을 말한다."
"이유","원심은, 명칭을 “액정 표시 장치”로 하는 이 사건 특허발명의 특허청구범위 제2항 의 원심 판시 구성 1, 구성 3은 원심 판시 비교대상발명 5에 기재되어 있다."
"이유","그 부분은 비교대상발명 5와의 관계에서 선택발명에 해당한다고 한 다음 이를 전제로 하여 그 진보성을 판단하였다."
"이유","원심판결 이유를 앞서 본 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 발명의 진보성에 관한 법리를 오해하는 등의 위법이 없다."
"이유","이러한 기재가 있다고 하려면 발명의 상세한 설명에 질적인 차이를 확인할 수 있는 구체적인 내용이나 양적으로 현저한 차이가 있음을 확인할 수 있는 정량적 기재가 있어야 한다."
"이유","위 법리와 기록에 비추어 살펴보면, 이 사건 정정발명의 명세서 중 발명의 상세한 설명에는 이 사건 제2항 정정발명의 단량체에 포함된 ‘1,4-비스아크릴로일옥시벤젠’이 고분자의 변형에 의한 소부율 저감 효과를 가지고 있음을 확인할 수 있는 구체적인 내용이 기재되어 있지 않다."
"이유","달리 이 점을 알 수 있는 자료도 없으므로, 이 사건 제2항 정정발명은 비교대상발명 5에 의하여 그 진보성이 부정된다."
"이유","원심의 이유 설시에 일부 부적절한 점이 없지 아니하나, 이 사건 제2항 정정발명의 진보성이 부정된다고 한 원심의 결론은 정당하다."
"이유","거기에 상고이유 주장과 같이 선택발명의 진보성에 관한 법리를 오해하는 등으로 판결 결과에 영향을 미친 위법이 없다."
"이유","이 사건 정정발명의 명세서 중 발명의 상세한 설명에는 ‘4,4′-비페닐 디아크릴레이트’가 고분자의 변형에 의한 소부율 저감 효과를 가지고 있음을 확인할 수 있는 구체적인 내용이 기재되어 있다."
"이유","나아가 비교대상발명 1, 5의 실시 예에 사용된 ‘KAYARAD PET-30’에 비하여 고분자의 변형에 의한 소부율 저감에 있어 뛰어난 효과가 있으므로, 이 사건 제5항, 제6항, 제8항 정정발명 중 ‘4,4′ -비페닐 디아크릴레이트’ 부분은 비교대상발명 1, 5에 의하여 그 진보성이 부정되지 않는다."
"이유","위 각 정정발명 중 ‘4,4′-비페닐 디아크릴레이트’를 제외한 나머지 단량체들에 관한 부분도 비교대상발명 1, 5에 비하여 구성의 곤란성 및 효과의 현저성을 인정할 수 있어서 그 진보성이 부정되지 않는다."
"이유","같은 취지의 원심판단은 정당하고, 거기에 상고이유 주장과 같이 선택발명의 성립 및 진보성에 관한 법리를 오해하는 등의 위법이 없다."
"이유","원심은, 이 사건 제5항, 제6항, 제8항 정정발명의 단량체 중 ‘4,4′-비페닐 디아크릴레이트’는 비교대상발명 1, 5에서 단순히 열거되어 있는 100여 개의 단량체 중의 하나에 불과하다."
"이유","이 사건 제5항, 제6항, 제8항 정정발명에서 단량체가 ‘4,4′-비페닐 디아크릴레이트’인 경우는 비교대상발명 1, 5에 구체적으로 개시된 것이라고 볼 수 없다."
"이유","따라서 이 사건 제5항, 제6항, 제8항 정정발명은 비교대상발명 1, 5에 의하여 그 신규성이 부정되지 않는다고 판단하였다."
"이유","원심판결 이유를 앞서 본 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 선택발명의 신규성에 관한 법리를 오해하는 등의 위법이 없다."
"이유","‘고분자의 변형에 의한 소부율이 저감된’이라는 한정사항으로 인해 이 사건 제5항, 제6항, 제8항 정정발명이 명확하고 간결하게 기재되어 있지 않다고 보기는 어렵다고 판단하였다."
"이유","또한 원심은, 이 사건 정정발명의 명세서 중 발명의 상세한 설명에는 고분자의 변형에 의한 소부 현상과 관련하여 단량체 화합물의 구조와 그 구조가 갖는 의미 및 효과가 명확히 기재되어 있다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 명세서 기재요건에 관한 법리를 오해하는 등의 위법이 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자들 각자가 부담하도록 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
