"판시사항","개인사찰이 구 불교재산관리법상 독립한 권리·의무의 귀속주체가 되기 위한 요건, 등기명의인의 동일성을 해치지 않는 범위 내에서 행해진 등기명의인변경등기의 말소등기청구의 가부."
"판결요지","단순히 불교목적을 위한 물적 시설에 불과하여 사찰로서의 실체를 갖추지 못하고 있던 개인사찰도 소유자에 의하여 특정 종단 소속의 구 불교재산관리법 소정의 불교단체로 등록된다."
"판결요지","유지되는 범위 내에서 등기부상의 표시를 실제와 합치시키기 위하여 행하여지는 것에 불과할 뿐 어떠한 권리변동을 가져오는 것이 아니다. "
"판결요지","그 소유자의 증여에 의하여 사찰재산이 등록된 사찰 자체의 명의로 귀속되게 되었다면, 그 사찰은 그 때부터 사찰로서의 실체를 갖추어 독립한 권리·의무의 귀속주체가 된다."
"판결요지","그 표시변경이 등기명의인의 동일성을 해치는 방법으로 행하여져 타인을 표상하는 결과에 이른 경우가 아닌 한, 등기명의인은 그 표시변경등기가 잘못되었더라도 다시 소정의 서면을 갖추어 경정등기를 하면 되는 것이고, 소로써 그 표시변경등기의 말소를 구하는 것은 소의 이익이 없어 허용되지 않는다."
"이유","원심판결 이유에 의하면, 이 사건 사찰은 망 소외 1이 소외 2로부터 매수하여 관리·운영해 오던 위 망인 소유의 개인사찰이었다."
"이유","1962. 5. 31. 법률 제1087호로 불교재산관리법이 시행되자 위 망인은 1962. 10. 5.경 ""대한불교법화종 OOO""라는 명칭으로 사찰을 같은 법 소정의 불교단체로 등록하였다."
"이유","그 요청이 거부당하자, 다시 이 사건 사찰이 법화종 종헌종법에 규정된 사유사암에 해당하여 사찰재산의 처분에 총무원장의 승인이 필요 없음을 분명히 하기 위하여 이 사건 부동산의 등기명의인 표시를 ""대한불교법화종 OOO""에서 ""OOO""로 변경한 사실을 알아 볼 수 있다."
"이유","이 사건 사찰은 이 사건 부동산이 ""OOO"" 명의로 소유권이전등기 또는 소유권보존등기된 때로부터 독립한 권리·의무의 귀속주체로서 이를 소유하게 되었다고 할 것이다."
"이유","그리고 한편 등기명의인의 표시변경등기는 등기명의인의 동일성이 유지되는 범위 내에서 등기부상의 표시를 실제와 합치시키기 위하여 행하여지는 것에 불과할 뿐 어떠한 권리변동을 가져오는 것이 아니다."
"이유","그 표시변경이 등기명의인의 동일성을 해치는 방법으로 행하여져 타인을 표상하는 결과에 이른 경우가 아닌 한, 등기명의인은 그 표시변경등기가 잘못되었더라도 다시 소정의 서면을 갖추어 경정등기를 하면 되는 것이고, 소로써 그 표시변경등기의 말소를 구하는 것은 소의 이익이 없어 허용되지 아니하는 것이다."
"이유","""대한불교법화종 OOO""라는 등기명의인 표시나 ""OOO""라는 등기명의인 표시는 모두 이 사건 부동산이 이 사건 사찰의 소유임을 표상하는 동일한 표시에 불과하다고 아니할 수 없다."
"이유","""대한불교법화종 OOO""에서 ""OOO""로의 등기명의인 표시변경은 등기명의인의 동일성을 해치지 않는 범위 내에서 행해진 것이라 할 것이다."
"이유","그것이 원고 주장과 같이 적법한 절차에 의하지 않고 행하여졌다 하더라도 그 잘못은 경정등기의 방법으로 시정될 수 있는 것이므로, 소로써 그 표시변경등기의 말소등기절차의 이행을 구하는 원고의 이 부분 소는 소의 이익이 없어 부적법하다고 하지 않을 수 없다."
"이유","같은 취지의 원심판결은 수긍이 가고, 거기에 등기명의인의 동일성에 관한 법리오해나, 소의 이익에 관한 법리오해의 위법이 없으며, 심리미진의 위법도 없다. 이 점에 관한 상고이유 및 보충상고이유는 모두 받아들일 수 없다."
"이유","원심판결 이유에 의하면, 법화종 종헌종법은 법화종 소속 사원의 주지는 당해 사원 재적 승니의 선거에 의하여 총무원장이 임명하되, 기부행위로 인하여 종단재산으로 등기가 완료된 사찰의 주지는 설립자 및 그의 후계자의 추천으로 총무원장이 임명한다."
"이유","사유사암의 주지는 소유권자의 추천에 의하여 총무원장이 임명하는 것으로 규정하고 있음을 알 수 있는데, 이 종헌종법 제61조가 사유사암의 주지 추천권자로 ""소유권자""를 들고 있는 점에 비추어 보면, 법화종 종헌종법에서 말하는 사유사암이란 개인 소유의 불교목적 시설인 개인사찰을 의미한다 할 것이다."
"이유","재산이 사찰 자체에 귀속되는 이 사건 사찰과 같은 독립한 권리·의무의 귀속주체인 사찰은 여기의 사유사암에 포함되지 않는다고 할 것이다."
"이유","따라서 원심이 이 사건 사찰이 위 종헌종법에 규정된 사유사암인 것처럼 설시한 부분은 잘못이라 할 것이다."
"이유","이 사건 사찰이 법화종 종헌종법상의 사유사암이 아니라 하여 원고의 이 사건 소가 적법하게 되는 것은 아니므로 원심의 위와 같은 잘못은 판결 결과에 아무런 영향이 없다."
"이유","기록에 의하면, 사단법인 대한불교법화종은 법화종이 지향하고 있는 대중불교운동 등을 통하여 불국토건설을 실천구현함을 목적으로 법화종 소속 사찰의 주지, 대표위원 및 일반승려를 구성원으로 하고 서울 성북구  대지와 그 지상 건물을 기본재산으로 하여 설립된 사단법인이다."
"이유","임원으로 1인의 이사장과 7인의 이사, 2인의 감사를 두고, 이사장으로 하여금 법인을 대표하게 하면서 최고의결기관으로 대의원으로 구성되는 총회를 따로 두어 법인의 중요사항을 의결하게 하고 있다."
"이유","따라서 원심이 사단법인 대한불교법화종의 기본 재산 내역에 근거하여 법화종의 재산 소유관계를 판단함으로써 위 두 단체가 마치 동일한 단체인 것처럼 설시한 부분이 있다."
"이유","이는 이 사건 부동산이 법화종 종단 자체의 소유가 아니라는 점을 강조하기 위한 표현으로서, 위 두 단체가 서로 다른 단체라 하여 이 사건 부동산이 법화종 종단의 소유로 인정되게 되는 것은 아니다."
"이유","이 사건 부동산은 어디까지나 이 사건 사찰 자체의 소유이고, 종단은 사찰에 대한 관리·감독을 통하여 이 사건 부동산을 간접적으로 관리할 수 있을 뿐이다."
"이유","그러므로 상고를 기각하고, 상고비용은 상고인인 원고의 부담으로 하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
"이유","대한불교법화종 종단과의 사이에 이 사건 사찰을 법화종 소속으로 하되, 사찰 경내지와 건물은 법화종 소속의 불교단체로 등록되는 ""OOO""에 무상증여하여 그 명의로 소유권이전등기를 경료하기로 약정하였다."
"이유","대한불교법화종은 불교단체의 하나로서, 종정이 종단을 대표하고 그 밖에 의결기관으로 중앙종회를 두면서, 종단 소속 각 사원의 재산 전부를 종단재산으로 관리하고 있어, 서로 그 목적과 구성원, 대표자, 의결기구, 재산관계 등을 달리하는 별개의 단체임을 알 수 있다."
