"판시사항","甲 법인과 乙 회사의 위치정보 또는 개인위치정보의 수집으로 인하여 丙 등에 대한 손해배상책임이 인정된다고 보기 어렵다고 한 사례"
"판결요지","위치정보 수집으로 인한 피해 발생 및 확산을 방지하기 위하여 어떠한 조치가 취하여졌는지 등 여러 사정을 종합적으로 고려하여 구체적 사건에 따라 개별적으로 판단하여야 한다."
"판결요지","甲 법인과 乙 회사로부터 휴대폰 등을 구매한 후 이를 사용하는 丙 등이 손해배상을 구한 사안에서, 휴대폰 등으로부터 전송되는 정보만으로는 해당 통신기지국 등의 식별정보나 공인 아이피만 알 수 있을 뿐, 특정 기기나 사용자가 누구인지를 알 수는 없다."
"판결요지","휴대폰 등의 데이터베이스에 저장된 정보는 기기의 분실·도난·해킹 등이 발생하는 경우 외에는 외부로 유출될 가능성이 없는 점이다."
"판결요지","휴대폰 등의 사용자들은 甲 법인과 乙 회사가 위치정보를 수집하여 위치서비스제공에 이용하는 것을 충분히 알 수 있었던 점이다."
"판결요지","위 버그가 甲 법인과 乙 회사가 휴대폰 등의 위치정보나 사용자의 개인위치정보를 침해하기 위한 목적으로 이루어진 것으로 보이지 않는 점이다."
"판결요지","甲 법인은 버그가 존재한다는 사실이 알려지자 신속하게 새로운 운영체계를 개발하여 배포하는 등 그로 인한 피해 발생이나 확산을 막기 위해 노력한 점이다."
"판결요지","수집된 위치정보나 개인위치정보가 수집목적과 달리 이용되거나 제3자에게 유출된 것으로 보이지 않는 점에 비추어, 甲 법인과 乙 회사의 위치정보 또는 개인위치정보의 수집으로 인하여 丙 등에 대한 손해배상책임이 인정된다고 보기 어렵다고 한 사례."
"이유","‘위치정보’는 이동성이 있는 물건 또는 개인이 특정한 시간에 존재하거나 존재하였던 장소에 관한 정보로서 「전기통신사업법」 제2조 제2호 및 제3호에 따른 전기통신설비 및 전기통신회선설비를 이용하여 수집된 것을 말한다."
"이유","‘개인위치정보’는 특정 개인이 특정한 시간에 존재하거나 존재하였던 장소에 관한 정보로서 위치정보만으로는 특정 개인의 위치를 알 수 없는 경우에도 다른 정보와 용이하게 결합하여 특정 개인의 위치를 알 수 있는 것을 포함한다."
"이유","구 위치정보의 보호 및 이용 등에 관한 법률은 누구든지 개인 또는 소유자의 동의를 얻지 아니하고 당해 개인 또는 이동성이 있는 물건의 위치정보를 수집하여서는 아니 된다."
"이유","위치정보사업자 역시 개인위치정보를 수집하고자 하는 경우에는 개인위치정보주체의 동의를 얻도록 규정하고, 이를 위반한 경우 형사처벌하고 있다."
"이유","피고 OOO는 OOO OOO, OOO OOO, OOO OOO, OOO OOO 등을 제조하여 판매하는 다국적 기업이다. "
"이유","피고 OOO 유한회사는 피고 OOO의 자회사로서, 구 위치정보법 제5조에 따른 위치정보사업자로 허가를 받아 피고 OOO이 제작한 이 사건 기기를 국내에 판매하고 그 사후관리 등을 하고 있다."
"이유","피고들은 이 사건 기기의 사용자가 이동통신사에 가입할 당시 사용자들로부터 위치정보 수집 및 서비스 제공 이용약관에 대한 동의를 받았다."
"이유","이 사건 기기를 사용등록하거나 이 사건 기기 운영체제인 OOO 버전을 업그레이드할 때 위치정보 수집 및 제공에 관한 내용이 포함된 OOO 소프트웨어 사용권 계약에 대한 동의를 받았다."
"이유","원고들은 피고들로부터 이 사건 기기를 구매한 후, OOO 주식회사 또는 OOO 주식회사와 사이에 이동통신 등에 관한 서비스 이용계약을 체결하고, 이 사건 기기를 사용하였거나 사용하고 있다."
