"판시사항","주식회사의 정관에서 회사에 배당의무를 부과하면서 배당금의 지급조건이나 배당금액의 산정 방식 등을 구체적으로 정하고 있어 개별 주주에게 배당할 금액이 일의적으로 산정된다."
"판결요지","2011년 상법 개정으로 회사가 발행할 수 있는 종류주식의 유형이 확대됨에 따라 회사는 이익의 배당, 잔여재산의 분배, 주주총회에서의 의결권의 행사, 상환 및 전환 등에 관하여 내용이 다른 종류의 주식을 발행할 수 있게 되었다."
"판결요지","이 경우 회사는 정관에 발행하고자 하는 종류주식의 내용과 수를 정하여야 하고, 특히 이익배당에 관하여 내용이 다른 종류주식을 발행하는 때에는 정관에 그 종류주식의 주주에게 교부하는 배당재산의 종류, 배당재산의 가액의 결정방법, 이익을 배당하는 조건 등 이익배당에 관한 내용도 정하여야 한다."
"이유","이후 피고 회사의 주주총회에서 원고의 찬성으로 이익배당에 관한 종류주식을 발행할 수 있도록 정관을 변경하고, 이미 발행된 보통주 106,000주 중 31,800주를 이 사건 우선주로 변경하는 것을 승인하는 결의가 이루어졌다."
"이유","우선주식의 주주는 우선주식을 보유하는 동안 1주당 당기순이익 중 106,000분의 1을 우선적으로 현금으로 배당받고, 우선주식에 대한 배당은 정기주주총회일로부터 7일 이내에 지급되어야 하고, 당해 회계연도에 당기순이익이 있는 경우 반드시 정기주주총회의 결의를 통하여 그때부터 7일 이내에 지급되어야 한다."
"이유","2018년과 2019년에 개최된 각 정기주주총회에서 전년도에 당기순이익이 발생하였음에도 이익배당에 관하여 아무런 기재가 없는 잉여금처분계산서가 승인되자, 피고 회사는 이를 이유로 원고에게 이익배당금을 지급하지 않았다."
"이유","피고 회사의 정관은 이 사건 우선주에 관한 배당의무를 명시하면서 배당금 지급조건 및 배당금액 산정과 관련한 사항을 구체적으로 규정하고 있으므로, 피고 회사의 정기주주총회에서 재무제표가 승인됨으로써 당기순이익이 확정되기만 하면 이 사건 우선주에 관하여 피고 회사가 지급할 의무가 있는 배당금액이 곧바로 계산된다."
"이유","따라서 이 사건 우선주의 주주인 원고에게는 피고 회사의 정기주주총회에서 당기순이익이 포함된 재무제표를 승인하는 결의가 있는 때에 구체적이고 확정적인 이익배당청구권이 인정된다."
"이유","다른 특별한 사정이 없는 한 상법 제462조 제1항에 따른 배당가능이익의 범위 내에서 피고 회사를 상대로 정관 규정에 따라 계산된 배당금의 지급을 청구할 수 있다."
"이유","이러한 원심의 판단에는 이익배당청구권에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있고, 이를 지적하는 원고의 상고이유 주장은 이유 있다."
"이유","그러므로 나머지 상고이유에 대한 판단을 생략한 채 원심판결을 파기하고, 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
