"판시사항","환지예정지에 대한 소유권이전등기 의무가 이행불능으로 된 후에 그 가격이 등귀한 경우, 그로 인한 손해배상의 범위"
"판결요지"," 매도인의 매매목적물에 관한 소유권이전등기 의무가 이행불능이 됨으로 말미암아 매수인이 입는 손해액은 원칙적으로 그 이행불능이 될 당시의 목적물의 시가 상당액이다."
"판결요지","그 이후 목적물의 가격이 등귀하였다 하여도 그로 인한 손해는 특별한 사정으로 인한 것이어서 매도인이 이행불능 당시 그와 같은 특수한 사정을 알았거나 알 수 있었을 때에 한하여 그 등귀한 가격에 의한 손해배상을 청구할 수 있다 함은 대법원의 확립된 판례이다."
"판결요지","이러한 법리는 이전할 토지가 환지 예정이나 환지확정 후의 특정 토지라고 하여도 다를 바가 없으며, 그 배상금의 지급이 지체되고 있다고 하여도 그 배상금에 대한 법정이자 상당의 지연손해금을 청구하는 외에 사실심 변론종결시의 시가에 의한 손해배상을 청구할 수 있게 되는 것은 아니다."
"이유","원심판결 이유에 의하면, 원심은 그 판결에서 채용하고 있는 증거들을 종합하여 다음과 같은 사실을 인정하고 있다."
"이유","단 소유권이전등기가 이행불능이라고 확정하는 시기는 위 계약일로부터 1년간으로 한다고 약정하였다. 위 망 소외 1은 위 약정에 따라 피고들 앞으로 위 임야 7,934㎡에 대한 3분의 2 지분에 관하여 대전지방법원 공주지원 1984. 3. 30. 접수 제5694호로 지분이전청구권 보전을 위한 가등기를 경료하였다."
"이유","그 후 1987. 11. 20. 공유물 분할로 인하여 망 소외 1의 잔여 지분 및 위 소외인들의 지분 전부에 관하여 소외 2 앞으로 지분이전등기가 경료되었다. 위 망 소외 1은 1992. 10. 31. 사망하여, 그 자녀들인 원고들이 공동재산상속인이 되었다."
"이유","한편 피고들은 원고들로부터 매매계약의 이행불능으로 인한 손해배상을 받은 다음 원고들에게 이 사건 담보목적물에 대한 이 사건 가등기의 말소등기절차를 이행할 의무가 있다고 할 것이다."
"이유","그런데 일반적으로 매매계약의 이행불능으로 인하여 피고들이 입은 손해는 특별한 사정이 없는 한 그 이행불능 당시의 부동산 시가 상당액이라고 할 것이다."
"이유","매도인인 망 소외 1이 매매계약 당시 피고들이 위 토지를 매수하여 전매하거나 또는 그 지상에 건물을 신축하여 매각하고자 한다는 특별한 사정을 알았거나 알 수 있었다면 원고들은 피고들이 위와 같은 목적을 달성하지 못함으로써 입은 손해도 특별손해로서 배상할 의무가 있다고 할 것인바이다."
"이유","원심이 이 사건 위 매매계약에 의한 망 소외 1의 피고들에 대한 소유권이전등기의무가 위 약정에 따라 1년이 경과한 1985. 3. 27. 이행불능으로 확정되었다고 판단한 것은 을 제1호증의 부속문서인 특약조건 제5항의 문언에 따른 것이 분명하다."
"이유","위 특약조건의 문언은 ""본 매매부동산에 대하여 현 공부상 공유자의 이의가 있을 시는 매도인이 책임 해결하기로 한다. 그러나 매도인이 해결하지 못할 시는 그 즉시 매도인은 자기의 여타 공유 소유인 동동임야를 매수인들에게 가등기절차를 이행하여 주기로 하다."
"이유","그러나 매도인의 매매목적물에 관한 소유권이전등기 의무가 이행불능이 됨으로 말미암아 매수인이 입는 손해액은 원칙적으로 그 이행불능이 될 당시의 목적물의 시가 상당액이라고 할 것이다."
