"판시사항","그 상태에서 그 부동산에 관하여 소유권이나 저당권 등 새로 이해관계를 취득한 제3취득자에 대하여 후순위저당권자가 민법 제368조 제2항에 따른 대위를 주장할 수 있는지 여부"
"판결요지","변제로 인하여 저당권 등이 소멸한 것으로 믿고 목적부동산을 취득한 제3취득자를 불측의 손해로부터 보호하기 위하여 미리 저당권 등에 대위의 부기등기를 하지 아니하면 제3취득자에 대하여 채권자를 대위하지 못하도록 정하고 있다."
"판결요지","이에 따라 자기의 재산을 타인의 채무의 담보로 제공한 물상보증인이 수인일 때 그중 일부의 물상보증인이 채무를 변제한 뒤 다른 물상보증인 소유 부동산에 설정된 근저당권설정등기에 관하여 대위의 부기등기를 하여 두지 아니하고 있는 동안에 제3취득자가 위 부동산을 취득하였다."
"판결요지","그런데 이와 같이 법률상 당연히 이전되는 저당권과 관련하여 그 후에 해당 부동산에 대하여 권리를 취득한 제3취득자를 보호할 필요성은 후순위저당권자의 대위의 경우에도 마찬가지로 존재한다."
"판결요지","그리고 후순위저당권자의 대위의 경우에도 부동산등기법 제80조에서 정한 공동저당의 대위등기를 통하여 제3취득자에게 공시할 수 있으므로, 변제자대위와 마찬가지로 일정한 경우에 대위등기를 선행하도록 요구한다고 하더라도 후순위저당권자에게 크게 불리하지 아니하다. "
"판결요지","더욱이 변제자대위의 경우에는 저당권뿐 아니라 채권까지 이전됨에 비하여 후순위저당권자의 대위의 경우에는 채권이 이전되지 아니한다는 점까지 고려하면, 후순위저당권자를 변제자보다 항상 더 보호하여야 할 필요성이 있다고 보기는 어렵다."
"판결요지","비록 공동저당의 대위등기를 하지 아니하더라도 제3취득자로서는 저당권이 유효하게 존재함을 알거나 적어도 저당권이 공동저당권으로서 공시되어 있는 상태에서 이를 알면서 해당 부동산을 취득할 것이므로 저당권의 이전과 관련하여 제3취득자를 보호할 필요성은 적다."
"판결요지","그와 같이 저당권등기가 말소되어 등기부상 저당권의 존재를 확인할 수 없는 상태에서 그 부동산에 관하여 소유권이나 저당권 등 새로 이해관계를 취득한 사람에 대해서는, 후순위저당권자가 민법 제368조 제2항에 의한 대위를 주장할 수 없다."
"이유","민법 제368조 제2항은 공동저당의 목적부동산 중에서 일부의 경매대가를 먼저 배당하는 경우에는 공동저당권자가 그 대가에서 채권 전부의 변제를 받을 수 있다."
"이유","이 경우에 그 경매한 부동산의 후순위저당권자는 만일에 동시에 배당을 하였더라면 선순위의 공동저당권자가 다른 부동산의 경매대가에서 변제를 받을 수 있는 금액의 한도에서 그 다른 부동산에 관하여 선순위저당권자를 대위하여 저당권을 행사할 수 있다고 규정하고 있다."
"이유","이와 같은 후순위저당권자의 대위는 선순위저당권자가 가지고 있던 다른 부동산에 관한 저당권이 법률상 당연히 후순위저당권자에게 일정 한도에서 이전하는 것으로서, 민법 제187조에서 말하는 법률의 규정에 의한 물권변동에 해당하여 등기 없이도 효력이 생긴다고 해석된다."
"이유","변제로 인하여 저당권 등이 소멸한 것으로 믿고 그 목적부동산을 취득한 제3취득자를 불측의 손해로부터 보호하기 위하여 미리 저당권 등에 대위의 부기등기를 하지 아니하면 제3취득자에 대하여 채권자를 대위하지 못하도록 정하고 있다."
"이유","그런데 이와 같이 법률상 당연히 이전되는 저당권과 관련하여 그 후에 해당 부동산에 대하여 권리를 취득한 제3취득자를 보호할 필요성은 후순위저당권자의 대위의 경우에도 마찬가지로 존재한다."
"이유","그리고 후순위저당권자의 대위의 경우에도 부동산등기법 제80조에서 정한 공동저당의 대위등기를 통하여 제3취득자에게 공시할 수 있으므로, 변제자대위와 마찬가지로 일정한 경우에 그 대위등기를 선행하도록 요구한다고 하더라도 후순위저당권자에게 크게 불리하지 아니하다. "
"이유","더욱이 변제자대위의 경우에는 저당권뿐 아니라 채권까지 이전됨에 비하여 후순위저당권자의 대위의 경우에는 채권이 이전되지 아니한다는 점까지 고려하면, 후순위저당권자를 변제자보다 항상 더 보호하여야 할 필요성이 있다고 보기는 어렵다."
"이유","이러한 사정들을 종합하여 보면, 먼저 경매된 부동산의 후순위저당권자가 다른 부동산에 공동저당의 대위등기를 하지 아니하고 있는 사이에 선순위저당권자 등에 의해 그 부동산에 관한 저당권등기가 말소된다."
"이유","그와 같이 저당권등기가 말소되어 등기부상 저당권의 존재를 확인할 수 없는 상태에서 그 부동산에 관하여 소유권이나 저당권 등 새로 이해관계를 취득한 사람에 대해서는, 후순위저당권자가 민법 제368조 제2항에 의한 대위를 주장할 수 없다고 봄이 타당하다."
"이유","그 후 이 사건 ③부동산에 관하여 2012. 2. 24. 소외 2 명의의 소유권이전등기가 마쳐지고, 2012. 4. 2. 채무자를 소외 2, 채권최고액을 386,400,000원으로 하는 서대전농업협동조합 명의의 근저당권설정등기가 마쳐진 사실을 인정하였다."
"이유","그런 다음 원심은, 원고가 미처 이 사건 근저당권설정등기에 관하여 대위의 부기등기를 마치지 못한 사이에 이 사건 근저당권설정등기를 말소할 권한이 없는 피고와 소외 1이 임의로 이를 말소하였으므로 이는 원고에 대하여 불법행위를 구성한다."
"이유","원심판결 이유를 적법하게 채택된 증거들에 비추어 살펴보면, 위와 같은 원심의 판단은 앞서 본 법리에 기초한 것으로 보이고, 거기에 상고이유 주장과 같이 민법 제368조 제2항에서 정한 후순위저당권자의 대위에 관한 법리를 오해하는 등의 위법이 없다."
