"판시사항","구 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 제78조 제4항에서 정한 ‘도로·급수시설·배수시설 그 밖의 공공시설 등 당해 지역조건에 따른 생활기본시설’의 의미."
"이유","구 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 제78조 제1항은 “사업시행자는 공익사업의 시행으로 인하여 주거용 건축물을 제공함에 따라 생활의 근거를 상실하게 되는 자를 위하여 대통령령이 정하는 바에 따라 이주대책을 수립·실시하거나 이주정착금을 지급하여야 한다.”고 규정하고 있다."
"이유","제78조 제4항 본문은 “이주대책의 내용에는 이주정착지에 대한 도로·급수시설·배수시설 그 밖의 공공시설 등 당해 지역조건에 따른 생활기본시설이 포함되어야 한다."
"이유","구 공익사업법 제78조 제4항의 취지는 이주대책대상자들에게 생활의 근거를 마련해 주고자 하는 데 그 목적이 있다."
"이유","위 규정의 ‘도로·급수시설·배수시설 그 밖의 공공시설 등 당해 지역조건에 따른 생활기본시설’이라 함은 주택법 제23조 등 관계 법령에 의하여 주택건설사업이나 대지조성사업을 시행하는 사업주체가 설치하도록 되어 있는 도로 및 상하수도시설, 전기시설·통신시설·가스시설 또는 지역난방시설 등의 간선시설을 의미한다고 보아야 한다."
"이유","위 법리 및 기록에 비추어 보면 원심의 이러한 판단은 정당하고, 거기에 상고이유 주장과 같이 생활기본시설의 범위에 관한 법리를 오해한 위법 등이 없다."
"이유","사업지구 밖에 설치하는 도로에 관한 부담금 등 비용은 이주대책대상자들에게 당연히 제공되어야 하는 구 공익사업법 제78조 제4항에 규정된 ‘당해 지역조건에 따른 생활기본시설’에 해당한다고 보기 어렵다."
"이유","원심판결 이유에 의하면, 원심은 도로 포장공사비는 전액이 생활기본시설 조성비에 포함되어야 하고 주변도로 공사비는 전체 사업면적에서 생활기본시설 용지 면적이 차지하는 비율에 해당하는 부분만이 생활기본시설 조성비에 포함되어야 한다고 판단하였다."
"이유","앞서 본 법리 및 기록에 의하면, 사업지구 안에 설치한 도로에 대한 공사비인 도로 포장공사비와 달리 주변도로 공사비는 어디까지나 사업지구 밖에 설치한 도로에 대한 부담금으로서 생활기본시설 설치비용에 포함되지 않다."
"이유","이는 오히려 원고들에게 유리한 것으로서 그 일부 금액을 생활기본시설 조성비에서 제외하더라도 피고가 부당이득한 금액이 없다고 본 원심의 결론에는 아무런 영향을 미치지 못하다."
"이유","거기에 상고이유 주장과 같이 주변도로 공사비의 산입범위에 관한 법리를 오해하여 판결 결과에 영향을 미친 위법이 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 패소자들이 부담하도록 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
