"판시사항","피상속인의 점유태양을 밝히지 않고 자주점유의 새로운 권원이 인정되지 아니하는 상속인의 점유만을 따로 분리하여 시효취득을 인정한 원심을 파기한 사례"
"판결요지","상속에 의하여 점유권을 취득한 경우에는 상속인은 새로운 권원에 의하여 자기 고유의 점유를 개시하지 않는 한 피상속인의 점유를 떠나 자기만의 점유를 주장할 수 없다."
"판결요지","선대의 점유가 타주점유인 경우 선대로부터 상속에 의하여 점유를 승계한 자의 점유도 상속 전과 그 성질 내지 태양을 달리하지 않으므로 특단의 사정이 없는 한 그 점유가 자주점유로는 될 수 없다."
"판결요지","그 점유가 자주점유가 되기 위하여는 점유자가 소유자에 대하여 소유의 의사가 있는 것을 표시하거나 새로운 권원에 의하여 다시 소유의 의사로써 점유를 시작하여야 한다."
"판결요지","점유자가 보증서를 발급할 자격이 없는 보증인들의 보증서에 의하여 점유자 명의로 소유권보존등기를 마쳤다는 사실만으로는 점유자가 소유자에 대하여 소유의 의사가 있음을 표시한 것이라고 할 수 없다."
"판결요지","점유자의 점유승계가 상속에 의한 경우, 피상속인의 점유의 성질에 관하여 심리하여 점유자의 점유가 자주점유인가의 여부를 판단하여야 할 것임에도 불구하고, 피상속인의 점유의 성질을 밝히지 아니 한 채 상속인의 점유만을 따로 분리하여 자주점유라고 판단한 원심을 파기한 사례."
"이유"," 1947. 4. 22. 위 소외 1이 사망하자 피고들의 부친인 망 소외 2가 위 임야를 점유·관리하다가 1955. 4. 10. 사망한 이후에는 피고들이 위 임야를 점유·관리하였다."
"이유","최소한 이 사건 임야에 관하여 피고들 명의로 소유권보존등기를 마친 때로부터 20년이 경과한 1991. 12. 18.에는 그 취득시효가 완성되었다 할 것이어서, 결국 피고들 명의의 이 사건 소유권보존등기는 실체관계에 부합하는 유효한 등기라고 판단하였다."
"이유","그러나 상속에 의하여 점유권을 취득한 경우에는 상속인은 새로운 권원에 의하여 자기 고유의 점유를 개시하지 않는 한 피상속인의 점유를 떠나 자기만의 점유를 주장할 수 없다."
"이유","또 선대의 점유가 타주점유인 경우 선대로부터 상속에 의하여 점유를 승계한 자의 점유도 상속 전과 그 성질 내지 태양을 달리 하는 것이 아니어서, 특단의 사정이 없는 한 그 점유가 자주점유로는 될 수 없다."
"이유","그 점유가 자주점유가 되기 위하여는 점유자가 소유자에 대하여 소유의 의사가 있는 것을 표시하거나 새로운 권원에 의하여 다시 소유의 의사로써 점유를 시작하여야만 하는 것이다."
"이유","이 사건에 있어서 원심이 인정한 사실관계와 기록에 의하면, 피고 1은 1955. 4. 10. 그의 부인 망 소외 2의 사망으로 호주상속인으로서 상속에 의하여 이 사건 임야에 대한 점유를 개시하였다."
"이유","위 소외 2 역시 피고들의 조부인 위 망 소외 1의 사망으로 상속에 의하여 이 사건 임야에 대한 점유를 개시하였음을 엿볼 수 있는 바이다."
"이유","이와 같은 위법은 판결 결과에 영향을 미쳤음이 분명하므로, 이 점을 지적하는 상고이유의 주장은 이유 있다."
"이유","그러므로 나머지 상고이유의 주장에 대한 판단을 생략한 채 원심판결을 파기하고 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 관여 법관들의 의견이 일치되어 주문과 같이 판결한다."
