"판시사항","甲의 남편 乙이 건설회사 팀장으로 근무하던 중 업무상 스트레스로 우울증을 앓다가 회사에서 투신하여 사망하자 甲이 근로복지공단에 유족급여 등 지급청구를 하였다."
"이유","구「산업재해보상보험법」제37조 제1항에서 말하는 ‘업무상의 재해’라 함은 업무수행 중 그 업무에 기인하여 발생한 근로자의 부상·질병·신체장애 또는 사망을 뜻하는 것이므로 업무와 재해발생 사이에는 인과관계가 있어야 하고 그 인과관계는 이를 주장하는 측에서 증명하여야 하는 바이다."
"이유","그 인과관계 유무는 반드시 의학적·자연과학적으로 명백히 증명되어야 하는 것이 아니라 규범적 관점에서 상당인과관계의 유무로써 판단되어야 한다. "
"이유","따라서 근로자가 자살행위로 인하여 사망한 경우, 근로자가 업무로 인하여 질병이 발생하거나 업무상 과로나 스트레스가 그 질병의 주된 발생원인에 겹쳐서 질병이 유발 또는 악화된다."
"이유","그와 같은 상당인과관계를 인정하기 위하여는 자살자의 질병 내지 후유증상의 정도, 그 질병의 일반적 증상, 요양기간, 회복가능성 유무, 연령, 신체적·심리적 상황, 자살자를 에워싸고 있는 주위상황, 자살에 이르게 된 경위 등을 종합적으로 고려하여야 한다."
"이유","복잡한 민원에 대하여는 팀장인 망인이 직접 처리한 사실, 망인이 입주관리파트에서 근무하기 시작한 2007년 9월경 경기가 침체되어 아파트 가격이 하락하는 등으로 인하여 분양계약의 해지를 요청하는 민원이 다수 발생하였다."
"이유","망인은 상담 과정에서 민원인들로부터 심한 항의와 욕설을 듣는 경우도 흔히 있었던 사실, 평소 망인은 술, 담배를 하지 않는다."
"이유","소외 4의 묵인하에 출근하지 아니한 사실, 망인은 2008. 6. 2. 출근하여 소외 4로부터 자이갤러리관에서 문화행사를 주관하는 부서인 마케팅팀으로 보직을 변경하여 주겠다는 말을 들었다."
"이유","소외 4와 전화통화를 하면서 점심식사를 하러 간 여직원에 대해 “계약직 여직원이 업무가 힘들어 도망갔다.”라고 하는 등 횡설수설을 하기도 하였다."
"이유","그 후로 더 이상 치료를 받은 적은 없는 사실, 망인은 처와 딸을 두고 정상적인 가정생활을 하고 있었다."
"이유","이러한 사실관계에 나타난 바와 같이 망인이 담당하던 주된 업무는 민원인들로부터 심한 항의와 욕설을 듣기도 하는 민원상담 내지 민원처리 업무로서 그 업무의 양을 떠나 스트레스를 많이 받을 수밖에 없는 업무인 점이다."
"이유","망인이 업무 이외의 다른 요인으로 인해 우울증에 걸렸다거나 자살에 이르게 된 것이라고 볼 만한 자료가 없는 점 등의 사정을 앞서 본 법리에 비추어 살펴보면, 망인은 업무상의 과로나 스트레스로 인하여 우울증이 발생하였다고 봄이 상당하다."
"이유","2001년 발생한 우울증이 이 사건 자살 당시까지 지속되었다고 볼 자료가 없는 이상 약 7년 전의 우울증 병력만으로 망인의 업무상 스트레스와 이 사건 우울증 사이의 인과관계를 부정할 수는 없다."
"이유","또한 상관의 만류로 사직서가 반려되고 1달간의 휴가 후 망인은 다시 업무에 복귀하는 것에 대하여 중압감을 갖고 있었다."
"이유","복귀 후 강등으로 받아들일 만한 보직변경을 확인하고는 정신적 충격을 받은 것으로 보이는 점, 보직변경을 확인한 날 망인은 상관에게 횡설수설을 하기도 한다."
"이유","사무실에서 하루 종일 멍하니 모니터만 바라보고 있다가 동료로부터 퇴근을 권유 받기도 하는 등 이상행동을 보인 점이다."
"이유","망인이 우울증을 앓게 된 데에 망인의 내성적이고 소심한 성격 등 개인적인 취약성이 영향을 미쳤다고 하더라도, 업무상의 과로나 스트레스가 그에 겹쳐서 우울증이 유발 또는 악화되었다면 업무와 우울증 사이에 상당인과관계를 인정함에 아무런 지장이 없다고 할 것이다."
"이유","그럼에도 불구하고 그 판시와 같은 사정만으로 망인의 사망과 업무 사이에 인과관계가 없다고 판단한 원심판결에는 업무상 재해에 있어서 업무와 사망 사이의 인과관계 등에 관한 법리를 오해한 나머지 필요한 심리를 다하지 아니하여 판결 결과에 영향을 미친 위법이 있다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
