"판시사항","민법상 화해계약에 있어서 착오가 있음을 이유로 취소할 수 있는 '화해의 목적인 분쟁 이외의 사항'의 의미."
"판결요지","퇴직금지급률을 인하 조정하는 퇴직금지급규정의 개정에 대하여 노사간에 다툼이 있어, 그 판단을 같은 분쟁에 대하여 이미 퇴사한 직원들이 제기하여 계속중인 소송의 확정 판결에 따르기로 하는 등의 합의를 하였다면, 그 합의는 새로운 법률관계를 확정하여 일체의 분쟁을 끝내기로 한 것이므로 화해계약에 해당한다."
"판결요지","민법상 화해계약에 있어서는 당사자는 착오를 이유로 취소하지 못하고 다만 화해 당사자의 자격 또는 화해의 목적인 분쟁 이외의 사항에 착오가 있는 때에 한하여 취소할 수 있는 바이다."
"판결요지","여기서 '화해의 목적인 분쟁 이외의 사항'이라 함은 분쟁의 대상이 아니라 분쟁의 전제 또는 기초가 된 사항으로서, 쌍방 당사자가 예정한 것이어서 상호 양보의 내용으로 되지 않고 다툼이 없는 사실로 양해된 사항을 말한다."
"판결요지","민법 제109조 제1항 단서에서 규정하고 있는 '중대한 과실'이라 함은 표의자의 직업, 행위의 종류, 목적 등에 비추어 보통 요구되는 주의를 현저하게 결여한 것을 말한다."
"이유","원심판결 이유에 의하면 원심은 원고가 1981. 1. 1.자로 퇴직금지급률을 판시와 같이 인하 조정하는 퇴직금지급규정을 개정하자, 신규정이 근로자집단의 집단의사결정방법에 의한 동의를 받지 아니하여 무효라는 이유로 퇴직한 직원들 중 소외 1 외 18명이 신·구규정에 따른 퇴직금의 차액의 지급을 구하는 판시 소송을 제기하였다."
"이유","위 1991. 3. 13.자 이 사건 합의는 이 사건 피고들을 포함한 근로자들이 자신들의 판시 소송을 취하하고 소송비용을 각자 부담하기로 하는 대신 원고는 위 소외 1 외 18명이 제기한 소송에서 위 소외인들이 승소하였다."
"이유","원고가 패소하는 경우 그 판결 결과를 이 사건 피고들을 포함한 나머지 직원들에게도 적용하여 구규정에 따른 퇴직금을 지급하기로 하는 것을 내용으로 하는 것으로서, 당사자 쌍방이 서로 양보하여 분쟁을 끝내기로 하는 약정이므로 일종의 화해계약이라고 판단하고 있는 바이다."
"이유","새로운 법률관계를 확정하여 일체의 분쟁을 끝내기로 한 것이므로 이 사건 합의는 화해계약에 해당하고, 거기에 소론과 같은 화해계약의 법리를 오해하거나 이유모순의 위법이 있다고 할 수 없다."
"이유","위에서 '화해의 목적인 분쟁 이외의 사항'이라 함은 분쟁의 대상이 아니라 분쟁의 전제 또는 기초가 된 사항으로서, 쌍방 당사자가 예정한 것이어서 상호 양보의 내용으로 되지 않고 다툼이 없는 사실로 양해된 사항을 말하는 바이다."
"이유","이 사건 화해계약에 있어서 신규정이 근로자집단의 집단의사결정방법에 의한 동의를 얻어서 유효한지의 여부에 관한 것은 분쟁의 대상인 법률관계의 자체에 관한 것으로 착오를 이유로 이를 취소할 수 없다고 판단한 원심의 조치는 정당하고, 거기에 소론과 같은 화해계약의 취소에 관한 법리를 오해한 위법이 없다."
"이유","독립한 상고이유가 되지 아니할 뿐 아니라 민법 제109조 제1항 단서에서 규정하고 있는 '중대한 과실'이라 함은 표의자의 직업, 행위의 종류, 목적 등에 비추어 보통 요구되는 주의를 현저하게 결여한 것을 말하는바, 원심이 수백 명의 직원을 거느리는 대기업으로 직원들에 대한 인사관리를 하였다."
"이유","노동조합과의 사이에 수차 임금협상, 단체협약체결 등을 하여 온 원고가 이 사건 합의약정을 체결함에 있어서 위 퇴직금지급규정의 개정시 근로자집단의 동의를 받은 사실이 있는지의 여부를 제대로 확인하지 아니한 것은 중대한 과실에 해당한다고 본 조치는 정당하다."
"이유","피고 2 등이 판시 소송을 제기하였다는 사정만으로는 이 사건 피고들이 이 사건 합의에 기하여 추가로 지급된 퇴직금의 반환을 거부하는 것을 신의법칙에 반한다고 볼 수 없다고 판단하고 있는 바이다."
"이유","원고와 위 노동조합과의 합의해제의 효력이 이 사건 피고들에게 당연히 미친다고 할 수 없다고 판단하고 있는 바이다."
"이유","원심의 이러한 조치는 정당하고 거기에 소론과 같은 계약체결 및 계약해제와 관련한 권한 위임에 관한 법리를 오해한 위법이 없다."
