"판시사항","같은 법상 토지거래신고구역으로 지정된 토지에 대한 적법한 거래신고가 없었다는 이유로 최고 없이 계약을 해제할 수 있는지 여부"
"판결요지","국토리용관리법 제21조의14 소정의 선매자의 지정이 있는 것만으로 당연히 선매자와 토지 소유자 사이에 매매계약이 체결된 것으로 볼 수 없음은 물론 토지 소유자가 선매자의 협의에 반드시 응해야 할 의무가 있는 것으로 풀이되지 아니한다."
"판결요지","가령 토지 소유자가 선매자의 협의에 응하여 협의가 성립된 경우라면 토지 소유자는 이를 이유로 종전 계약을 해제할 수 있는 권리가 생기는 데 지나지 않는다."
"판결요지","신고의무에 위반한 거래계약의 사법적 효력까지 부인되는 것은 아니어서 위 법에 의한 신고 이전에 이루어진 매매가 무효라고 할 수 없으니, 토지거래신고구역으로 지정된 토지에 대한 적법한 거래신고가 없었다는 이유로 최고를 요하지 아니하고 계약을 해제할 수 있는 경우라고 할 수 없다."
"이유","도지사는 제1항의 규정에 의하여 선매자를 지정한 때에는 지체 없이 당해 선매자와 토지 소유자에게 이를 통지하여야 하며, 그 통지를 받은 선매자는 당해 토지소유자와 매수에 관한 협의를 하여야 한다고 규정하고 있다."
"이유","위 규정을 보더라도 선매자의 지정이 있는 것만으로 당연히 선매자와 토지 소유자 사이에 매매계약이 체결된 것으로 볼 수 없음은 물론 토지 소유자가 선매자의 협의에 반드시 응해야 할 의무가 있는 것으로 풀이되지 아니한다."
"이유","토지소유자는 선매자의 협의에 불응하고 적정금액으로 재신고할 수 있다고 할 것이므로 종전 당사자 사이의 거래계약에 대한 사법적 효력은 유지된다고 할 것이다."
"이유","동시이행관계에 있는 쌍무계약에 있어서 상대방의 채무불이행을 이유로 계약을 해제하려는 자는 동시이행관계에 있는 자기 채무의 이행을 제공하고서 상당한 기간을 정하여 상대방의 이행을 최고한 후 상대방이 그 채무이행을 하지 아니한 때에 상대방의 채무이행지체를 이유로 하여 계약을 해제할 수 있다."
"이유","다만 상대방이 미리 이행하지 아니할 의사를 표시한 경우에는 위와 같은 최고를 요하지 아니하고 계약을 해제할 수 있다는 것은 소론과 같다. "
"이유","국토이용관리법상 토지거래신고구역으로 지정된 이 사건 토지에 대한 적법한 거래신고가 없었다는 이유로 앞에서 본 바와 같은 최고를 요하지 아니하고 계약을 해제할 수 있는 경우라고 할 수 없다. "
"이유","기록을 살펴보아도 피고가 부동산매도용 인감증명서 이외의 소유권이전등기 소요서류를 갖추어 놓고 그수령을 최고하였다고 인정할만한 증거를 찾아 볼 수 없다."
"이유","따라서 원심이 위 인감증명서의 준비만으로 피고가 자신의 채무를 이행제공한 것으로 볼 수 없다고 한 것은 정당하고 소론과 같은 채증법칙위배, 심리미진, 이유불비 내지 이유모순의 위법이 있다고 할 수 없다."
"이유","이상의 이유로 상고를 기각하고 상고비용은 패소자의 부담으로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","가령 토지 소유자가 선매자의 협의에 응하여 협의가 성립된 경우라면 토지소유자는 이를 이유로 종전 계약을 해제할 수 있는 권리가 생기는 데 지나지 않는 것이다."
"이유","원심은 피고가 위와 같은 최고를 한 일이 없으므로 피고의 1990.6.2.자 해제통고로서 계약해제의 효과가 발생하지 아니한다고 한 것은 정당하고 소론과 같은 국토이용관리법상 토지거래에 관한 법리오해나 채무불이행과 계약해제에 관한 법리오해의 위법이 있다고 할 수 없다."
