"판시사항","보증보험계약의 법적성질 및 보험자가 보험계약자의 기망을 이유로 보증보험계약을 취소한 경우, 그 취소로써 피보험자에게 대항할 수 있는지 여부"
"판결요지","보증보험의 성질상 상법 제659조의 규정은 보증보험계약이 보험계약자의 사기행위에 피보험자가 공모하였다든지 적극적으로 가담하지는 않았더라도 그러한 사실을 알면서도 묵인한 상태에서 체결되었다고 인정되는 경우를 제외하고는 원칙적으로 보증보험에는 그 적용이 없다."
"판결요지","형식적으로는 채무자의 채무불이행을 보험사고로 하는 보험계약이지만 실질적으로는 보증의 성격을 가지고 보증계약과 같은 효과를 목적으로 한다."
"판결요지","피보험자가 그와 같은 서류심사에 있어서 필요한 주의의무를 다하지 아니한 과실이 있었던 탓으로 보험자가 보증책임을 이행한 후 구상권을 확보할 수 없게 되었다는 등의 특별한 사정이 없는 한 그 취소를 가지고 피보험자에게 대항할 수 없다."
"판결요지","객관적으로 보험자가 그 사실을 안다면 그 계약을 체결하지 않든가 적어도 동일한 조건으로는 계약을 체결하지 않으리라고 생각되는 사항을 말한다."
"판결요지","어떠한 사실이 이에 해당하는가는 보험의 종류에 따라 달라질 수밖에 없는 사실인정의 문제로서 보험의 기술에 비추어 객관적으로 관찰하여 판단되어야 한다."
"판결요지","보증인이 누구인가는 보험사고 발생의 가능성 등과는 관계없이 보험사고가 이미 발생한 후에 보험자가 구상권을 행사하기 위한 대비를 해 두기 위한 것이므로, 보증인에 관한 사항은 일반적으로는 고지의무의 대상이 되지 않는다."
"이유","원심판결 이유에 의하면, 원심은, 소외 1이 자금을 마련하기 위하여 포괄적인 권한을 위임함에 따라, 소외 2가 위 소외 1을 대리하여 원고와 사이에는 이 사건 물품공급계약을, 피고와 사이에는 이 사건 이행보증보험계약을 각 체결한 사실을 인정하고, 위 보증보험계약은 유효하다고 판단하였다."
"이유","기록에 비추어 살펴보면, 원심의 사실인정과정에 그 표현상 미흡한 점은 있으나, 위와 같은 인정과 판단은 수긍할 수 있다."
"이유","피보험자가 그와 같은 서류심사에 있어서 필요한 주의의무를 다하지 아니한 과실이 있었던 탓으로 보험자가 보증책임을 이행한 후 구상권을 확보할 수 없게 되었다는 등의 특별한 사정이 없는 한 그 취소를 가지고 피보험자에게 대항할 수 없다고 보아야 할 것이다."
"이유","보증보험의 채권담보적 기능을 신뢰하여 새로운 이해관계를 가지게 된 것으로 보아야 할 것이므로, 같은 취지에서 피고는 보험계약의 취소로 원고에게 대항할 수 없다고 한 원심의 판단은 정당하다."
"이유","그런데 상고이유에서 들고 있는 사정들은 원고가 보험계약자의 사기행위에 공모하였다든지 그러한 사실을 알면서도 묵인하였다고 인정하기에 부족한 사정들이다."
"이유","그러므로 상고를 기각하고 상고비용은 패소자의 부담으로 하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
