"판시사항","변론종결 후 당사자의 변론재개신청을 받아들일지가 법원의 재량에 속하는지 여부 및 법원의 변론재개의무가 인정되는 예외적인 경우"
"판결요지","당사자가 변론종결 후 주장ㆍ증명을 제출하기 위하여 변론재개신청을 한 경우 당사자의 변론재개신청을 받아들일지 여부는 원칙적으로 법원의 재량에 속한다."
"이유","피고는 2016. 1. 2. 평택시 일원에서 공동주택 신축사업을 추진하기 위하여 지역주택조합 설립인가 신청을 하였고, 2016. 4. 6. 평택시장으로부터 조합설립인가를 받은 지역주택조합이다."
"이유","원고는 조합설립인가 전인 2015. 5. 16. 피고와 사이에, 피고의 조합원이 되어 아파트를 공급받기로 하는 내용의 조합가입계약을 체결하였다."
"이유","원고는 이 사건 1차 계약에 따라 2015. 5. 16.부터 같은 해 7. 23.까지 조합원분담금 중 계약금 명목으로 합계 2,000만 원을, 2015. 6. 22.과 그 다음 날 행정용역비 명목으로 합계 1,100만 원을 납부하였다."
"이유","한편, 원고는 2016. 1. 27. 피고로부터 원고가 주거전용면적 85㎡를 초과하는 주택을 소유하고 있기 때문에 조합원 부적격사유에 해당한다는 통지를 받았다."
"이유","원고는 위 문제에 대하여 피고에 문의하였고, 피고로부터 원고 소유의 주택을 매도하고 매도일 이후의 일자로 조합가입계약서를 재작성하면 조합원 자격 취득에 아무런 문제가 없다는 설명을 들었다."
"이유","피고는 2016. 6. 20. 원고에게 조합원 부적격사유가 해소되었으니 조합원 가입계약을 다시 체결할 것을 요청하였고, 이에 원고는 2016. 6. 21. 피고와 사이에 이 사건 1차 계약과 동일한 내용으로 조합가입계약을 체결하였다."
"이유","그러나 변론재개신청을 한 당사자가 변론종결 전에 그에게 책임을 지우기 어려운 사정으로 주장ㆍ증명을 제출할 기회를 제대로 갖지 못하였다."
"이유","이 사건 1차 계약에 관한 해제 합의가 피고의 총회결의를 거치지 않아 무효이므로 여전히 이 사건 1차 계약은 유효하다고 판단하여 원고의 청구를 기각하였다."
"이유","그런데 기록에 의하면, 피고는 2018. 11. 16.자, 2019. 6. 3.자 및 2019. 10. 15.자 각 준비서면을 통해 예비적으로 이 사건 1차 계약이 자동해제되었다고 하더라도 원고는 위약금 등을 공제한 범위에서 환급청구권을 가질 뿐이라고 주장하였다."
"이유","그럼에도 원심은 이에 이르지 않은 채 판시와 같은 이유만을 들어 원고의 청구를 기각하고 말았으니, 이러한 원심의 판단에는 석명권 행사를 게을리하고 필요한 심리를 다하지 아니함으로써 판결에 영향을 미친 잘못이 있다."
"이유","그러므로 원심판결을 파기하고, 사건을 다시 심리ㆍ판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
