"판시사항","보수규정이 개정되기 전부터 甲 의료원과 근로관계를 맺고 있었던 乙은 개정된 보수규정으로 기득이익이 침해되는 기존 근로자에 해당하여 개정 전 보수규정이 적용된다고 한 사례"
"판결요지","취업규칙의 작성·변경에 관한 권한은 원칙적으로 사용자에게 있으므로, 사용자는 그 의사에 따라 취업규칙을 작성·변경할 수 있으나, 근로기준법 제94조에 따라 노동조합 또는 근로자 과반수의 의견을 들어야 한다."
"판결요지","이때 ‘근로자의 동의’는 근로자의 집단적 의사결정방법에 의한 동의임을 요하고, 이러한 동의를 얻지 못한 취업규칙의 변경은 효력이 없다."
"판결요지","기득이익의 침해라는 효력배제사유가 없는 변경 후 취업근로자에 대해서까지 변경의 효력을 부인하여 종전 취업규칙이 적용되어야 한다고 볼 수는 없다."
"판결요지","甲 의료원은 소속 근로자의 집단적 의사결정방법에 따른 동의를 얻지 못하였으므로, 개정된 보수규정으로 기득이익이 침해되는 기존의 근로자에 대하여는 개정 전 보수규정이 여전히 적용된다."
"판결요지","개정된 보수규정이 아니라 개정 전 보수규정이 적용된다고 봄이 타당한데도, 이와 달리 본 원심판단에 법리오해의 잘못이 있다고 한 사례."
"이유","가. 취업규칙의 작성·변경에 관한 권한은 원칙적으로 사용자에게 있으므로, 사용자는 그 의사에 따라 취업규칙을 작성·변경할 수 있으나, 근로기준법 제94조에 따라 노동조합 또는 근로자 과반수의 의견을 들어야 한다."
"이유","이때 ‘근로자의 동의’는 근로자의 집단적 의사결정방법에 의한 동의임을 요하고, 이러한 동의를 얻지 못한 취업규칙의 변경은 효력이 없다."
"이유","변경된 취업규칙에 따른 근로조건을 수용하고 근로관계를 갖게 된 근로자에 대한 관계에서는 당연히 변경된 취업규칙이 적용된다."
"이유","기득이익의 침해라는 효력배제사유가 없는 변경 후 취업근로자에 대해서까지 변경의 효력을 부인하여 종전 취업규칙이 적용되어야 한다고 볼 수는 없다."
"이유","원고가 근무를 시작한 2000. 1. 1.경 이미 이 사건 보수규정으로 개정하는 것이 결정되어 제주도지사의 승인만이 남아 있던 상태였다."
"이유","2000. 1. 1. 이후 입사자들에게 개정 전 보수규정이 유지되어야 할 기득권이 있다고 볼 수 없어, 원고에게 적용될 보수규정은 개정이 이루어진 후의 이 사건 보수규정이라고 판단하였다."
"이유","가. 이 사건 보수규정 중 ‘임직원 퇴직금 지급률표’는 1999. 12. 31. 이전 입사자에 대하여는 개정 전 보수규정을, 2000. 1. 1. 이후 입사자에 대하여는 이 사건 보수규정을 적용한다고 명시되어 있다. "
"이유","원고는 2000. 1. 1. 피고에 입사하였는데, 이 사건 보수규정이 원고와 같은 입장의 근로자들에게 불리하게 변경된 것인지 여부는 이 사건 보수규정의 개정 및 시행 시점을 기준으로 판단하여야 한다."
"이유","이 사건 보수규정은 2000. 1. 11. 규정 제98호로 개정되어 부칙에 따라 공포된 2000. 1. 11.부터 시행되었으므로,이 사건 보수규정이 개정·시행된 시점은 그 공포·시행일인 2000. 1. 11.로 봄이 타당하다."
"이유","그 이전에 제주도·행정자치부 또는 피고의 정기이사회 등의 요구·심의·의결·승인 등의 절차가 있었다고 하여 그 개정·시행 시점을 달리 볼 수는 없다."
"이유","그러므로 이 사건 보수규정이 효력을 갖기 위해서는 피고 소속 근로자의 집단적 의사결정방법에 따른 동의를 얻어야 함에도 피고가 이를 얻지 못한 이상, 이 사건 보수규정으로 기득이익이 침해되는 기존의 근로자에 대하여는 개정 전 보수규정이 여전히 적용된다."
"이유","이 사건 보수규정에 따른 근로조건을 수용하고 근로관계를 갖게 된 근로자에 대해서만 이 사건 보수규정이 적용된다."
"이유","그럼에도 원심은 원고에게 이 사건 보수규정이 적용됨을 전제로 판단하였는바, 이러한 원심의 판단에는 취업규칙의 불이익변경에 관한 법리를 오해함으로써 판결에 영향을 미친 잘못이 있다."
"이유","이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
