"판시사항","구 조세감면규제법상 양도소득세 감면 대상인 공공사업 용지 등을 협의취득한 사업시행자에게 토지 양도인을 위하여 감면신청을 해야 할 법률상 의무가 있는지 여부"
"판결요지","같은 조 제4항 및 같은법시행령 제47조 제2항의 규정이 있다 하여 공공사업에 필요한 토지 등을 협의취득한 사업시행자에게 그 토지 등의 양도인을 위한 감면신청 의무가 부과된 것으로 해석할 수는 없다."
"판결요지","국가배상법이 정한 손해배상청구의 요건인 '공무원의 직무'에는 국가나 지방자치단체의 권력적 작용뿐만 아니라 비권력적 작용도 포함되지만, 단순한 사경제의 주체로서 하는 작용은 포함되지 아니한다."
"판결요지","공공용지의취득및손실보상에관한특례법에 의하여 공공용지를 협의취득한 사업시행자가 그 양도인과 사이에 체결한 매매계약은 공공기관이 사경제주체로서 행한 사법상 매매이다."
"이유","그후 1993. 1. 27. 원고가 자신의 명의로 잠실세무서장에게 양도소득세 감면신청을 하자, 잠실세무서장은 처음에는 양도소득세를 전액 감면하는 결정을 하였다가 1994. 7. 16. 사업시행자가 과세표준 신고기한 내에 감면신청을 하지 않았다는 이유로 위 감면결정을 경정하고 양도소득세 금 169,929,180원을 부과 고지하였다."
"이유","이에 원고는 납부기한 내에 위 각 세금을 납부하지 아니하다가 1995. 11. 28. 잠실세무서장에게 양도소득세, 가산금 및 체납처분비로 합계 금 209,012,880원을, 같은 달 30. 송파구청장에게 주민세 및 가산금으로 합계 금 15,370,000원을 각 납부한 사실을 인정한다."
"이유","피고 서울특별시는 서울특별시장이 소속하고 도봉구청장이 위 사업과 관련하여 처리한 위 사무의 귀속주체로서 국가배상법 제2조에 의하여, 피고 서울특별시 도봉구는 국가배상법 제6조 제1항 소정의 비용부담자로서, 각각 공무원인 서울특별시장 및 도봉구청장의 위법행위로 인하여 원고가 입은 손해를 배상할 책임이 있다고 판단하였다."
"이유","구 조세감면규제법 제57조 제1항은, 다음 각 호의 1에 해당하는 토지 등의 양도로 인하여 발생하는 소득에 대하여는 양도소득세 또는 특별부가세의 100분의 50에 해당하는 세액을 감면한다고 규정한다."
"이유","한편 부칙 제19조 제2항은, 법 제57조 제1항 각 호의 1에 해당하는 토지 등을 1992. 12. 31.까지 양도하는 경우에는 제57조 제1항에 불구하고 양도소득세 또는 특별부가세를 면제한다고 규정하고 있다."
"이유","같은 조 제4항 및 같은법시행령 제47조 제2항의 규정이 있다 하여 공공사업에 필요한 토지 등을 협의취득한 사업시행자에게 그 토지 등의 양도인을 위한 감면신청 의무가 부과된 것으로 해석할 수는 없다."
"이유","피고 서울특별시가 이 사건 매매계약의 체결로 말미암아 매도인인 원고를 위하여 양도소득세 감면신청을 할 신의칙상 부수의무를 지고 있다고 볼 수 있음은 별론으로 한다."
"이유","서울특별시장이나 그 대행자인 도봉구청장이 원고를 위하여 양도소득세 감면신청을 할 법률상의 의무를 부담한다고는 볼 수 없다."
"이유","설령 서울특별시장이나 그 대행자인 도봉구청장에게 원고를 위하여 양도소득세 감면신청을 할 법률상의 의무가 인정되고 이러한 의무를 위반하여 원고에게 손해를 가한 행위가 불법행위를 구성하는 것으로 본다 하더라도, 이에 대하여는 국가배상법을 적용하기는 어렵고 일반 민법의 규정을 적용할 수 있을 뿐이라 할 것이다."
"이유","피고 서울특별시는 국가배상법 제2조에 의하여 피고 도봉구는 같은 법 제6조에 의하여 원고에 대한 손해배상책임을 부담한다고 판단한 것은, 구 조세감면규제법상의 감면신청에 관한 법리와 국가배상법상의 손해배상책임에 관한 법리를 오해한 위법을 저지른 것이다."
"이유","그러므로 피고 도봉구의 나머지 상고이유 및 원고의 상고이유에 대한 판단을 생략한 채, 원심판결을 파기하고 사건을 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
