"판시사항","구 집합건물의 소유 및 관리에 관한 법률 제15조 제1항의 결의를 요하는 ‘집합건물 대지의 변경’의 의미 및 판단 기준"
"이유","법 제15조 제1항이 규정한 바에 따라 구분소유자 및 의결권의 각 4분의 3 이상의 다수에 의한 관리단집회의 결의로써 결정하되 그 대지의 개량을 위한 것으로서 과다한 비용이 드는 것이 아닐 때에는 통상의 관리단집회 결의로써 결정하여야 한다."
"이유","그 관리에 관한 사항은 법 제16조 제1항에 따라 법 제15조 제1항 본문의 경우를 제외하고는 통상의 관리단집회 결의로써 결정하여야 한다."
"이유","어떠한 행위가 집합건물 대지의 변경에 해당하는지 여부는 변경이 되는 부분과 그 범위, 변경의 방식이나 태양, 변경 전과 변경 후의 외관이나 용도에 있어서 동일성 여부, 그 밖에 변경에 소요되는 비용 등을 종합적으로 고려하여 판단하여야 한다."
"이유","원심판결 이유와 기록에 의하면, 집합건물인 수원시 팔달구 우만동 소재 OOO딩의 대지들 가운데 위 같은 동 대 1,479㎡ 중 865.63㎡ 부분은 종래 야외 주차장으로 이용되어 왔다."
"이유","위 집합건물 및 그 대지와 부속시설의 관리에 관한 사업의 시행을 목적으로 하여 구분소유자들로 구성된 관리단인 피고는 2001. 4. 3. 보조참가인과 사이에 이 사건 대지상에 지상 2, 3, 4층의 철골조립식 주차장을 보조참가인의 비용으로 축조하여 1층은 종전대로 피고가 사용·관리한다."
"이유","보조참가인은 이 사건 대지상에 약 419,300,000원을 들여 지상 4층 규모의 견고한 철골조립식 공작물을 설치한 다음 2 내지 4층에서 주차장업을 영위하고 있는 사실 등을 알 수 있다."
"이유","이를 위 법리에 비추어 살펴보면, 이 사건 대지상에 이 사건 주차장과 같이 견고한 철골조립식 주차장을 설치하는 것은 집합건물의 대지를 관리하는 행위를 넘어 변경하는 행위에 해당한다."
"이유","그러한 주차장을 설치하여 운영하는 내용의 이 사건 계약은 집합건물 대지의 변경에 관한 것에 해당한다고 보아야 할 것이므로, 그에 관한 사항은 법 제15조 제1항이 정하는 바에 따라 관리단집회의 결의로써 결정하여야 한다."
"이유","그런데 기록상 이 사건 주차장의 설치나 이 사건 계약의 체결에 있어 법 제15조 제1항이 정하는 바에 따른 관리단집회의 결의가 있었다고 볼 아무런 증거가 없다."
"이유","따라서 피고가 집합건물의 대지에 관하여 이 사건 계약을 체결하고 이 사건 주차장을 설치한 행위가 적법하다고 할 수 없다."
"이유","보조참가인이 원시취득하게 되므로 원고들로서는 이 사건 주차장에 대한 처분권한이 없는 피고를 상대로 그 철거를 구할 수 없다고 판단하였는바, 관련 법리에 비추어 이러한 원심의 판단은 옳다."
"이유","원심판결에는 상고이유로 주장하는 바와 같이 판결 결과에 영향을 미친 채증법칙 위반으로 인한 사실오인이나 법리오해 등의 위법이 없다."
"이유","그러므로 상고를 모두 기각하고, 상고비용은 패소자가 부담하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
