"판시사항","보증하는 하자의 내역을 특정하여 하자보수보증계약을 체결할 수 있는지 여부 보증기간이나 보증대상을 특정하여 각 하자보수보증계약을 체결하더라도 하나의 하자가 2개 이상의 각 하자보수보증계약의 보증대상에 중복적으로 해당하는 경우가 발생할 수 있는지 여부"
"이유","구 주택건설촉진법 제38조 제14항은 ‘사업주체는 대통령령이 정하는 바에 의하여 공동주택의 하자를 보수할 책임이 있다’고 규정하고 있다."
"이유","제14항의 규정에 의한 사업주체와 건축주는 공동주택의 내력구조부에 중대한 하자가 발생한 때에는 10년의 범위 내에서 이를 보수한다."
"이유","그로 인한 손해를 배상할 책임이 있다. 이 경우 구조별 하자보수기간과 하자의 범위는 대통령령으로 정한다”고 규정하고 있다."
"이유","구 공동주택관리령 제16조 제1항은 “공동주택 등에 대한 하자보수기간은 그 사용검사일로부터 주요시설인 경우에는 2년 이상으로 한다."
"이유","그 이외의 시설인 경우에는 1년 이상으로 하되, 하자보수대상인 주요시설 및 그 이외의 시설의 구분 및 범위에 따른 기간은 7과 같다”고 규정하고 있다."
"이유","같은 령 제16조 제1항 [별표 7]은 “철근콘크리트공사는 주요시설로서 하자보수책임기간은 3년으로 한다.  위 표에 불구하고 기둥·내력벽의 하자보수기간은 10년, 보·바닥·지붕의 하자보수기간은 5년으로 한다”고 정하고 있는다."
"이유","같은 령 제17조 제1항에서는 “공동주택 등을 건설·공급하고자 하는 자는 사용검사권자가 지정하는 금융기관에 사용검사권자의 명의로 하자보수보증금을 예치하한다."
"이유","같은 조 제4항 제3호에서 위 하자보수보증금은 건설산업기본법에 의하여 건설공제조합이 발행하는 보증서 등으로 예치할 수 있다고 정하고 있다."
"이유","사업주체와 피고 사이에 위 관련 법령에 의한 하자보수보증계약을 체결함에 있어 특별히 보증계약으로 보증하고자 하는 하자의 내용을 정하지 않고 단지 보증기간만을 정하는 경우에는 그 보증계약상의 보증금액에 의하여 보증되는 하자는 그의 보증기간 내에 발생한 하자보수책임기간 내의 모든 하자를 의미한다고 볼 것이다."
"이유","당해 보증계약이 보증기간으로 정한 기간 내에 속하는 단기인 다른 보증계약의 보증기간을 제외한 나머지 기간 중의 하자만을 보증하는 것은 아니라고 할 것이다."
"이유","사업주체와 피고 사이에 위 관련 법령의 규정에 위배되지 않는 범위 내에서 특별히 보증계약으로 보증하고자 하는 하자의 내용을 정하는 것은 가능하다고 할 것이고 이러한 경우에는 당해 보증계약에 의하여 보증되는 하자는 그와 같이 보증 대상으로 특정된 하자만이 그 대상이 된다고 할 것이다."
"이유","이 사건 아파트의 지하주차장 천장 건식균열의 하자는 이 사건 제3보증계약의 보증 대상에 해당함과 동시에 이 사건 제2보증계약의 보증 대상에도 해당한다고 할 것이다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
