"판시사항","甲 주식회사에서 도급제 사원으로서 근무한 乙, 丙이 근로기준법상 근로자에 해당하는지 문제된 사안에서, 乙, 丙이 甲 회사의 근로자가 아니라고 본 원심판단을 수긍한 사례"
"판결요지","근로기준법상 근로자에 해당하는지는 계약 형식이 고용계약인지 도급계약인지 보다 실질적으로 근로자가 사업 또는 사업장에 임금을 목적으로 종속적인 관계에서 사용자에게 근로를 제공하였는지에 따라 판단하여야 한다."
"이유","근로기준법상의 근로자에 해당하는지 여부는 계약의 형식이 고용계약인지 도급계약인지보다 그 실질에 있어 근로자가 사업 또는 사업장에 임금을 목적으로 종속적인 관계에서 사용자에게 근로를 제공하였는지 여부에 따라 판단하여야 한다."
"이유","원심은 그 채용 증거에 의하여 그 판시와 같은 사실을 인정한 다음, 비록 ① 피고 회사가 원고들과 같은 도급제 사원들과의 관계에 있어 작업장과 생산라인을 갖추고 작업도구 및 소모품까지 제공하여 도급제 사원으로 하여금 이를 무상으로 사용하도록 한 점이다."
"이유","도급제 사원의 출근시간이 일반 사원과 같이 오전 8시 전후였고 결근 등 근무시간과 관련하여 피고 회사로부터 업무량 감소에 관한 경고를 받은 점이다."
"이유","주식회사 OOO가 피고 회사의 도급제 사원에 대한 기술평가를 실시하고 피고 회사가 그 이력카드 등을 보관하고 있었던 점이다."
"이유","피고 회사가 OOO로부터 도급을 받게 되면 생산계획을 세워 도급제 사원에게 전체적인 작업 물량을 할당한 점이다."
"이유","원고들이 피고 회사에 근무하는 동안 다른 회사에 노무를 제공하거나 별도로 종업원을 채용하여 업무를 처리한 적이 없는 점 등과 같이 원고들이 피고 회사의 근로자에 해당한다고 볼 만한 사정들이 있기는 하다고 본다."
"이유","위 사정들 중 ①, ②의 사정은 피고 회사가 우수한 업무수행 능력을 갖춘 용접공과 제관공 등 기술자의 노무를 확보하기 위하여 도급계약을 체결하는 과정에서 도급제 사원의 유인을 위해 제공하는 유리한 계약조건으로 볼 수도 있는 점이다."
"이유","도급제 사원의 퇴근시간이 일반 사원과 달리 자유로웠고, 피고 회사 역시 도급제 사원에 대해서는 출·퇴근 카드의 작성 등을 요구하거나 취업규칙 또는 복무규정에 따른 규제를 하지 않은 점이다."
"이유","피고 회사가 OOO에 대한 납품기한에 따른 작업 물량의 독촉이나 도급제 사원이 작업한 제품에 대한 품질검사 이외에 도급제 사원의 업무수행에 관하여 구체적인 지시를 하거나 개별적으로 감독한 적이 없는 점이다."
"이유","피고 회사가 도급제 사원에게 취업규칙·복무규정·인사규정 등을 적용하거나 건강보험·국민연금·고용보험·산업재해보상보험 등에 가입해 주지 않았을 뿐 아니라 근로소득세가 아닌 사업소득세를 원천징수한 점이다."
"이유","도급제 사원의 보수가 근무시간 등이 아닌 실제 작업한 물량에 따라 산정되었고, 일반 사원과 달리 각종 수당이나 상여금, 휴가비 등을 지급받은 적이 없는 점 등을 종합하여 보면, 앞서 본 사정들만으로 원고들을 피고 회사의 근로자라고 보기는 어렵다고 판단하였다."
"이유","위 법리와 기록에 비추어 보면, 원심의 위와 같은 사실인정과 판단은 정당하다고 수긍이 되고, 거기에 상고이유로 주장하는 바와 같은 채증법칙 위반이나 심리미진 또는 근로기준법상의 근로자에 관한 법리오해 등의 위법이 없다."
"이유","그러므로 상고를 모두 기각하고, 상고비용은 패소자들이 부담하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","그와 같은 일반적이고 추상적인 지시·감독은 이 사건 각 계약에 따른 피고 회사의 권리이자 원고들의 의무로 볼 수 있어 이를 두고 사용자의 피용자에 대한 지시·감독이라 할 수 없는 점이다."
