"판시사항","어느 사업장의 취업규칙이나 단체협약 등에서 퇴직금 산정의 기초가 되는 ‘평균임금’이 근로기준법상의 평균임금인지 또는 어떤 급여가 거기에 포함되는지 여부에 관한 판단 방법"
"이유","소정 근로 또는 총 근로의 대상으로 근로자에게 지급되는 금품으로서 그것이 정기적·일률적으로 지급되는 것이면 원칙적으로 모두 통상임금에 속하는 임금이라 할 것이다."
"이유","여기서 ‘일률적’으로 지급되는 것이라 함은 ‘모든 근로자’에게 지급되는 것뿐만 아니라 ‘일정한 조건 또는 기준에 달한 모든 근로자’에게 지급되는 것도 포함된다."
"이유","여기서 말하는 ‘일정한 조건’이란 ‘고정적이고 평균적인 임금’을 산출하려는 통상임금의 개념에 비추어 볼 때 ‘고정적인 조건’이어야 한다."
"이유","피고가 상고이유에서 지적하고 있는 기말수당, 정근수당, 체력단련비, 명절휴가비에 관한 부분은 원고들이 그러한 기말수당 등에 관한 청구를 하지도 않았을 뿐만 아니라 원심이 그에 대하여 판단을 하지도 않은 내용을 지적하고 있는 것이다."
"이유","어느 사업장의 취업규칙이나 단체협약 등에서 퇴직금 산정의 기초가 되는 ‘평균임금’이 근로기준법상의 평균임금인지의 여부나 어떤 급여가 거기에 포함되는지 여부는 위 규정들의 객관적 해석에 의하여 가려지는 것이다."
"이유","그 해석에 있어서는 위 규정들에 근거한 당해 사업장의 지급 관행 및 위 규정들의 개정 경위와 그 내용 등 여러 사정을 종합적으로 살펴 그 뜻을 헤아려 보아야 한다."
"이유","즉, 이 사건 노동조합과 피고 사이에 체결된 각 임금협정에는 통상임금으로 기본급, 특수업무수당 등 4가지 항목만을 정한 규정과는 별도로 퇴직금 규정이 마련되어 있다."
"이유","그 퇴직금 규정 어디에도 평균임금을 제한하는 내용을 찾을 수 없는 사실 등을 인정한 다음, 통상임금 제한에 관한 합의는 통상임금에 관한 것일 뿐 이를 두고 평균임금 제한에 관한 합의라고 보기 어렵다."
"이유","달리 이 사건 노동조합과 피고 사이에 퇴직금의 산정기초가 되는 평균임금 제한에 관한 합의가 있었다고 볼 증거가 없다는 이유로 이를 배척하였다."
"이유","그러나 원심의 이와 같은 판단은 앞서 본 법리와 아래와 같은 사정에 비추어 볼 때 이를 그대로 수긍하기 어렵다."
"이유"," 이 사건 예산편성기준 및 이 사건 단체협약은 기본급과 근로기준법보다 제한된 범위의 통상임금 및 1시간당 또는 1일당 임금액의 액수를 구체적으로 특정한 시간외근무수당, 휴일근무수당, 야간근무수당 등을 포함한 제 임금과 함께 퇴직금에 관하여 규정하고 있다."
"이유","10에 대하여는 앞서 본 바와 같이 계산한 평균임금을 퇴직금 산정의 기초로 삼아 가산율을 적용하여 퇴직금을 지급하였다."
"이유","따라서 이 사건 노동조합과 피고 사이에는 위와 같이 제한된 통상임금을 기초로 퇴직금의 산정기준이 되는 평균임금을 산정하기로 하는 합의가 있었다고 보아야 할 것이다."
"이유","원심으로서는 이러한 점에 대하여 더 나아가 심리한 다음 이를 기초로 위 원고들의 퇴직금 청구에 관한 당부를 판단하였어야 할 것이다."
"이유","이러한 원심판결에는 단체협약 및 임금협정의 해석과 퇴직금 산정에 관한 법리를 오해함으로써 판결에 영향을 미친 위법이 있다고 할 것이다."
"이유","10의 퇴직금 청구부분을 파기하고, 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하며, 피고의 나머지 상고를 기각하기로 하되, 원고 1, 7, 9에 대한 상고비용은 패소자인 피고가 부담하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
