"판시사항","거부처분 이후 동일한 내용의 신청에 대하여 다시 거절의 의사표시를 명백히 하였다면 새로운 처분으로 볼 수 있는지 여부 및 이 경우 행정심판과 행정소송 제기기간의 진행기준"
"판결요지","거부처분은 행정청이 국민의 처분신청에 대하여 거절의 의사표시를 함으로써 성립되고, 그 이후 동일한 내용의 신청에 대하여 다시 거절의 의사표시를 명백히 한 경우에는 새로운 처분이 있은 것으로 보아야 할 것이며, 이 경우 행정심판 및 행정소송의 제기기간은 각 처분을 기준으로 진행된다."
"판결요지","이러한 절차를 거치지 아니하는 한 1개의 토지로서 등기의 목적이 될 수 없는 것이니 토지의 소유자는 자기소유 토지의 일부에 대한 소유권의 양도나 저당권의 설정 등 필요한 처분행위를 할 수 없게 된다."
"판결요지","구 건축법 제39조의2의 규정은 대지평수에 대한 그 위의 건물크기의 비율 등에 관한 제한규정일 뿐 대지 자체의 적법한 원인에 의한 분할과 소유권이전까지 제한하는 취지는 아니다."
"이유","원고는 1970.3.경 시장개설운영을 목적으로 설립된 회사로서 경기 광주군 대 415평을 매수하여 같은 해 7.3. 소유권이전등기를 경료하고 그 지상에 연건평 306평의 중앙시장 구관건물을 축조하여 시장을 개설 운영하여 왔다."
"이유","이 사건 시장부지는 위와 같이 서울특별시 앞으로 소유권이전등기가 경료된 후 경기도 명의를 거쳐 성남시 명의로 소유권이전등기가 경료되었는데 성남시로 변경되었다가 1974.9.7.자로 위 지번이 폐쇄되었다."
"이유","한편 이 사건 시장부지를 비롯한 인접지역 1,003평 2홉은 성남시가 토지구획정리사업을 하면서 모두 그 소유권을 취득하고 1976.8.22. 성남시 대 3,316.4평방미터로 지번, 지적을 부여한 1필지의 토지가 되었다."
"이유","피고는 1991.4.25. 토지분할에 따른 대장정리는 토지분할신청서와 측량성과도가 첨부되어 재출되어야 처리가 가능하나 원고가 요구하는 이 사건 토지의 지상에 건축물이 구축되어 있어 지적측량이 불가하며, 측량신청접수는 대한지적공사 성남시 수정구출장소에서 접수 처리한다."
"이유","피고의 지시나 승낙을 받아 업무를 수행하는 것은 아니라는 내용의 회신을 하였고, 대한지적공사 성남시 수정구출장소도 같은 날 본건 분할측량은 건물 관계로 측량이 불가하다는 회신을 하였다."
"이유","원고가 1991.4.15. 피고에게 성남시 대 3,316.4평방미터 중 이사건 시장부지 415평에 대한 분할을 신청하였으며, 같은 달 28. 피고가 이를 거부한 사실이 인정되고 원고에게 이 사건 시장부지 415평에 대한 분할을 신청할 권리도 있다 할 것이다."
"이유","또한 1필지의 토지 중 특정부분에 관하여 소유권이전등기의 말소를 명한 판결이 확정된 경우에는 토지대장소관청에 판결정본과 확정증명을 첨부하여 특정부분 토지에 대한 대위분할신청을 하여 등기소에 그 분할 된 토지의 대장등본과 판결정본, 판결확정증명등을 첨부하여 특정부분 토지를 분필하는 대위등기신청을 한다."
"이유","그 분필된 토지의 등기용지에 전사된 위 소유권이전등기의 말소등기를 신청할 수 있는 점에 비추어 그 보호의 필요성도 있다 할 것이므로, 원고의 분할신청을 거부한 피고의 위 회신은 행정쟁송의 대상이 되는 거부처분으로 봄이 상당하다고 판단한다."
"이유","이어 위 인정사실과 관계법규정들의 취지를 종합하면, 토지소유자 또는 이를 대위하는 채권자는 1필지의 일부가 소유자가 다르게 되거나 토지소유자가 필요로 하는 때에는 토지분할을 소관청인 피고에게 신청할 수 있다."
"이유","지적측량의 신청을 받은 대한지적공사는 즉시 피고에게 측량대행계획서를 제출하여야 하고, 작성한 측량성과도는 피고의 사전검사와 확인을 거쳐 신청인에게 교부되며, 내무부예규에 의하더라도 법원의 확정판결에 의하여 분할하는 경우의 측량성과는 지적법령이 정하는 바에 따라 사실심사방법에 의하여 결정하여야 한다."
"이유","기록에 의하면 원고는, 피고의 이 사건 1991.4.25.자 토지분할신청 거부처분에 대하여 적법하게 행정심판을 제기한 후 이 사건 소를 제기하였음이 인정되므로, 원심이 행정소송의 제소기간에 관한 법리를 오해하였다거나 그 점에 관한 심리판단을 다하지 아니하였다는 논지는 채용할 바가 못된다."
"이유","피고가 이를 거부하였을 뿐이었음을 전제로 이러한 지적측량 거부행위가 처분이 아니라는 주장은 원심이 인정하지 아니한 사실에 터잡은 것으로서 나아가 살필 필요도 없이 이유 없다."
