"판시사항","민법 제459조 단서에 의해 물상보증인이 채무인수에 동의함으로써 소멸하지 않는 담보는 기존 담보와 동일한 내용을 갖는 것인지 여부"
"판결요지","면책적 채무인수라 함은 채무의 동일성을 유지하면서 이를 종래의 채무자로부터 제3자인 인수인에게 이전하는 것을 목적으로 하는 계약을 말하는 바이다."
"판결요지","민법 제459조 단서는 보증인이나 제3자가 채무인수에 동의한 경우에는 전 채무자의 채무에 대한 보증이나 제3자가 제공한 담보는 채무인수로 인하여 소멸하지 아니하는 것으로 규정하고 있는 바이다."
"판결요지","위 조항에 규정된 채무인수에 대한 동의는 인수인을 위하여 새로운 담보를 설정하도록 하는 의사표시를 의미하는 것이 아니라 기존의 담보를 인수인을 위하여 계속시키는데 대한 의사표시를 의미하는 것이므로, 물상보증인이 채무인수에 동의함으로써 소멸하지 아니하는 담보는 당연히 기존의 담보와 동일한 내용을 갖는 것이다."
"이유","면책적 채무인수라 함은 채무의 동일성을 유지하면서 이를 종래의 채무자로부터 제3자인 인수인에게 이전하는 것을 목적으로 하는 계약을 말하는 바이다."
"이유","채무인수로 종래의 채무가 소멸하였으니 저당권의 부종성으로 인하여 당연히 위 소멸한 채무를 담보하는 저당권도 소멸한다는 법리는 성립하지 아니하는 것이다."
"이유","다만 제3자가 그 소유의 부동산 위에 저당권을 설정하는 등 채무에 대한 담보를 제공한 경우에는 그 제3자는 채무자의 지급능력을 고려하여 담보를 제공한 것이므로 채무인수로 채무자가 변경되어 필연적으로 책임재산에 변화가 생기면 예상하지 못한 불이익을 입게 될 위험성이 있는 바이다."
"이유","따라서 원고의 위 주장을 배척한 원심은 정당하며 거기에 소론과 같은 채무인수에 관한 법리오해 및 판단유탈의 위법이 있다 할 수 없다."
"이유","민법 제459조 단서는 보증인이나 제3자가 채무인수에 동의한 경우에는 전 채무자의 채무에 대한 보증이나 제3자가 제공한 담보는 채무인수로 인하여 소멸하지 아니하는 것으로 규정하고 있는 바이다."
"이유","물상보증인이 채무인수에 동의함으로써 소멸하지 아니하는 담보는 당연히 기존의 담보와 동일한 내용을 갖는 것이라 할 것이다."
"이유","채무인수로 물상보증인이 설정한 저당권의 채무자가 변경되는 경우 부동산등기법 제63조에 의하여 물상보증인의 승낙서를 첨부한 때에 한하여 저당권변경의 부기등기를 하게 되는 바이다."
"이유","그러므로 상고를 기각하고 상고비용은 패소자의 부담으로 하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
