"판시사항","구 주택건설촉진법 제32조의3 제3항에 정한 금지사항의 부기등기가 마쳐진 주택건설대지에 관하여 처분금지의 대상이 되는 처분행위를 원인으로 한 등기 내지 압류 등이 가능한지 여부"
"판결요지","구 주택건설촉진법 제32조의3의 규정 취지는 입주자모집공고승인 후에 주택을 공급받는 자들을 보호하기 위하여 원칙적으로 그 승인 이전에 주택건설대지에 관한 금지사항 부기등기를 마치도록 한다."
"이유","제3항은 ""사업주체는 제1항의 규정에 의한 입주자모집공고승인신청 전에 당해 주택건설대지는 당해 주택을 공급받는 자들의 동의없이는 양도 또는 제한물권을 설정하거나 압류·가압류·가처분 등이 될 수 없는 재산임을 소유권등기에 부기등기 하여야 한다."
"이유","다만, 사업주체가 국가·지방자치단체 및 대한주택공사 등 공공기관이거나 당해 대지가 사업주체의 소유가 아닌 경우 등 대통령령이 정하는 경우에는 그러하지 아니하다.""고 규정하고 있다."
"이유","제4항은 ""제3항의 규정에 의한 부기등기일 후에 당해 대지를 양수 또는 제한물권을 설정받거나 압류·가압류·가처분 등을 한 경우에는 그 효력을 무효로 한다."
"이유","사업주체의 경영부실로 입주예정자들이 당해 대지를 양수받는 경우 등 대통령령이 정하는 경우에는 그러하지 아니하다.""고 규정하고 있는 바이다."
"이유","이러한 규정의 취지는 입주자모집공고승인 후에 주택을 공급받는 자들을 보호하기 위하여 원칙적으로 그 승인 이전에 주택건설대지에 관한 금지사항 부기등기를 마치도록 한다"
"이유","법 제32조의3 제3항 소정의 금지사항 부기등기가 마쳐진 이후에 같은 부동산에 대하여 이 사건 가압류가 이루어진 것이다."
"이유","기록에 의하면 이 사건 가압류는 같은 조 제4항 단서 소정의 대통령령이 정하는 경우에 해당하지 아니함이 명백하므로, 이 사건 가압류는 허용될 수 없다고 할 것이다."
"이유","주택을 공급받는 자들에 해당하지 아니하는 채무자로서는 위 법 조항을 들어 이 사건 가압류에 대한 이의사유로 삼을 수 없다고 판단하였다."
"이유","그러므로 원심판결을 파기하고, 사건을 다시 심리·판단하도록 하기 위하여 원심법원에 환송하기로 관여 대법관의 의견이 일치되어 주문과 같이 판결한다."
