"판시사항","파산자의 보증인이 파산선고 후 보증채무를 일부 변제한 경우, 그 구상권을 자동채권으로 하여 파산자에 대한 채무와 상계할 수 있는지 여부"
"판결요지","파산자의 보증인이 파산선고 후 보증채무를 전부 이행함으로써 구상권을 취득한 경우, 그 구상권은 파산선고 당시 이미 장래의 구상권으로서 파산채권으로 존재하고 있었다고 보아야 하는 점이다."
"판결요지","정지조건부채권 또는 장래의 청구권을 가진 자가 그 채무를 변제하는 경우에는 후일 상계를 하기 위하여 그 채권액의 한도에서 변제액의 임치를 청구할 수 있는 점 등에 비추어, 그 구상권을 자동채권으로 하여 파산채무자에 대한 채무와 상계할 수 있다고 봄이 상당하다."
"판결요지","채권의 일부에 대한 대위변제를 한 구상권자가 자신이 변제한 가액에 비례하여 채권자와 함께 파산채권자로서 권리를 행사할 수 있는 것은 아니다."
"이유","기록에 의하면, 제1심은 원고 주장의 차임 및 관리비 채권 중 일부를 인용하였는데, 이에 대하여 원고는 항소하지 않았다."
"이유","그렇다면 제1심판결의 차임 및 관리비 채권에 관한 원고 패소부분은 항소심의 심판대상에서 제외됨으로써 항소심판결의 선고와 동시에 확정되었으므로, 이 부분에 대한 원고의 상고는 이미 확정된 부분에 대한 것으로 부적법하다."
"이유","원심은, 파산자 주식회사 OOO는 1998. 8. 14. 회사정리절차개시결정을 받았으나, 2002. 1. 11. 회사정리절차가 폐지되고 파산선고를 받았다."
"이유","1998. 8. 14. 회사정리절차개시결정을 받았다가, 2003. 12. 20. 회사정리절차가 종결된 사실, 원고는 피고에게 알루미늄 원자재의 수입을 의뢰하면서 그 선급금으로 2001. 1. 22.부터 10. 30.까지 사이에 합계 541,054,556원을 지급하였으나, 현재까지 알루미늄 원자재를 공급받지 못하였다."
"이유","파산법상 파산채권자로서의 권리를 행사할 수 없다고 하더라도 파산절차 외에서 그 구상금채권을 자동채권으로 한 상계권을 행사할 수는 있다고 봄이 상당하다고 판단하였다."
"이유","정지조건부채권 또는 장래의 청구권을 가진 자가 그 채무를 변제하는 경우에는 후일 상계를 하기 위하여 그 채권액의 한도에서 변제액의 임치를 청구할 수 있는 점이다."
"이유","구 파산법 제19조는 “수인의 채무자가 각각 전부의 채무를 이행하여야 할 경우에 그 채무자의 전원 또는 수인이나 1인이 파산선고를 받은 때에는 채권자는 파산선고시에 가진 채권의 전액에 관하여 각 파산재단에 대하여 파산채권자로서 그 권리를 행사할 수 있다.”고 규정하고 있다."
