"판시사항","회사의 이사 등이 회사의 제3자에 대한 계속적 거래로 인한 채무를 연대보증한 경우, 그 책임범위를 재직 중에 발생한 채무로 제한하기 위한 요건"
"이유","위 1994. 8. 10.자 거래약정 체결시에는 피고가 이미 이사직을 사임한 상태라 더 이상 보증을 설 수 없다고 거절하자 이사 소외 1이 근보증하였다."
"이유","1995. 8. 30.자 거래약정 체결시에는 소외 회사의 다른 이사가 근보증한 사실, 이 사건 어음할인채무는 위 1995. 8. 30.자 회전한도거래약정 기간에 발생한 채무인 사실, 피고는 이사로 등재되어 있었을 때에도 소외 회사에 전혀 근무한 사실이 없었다."
"이유","가사 그렇지 않더라도, 앞서 본 바와 같이 피고는 소외 회사의 이사라는 지위 때문에 부득이 소외 회사의 계속적 거래로 인하여 생기는 채무를 근보증하게 된 것이다."
"이유","그러나, 처분문서는 그 진정성립이 인정되는 이상 달리 그 처분문서의 증명력을 부정할 만한 특별한 사유가 없는 한 그 처분문서의 증명력을 부정하는 것은 허용되지 않는다고 할 것이다."
"이유","보증기간을 정하지 아니하되 보증약정일로부터 3년이 경과한 때에는 보증인은 서면에 의하여 보증약정해지의 의사표시를 할 수 있고 그에 의한 해지의 효력은 의사표시의 원고 은행 도달일로부터 45일이 경과한 때에 발생한다고 하는 내용으로 되어 있다."
"이유","한편, 원고는 1992. 11. 6. 소외 회사와 사이에 거래기간을 1993. 11. 6.까지, 여신한도를 금 3억 원으로 하는 회전한도거래약정 체결 당시 소외 회사의 대표이사인 위 소외 2와 이사인 피고로부터 보증한도를 금 4억 5천만 원으로 하는 근보증서를 제출받았다."
"이유","그 후 소외 회사에 대한 여신한도를 증액할 필요가 있어 1993. 7. 31.경 거래기간을 1994. 7. 31.까지, 여신한도를 금 5억 원으로 증액하는 회전한도거래약정을 체결함에 따라 위 소외 2와 피고로부터 보증한도를 금 6억 5천만 원으로 증액하는 근보증서를 제출받았다."
"이유","보증한도액을 금 6억 5천만 원으로 하는 근보증서를 제출받았고, 1995. 8. 30. 거래기간을 1996. 7. 31.까지, 여신한도를 전년도와 같이 금 5억 원으로 하는 회전한도거래약정을 체결할 때에는 원심이 인정한 바와는 달리 어느 다른 이사로부터도 근보증서를 제출받지 아니한 사실이 인정된다."
"이유","따라서 피고가 이 사건 근보증을 해지하지 아니한 이상 이 사건 근보증서의 문언에 따른 보증책임이 있다."
"이유","그럼에도 원심이 충분한 근거 없이 원고가 소외 회사와 사이에 회전한도거래약정 체결시마다 당시의 소외 회사의 이사의 연대보증을 새로이 받아 왔다고 인정하고 나서 원·피고는 위 1993. 7. 31.자 회전한도거래약정으로 인한 채무만을 대상으로 이 사건 근보증계약을 체결하였다고 할 것이다."
"이유","가사 그렇지 않더라도, 이 사건 근보증서는 위 회전한도거래약정으로 인한 채무 또는 피고가 소외 회사의 이사로 재직하는 동안에 생긴 채무에 한하여 보증한 것이라고 봄이 상당하다고 판단한 것은 채증법칙에 위배하여 사실을 오인한다."
"이유","처분문서의 증명력에 대한 법리를 오해하거나 처분문서의 증명력을 배척하기 위한 특별한 사정에 관한 심리를 다하지 아니함으로써 판결에 영향을 미친 위법이 있다고 할 것이다."
"이유","원심은, 소외 회사의 법인등기부등본의 기재에 의하여 피고가 1990. 4. 18. 소외 회사의 이사로 취임하여 1993. 4. 17. 임기만료되었으나 퇴임등기는 1996. 4. 3. 이루어졌다고 인정한다."
"이유","또 제1심 증인 1의 증언에 의하여 피고가 소외 회사에 전혀 근무한 사실이 없고 그 명의의 주식도 사실상 당시 소외 회사의 대표이사인 위 소외 2의 소유였다고 인정하였다."
"이유","그런데 소외 회사가 1994. 5. 원고 은행에 제출한 신용조사자료인 갑 제7호증의 기재에 의하면, 피고는 당시 소외 회사의 부사장으로서 주식 20%를 보유한 것으로 되어 있으므로 오히려 피고가 퇴임등기가 경료된 1996. 4. 3.까지 실질적으로 부사장으로 근무하였다고 볼 여지가 있다고 할 것이다."
"이유","따라서 그 점에 대하여 나아가 심리하여 보지 않고서는 설사 원심의 판단과 같이 이 사건 근보증이 피고의 이사 재직시의 채무만을 책임지기로 한 것이라고 보더라도 피고는 위 근무 당시의 어음할인으로 인한 채무에 대하여는 보증책임이 있다고 보아야 할 것이다."
