"판시사항","임대주택법 제18조에서 정한 금지사항 부기등기가 말소된 경우, 임차인이 임대사업자를 상대로 말소된 금지사항 부기등기의 회복을 청구할 수 있는지 여부"
"판결요지","임대주택법은 금지사항 부기등기의 말소에 관하여 명문의 규정을 두지 않고 있으나, 제3조에서 임대주택의 건설·공급 및 관리에 관하여 이 법으로 정하지 아니한 사항에는 주택법과 주택임대차보호법을 적용한다고 규정하고 있다."
"판결요지","주택법 제40조 제3항 후단과 제4항 후단의 위임에 따른 주택법 시행령 제45조의 규정 내용 등에 비추어 보면, 임대주택법상 금지사항 부기등기는 말소사유에 따라 임대사업자의 신청에 의하여 말소하거나 등기관이 직권 또는 법원의 촉탁에 의하여 말소하는 것으로 해석된다."
"판결요지","위와 같이 임대주택법 제18조에 의한 금지사항 부기등기나 말소는 임대사업자 단독의 신청이나 등기관의 직권 또는 법원의 촉탁에 의하여 이루어지도록 되어 있으므로 말소된 금지사항 부기등기의 회복과 관련하여 임차인과 임대사업자를 등기 절차상의 등기권리자나 등기의무자라고 보기 어렵다. "
"판결요지","그런데 말소등기회복청구의 소는 어떤 등기의 전부 또는 일부가 부적법하게 말소된 경우에 말소된 등기를 회복하기 위하여 제기하는 소로서 등기권리자가 등기의무자를 상대로 제기하여야 하는 것이므로, 등기권리자가 아닌 임차인이 등기의무자가 아닌 임대사업자를 상대로 말소된 금지사항 부기등기의 회복을 청구하는 것은 부적법하여 허용될 수 없다."
"이유","임대주택법 제18조는 제1항에서 임대사업자는 주택법 제16조 제1항에 따른 사업계획의 승인을 받아 시행하는 주택건설사업으로 건설된 임대주택에 대하여는 분양전환 이전까지 저당권이나 가등기담보 등 담보물권을 설정하는 행위, 전세권이나 등기되는 부동산임차권을 설정하는 행위를 하여서는 안 된다고 규정한다."
"이유","제2항에서 임대사업자는 소유권보존등기 신청과 동시에 제1항에 따른 임대주택에 대하여는 분양전환 이전까지 제한물권의 설정이나 압류·가압류·가처분 등을 할 수 없는 재산임을 부기등기 신청하여야 한다고 규정한다."
"이유","제3항에서 이미 소유권보존등기를 마친 후 임대 중인 임대주택의 임대사업자도 제2항과 동일한 내용의 등기를 신청하여야 한다고 규정한다."
"이유","제4항에서 부기등기일 후에 해당 임대주택에 제한물권을 설정하거나 압류·가압류·가처분 등을 하면 그 효력이 없다고 규정하고 있다."
"이유","또한 임대주택법은 금지사항 부기등기의 말소에 관하여 명문의 규정을 두지 않고 있으나, 제3조에서 임대주택의 건설·공급 및 관리에 관하여 이 법으로 정하지 아니한 사항에는 주택법과 주택임대차보호법을 적용한다고 규정하고 있다."
"이유","주택법 제40조 제3항 후단과 제4항 후단의 위임에 따른 주택법 시행령 제45조의 규정 내용 등에 비추어 보면, 임대주택법상 금지사항 부기등기는 말소사유에 따라 임대사업자의 신청에 의하여 말소하거나 등기관이 직권 또는 법원의 촉탁에 의하여 말소하는 것으로 해석된다."
"이유","위와 같이 임대주택법 제18조에 의한 금지사항 부기등기나 그 말소는 임대사업자 단독의 신청이나 등기관의 직권 또는 법원의 촉탁에 의하여 이루어지도록 되어 있으므로 말소된 금지사항 부기등기의 회복과 관련하여 임차인과 임대사업자를 등기 절차상의 등기권리자나 등기의무자라고 보기 어렵다. "
"이유","그런데 말소등기회복청구의 소는 어떤 등기의 전부 또는 일부가 부적법하게 말소된 경우에 그 말소된 등기를 회복하기 위하여 제기하는 소로서 등기권리자가 등기의무자를 상대로 제기하여야 하는 것이다."
"이유","위와 같이 등기권리자가 아닌 임차인이 등기의무자가 아닌 임대사업자를 상대로 말소된 금지사항 부기등기의 회복을 청구하는 것은 부적법하여 허용될 수 없다."
"이유","원심은 그 채택 증거들을 종합하여 판시와 같은 사실을 인정한 다음, 금지사항 부기등기의 말소회복절차에서는 등기의무자의 관념을 생각할 수 없어 말소등기의 회복을 소구하는 것은 부적법하므로 원고들의 피고인수참가인들에 대한 이 사건 소는 부적법하다고 판단하였다."
"이유","앞서 본 법리에 비추어 살펴보면, 원심의 위와 같은 판단은 정당하고, 거기에 상고이유 주장과 같이 금지사항 부기등기에 관한 법리 등을 오해한 위법이 없다."
"이유","원고들이 상고이유로 들고 있는 대법원 2010. 5. 13. 선고 2009두19168 판결은 임차인대표회의에게 행정청의 분양전환승인처분에 대한 취소소송을 제기할 원고적격을 인정한 것으로서 이 사건과 사안이 다르므로 이 사건에 원용하기에 적절하지 않다."
"이유","그러므로 상고를 모두 기각하고, 상고비용은 패소자들이 부담하도록 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
