"판시사항","소송당사자인 재건축주택조합 대표자의 대표권이 흠결된 경우 법원이 취할 조치 및 그 대표권의 보정이 항소심에서도 가능한지 여부"
"판결요지","민사소송법 제64조의 규정에 따라 법인의 대표자에게도 준용되는 같은 법 제59조 전단 및 제60조는 소송능력·법정대리권 또는 소송행위에 필요한 권한의 수여에 흠이 있는 경우에는 법원은 기간을 정하여 이를 보정하도록 명하여야 한다."
"판결요지","소송능력·법정대리권 또는 소송행위에 필요한 권한의 수여에 흠이 있는 사람이 소송행위를 한 뒤에 보정된 당사자나 법정대리인이 이를 추인한 경우에는 그 소송행위는 이를 한 때에 소급하여 효력이 생긴다고 규정하고 있는 바이다."
"판결요지"," 법원은 이러한 민사소송법의 규정에 따라 소송당사자인 재건축주택조합 대표자의 대표권이 흠결된 경우에는 그 흠결을 보정할 수 없음이 명백한 때가 아닌 한 기간을 정하여 보정을 명하여야 할 의무가 있다고 할 것이고, 이와 같은 대표권의 보정은 항소심에서도 가능하다."
"이유","원심판결 이유에 의하면, 원심은 그 채용 증거를 종합하여, 원고 조합은 주택건설촉진법 제44조에 따라 서울 중랑구 면목동 2필지 합계 2,155.5㎡를 사업시행구역으로 하여 2000. 5. 25. 서울 중랑구청장으로부터 설립인가를 받은 재건축주택조합이다."
"이유","소외 1이 2000. 2. 13.자 조합원 총회에서 조합장으로 적법하게 선출되었다는 원고 조합의 주장에 대하여, 이에 부합하는 갑 제1호증의 1, 갑 제23호증의 각 기재는 이를 믿을 수 없다."
"이유","소외 1이 원고 조합의 조합원 총회에서 조합장으로 선출된 적이 없어 원고 조합을 대표할 권한이 없으므로, 이 사건 소는 대표권 없는 자에 의하여 제기된 소로서 부적법하다고 판단하였다."
"이유","그리고 민사소송법 제64조의 규정에 따라 법인의 대표자에게도 준용되는 같은 법 제59조 전단 및 제60조는 소송능력·법정대리권 또는 소송행위에 필요한 권한의 수여에 흠이 있는 경우에는 법원은 기간을 정하여 이를 보정하도록 명하여야 한다."
"이유","소송능력·법정대리권 또는 소송행위에 필요한 권한의 수여에 흠이 있는 사람이 소송행위를 한 뒤에 보정된 당사자나 법정대리인이 이를 추인한 경우에는 그 소송행위는 이를 한 때에 소급하여 효력이 생긴다고 규정하고 있는 바이다."
"이유","법원은 이러한 민사소송법의 규정에 따라 대표권이 흠결된 경우에는 그 흠결을 보정할 수 없음이 명백한 때가 아닌 한 기간을 정하여 보정을 명하여야 할 의무가 있다고 할 것이다."
"이유","이러한 조치를 전혀 취하지 아니한 채 원고의 이 사건 소를 바로 각하해 버린 원심판결에는 대표권 흠결의 경우에 있어서 보정명령에 관한 민사소송법의 규정을 위반하여 석명의무를 게을리하고 필요한 심리를 다하지 아니한 위법이 있다고 할 것이므로, 이 점을 지적하는 상고이유의 주장은 이유 있다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원으로 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
