"판시사항","상대방이 실행행위자의 행위가 배임행위에 해당할 수 있음을 알았거나 알 수 있었다는 사정만으로 실행행위자와 체결한 계약을 반사회적 법률행위로 보아 무효라고 할 수 있는지 여부"
"이유","동시이행 항변권의 효과에 관한 법리오해, 판단누락 주장에 관하여 동시이행의 항변권은 당사자가 이를 원용하여야 그 인정 여부에 대하여 심리할 수 있다."
"이유","기록에 의하면 피고는 원고의 부당이득반환청구에 대하여 동시이행의 항변권을 행사한 사실이 없음을 알 수 있으므로, 피고의 이 부분 상고이유 주장은 이유 없다."
"이유","피고는 OOO교회가 2004. 6. 7. 피고와 사이에 피고 소유인 용인시 임야 20,557㎡를 매수하는 매매계약을 체결한 것과 관련하여 피고가 종중총회를 개최한 사실이 없음에도, 원심이 채증법칙을 위반하여 위와 같은 종중총회가 개최된 것으로 사실을 오인하는 등 잘못을 저질렀다는 취지로 주장한다."
"이유","그러나 원심판결에 의하면 원심은 피고의 적법한 종중총회 결의가 없었다고 판단하였을 뿐 피고가 이 사건 매매계약과 관련하여 종중총회를 개최하였다고 사실인정을 한 적이 없으므로, 이와 다른 전제에서 주장하는 피고의 이 부분 상고이유 주장은 원심판결에 대한 적법한 상고이유 주장에 해당하지 아니한다."
"이유","계약 당사자 등에 관한 법리오해, 채증법칙 위반 등 주장에 관하여 원심은 그 판시와 같은 사정을 들어, 소외 1은 피고의 대표자로서 이 사건 매매계약을 체결하였다고 판단하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당하고, 거기에 피고의 상고이유 주장과 같은 계약 당사자 등에 관한 법리오해, 채증법칙 위반 등의 잘못이 없다."
"이유","원심은 그 판시와 같은 사정을 들어, OOO교회가 소외 1, 소외 2의 배임행위를 유인·교사하거나 배임행위의 전 과정에 관여하는 등 배임행위에 적극 가담하였다고 보기는 어렵다고 판단하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당하고, 거기에 피고의 상고이유 주장과 같은 불법원인급여의 성립요건에 관한 법리오해, 채증법칙 위반 등의 잘못이 없다."
"이유","원심은 그 판시와 같은 사정을 들어, OOO교회가 이 사건 매매계약에 따른 매매대금 중 피고 명의 계좌로 송금한 1,243,600,000원은 피고에게 실질적인 이득이 귀속되었다고 볼 수 있음을 이유로 피고는 위 돈에 대한 부당이득반환의무를 부담한다고 판단하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당하고, 거기에 피고의 상고이유 주장과 같은 채증법칙 위반 등의 잘못이 없다."
"이유","부당이득제도는 이득자의 재산상 이득이 법률상 원인을 갖지 못한 경우에 공평·정의의 이념에 근거하여 이득자에게 그 반환의무를 부담시키는 것인데, 이득자에게 실질적으로 이득이 귀속된 바 없다면 그 반환의무를 부담시킬 수 없다."
"이유","원심은 그 판시와 같은 사정을 들어, OOO교회가 이 사건 매매계약에 따른 매매대금 중 소외 1과 소외 2에게 지급한 553,530,000원은 피고에게 실질적인 이득이 귀속되었다고 보기 어려움을 이유로 피고는 위 돈에 대한 부당이득반환의무를 부담하지 아니한다고 판단하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당하고, 거기에 원고의 상고이유 주장과 같은 실질적 이익 귀속, 대표자의 변제 수령행위 효력에 관한 법리오해, 대법원 판례 위반, 채증법칙 위반 등의 잘못이 없다."
"이유","원심은 그 판시와 같은 사정을 들어, 피고가 이 사건 매매대금 및 손해배상금 반환채무에 대한 지체책임을 지지 않는다고 판단하여 원고의 지연손해금 청구를 배척하였다."
"이유","원심판결 이유를 관련 법리와 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당하고, 거기에 원고의 상고이유 주장과 같은 동시이행 항변권의 행사 범위에 관한 법리오해, 이유모순, 판단누락 등의 잘못이 없다."
"이유","한편 토지를 사용함으로써 얻는 이득은 그 토지로 인한 과실과 마찬가지이므로, 선의의 점유자는 비록 법률상 원인 없이 타인의 토지를 점유·사용하고 이로 말미암아 그에게 손해를 입혔다고 하더라도 그 점유·사용으로 인한 이득을 반환할 의무는 없다."
"이유","OOO교회는 2004. 6. 7. 피고를 대표한 소외 1과 이 사건 매매계약을 체결하고 2005. 3. 16. 이 사건 임야에 관하여 OOO교회와 OOO교회의 대표자 소외 3 명의로 각 소유권이전등기를 마쳤다."
"이유","OOO교회는 2005. 3. 16. 이 사건 임야를 담보로 대출을 받아 피고 등에게 매매대금 잔금과 손해배상금을 지급하였고, 이 사건 임야 중 일부 토지 지상에 교회 건물을 건축하여 그 일대 토지를 교회 건물 부지, 주차장 겸 마당, 진입로로 점유·사용하고 있다."
"이유","위 소송 제1심에서 피고의 청구를 기각하는 판결이 선고되었으나, 항소심에서 피고의 청구를 인용하는  위 항소심판결은 대법원의 상고기각 판결로 확정되었다."
"이유","원심은 ‘비채변제’에 해당한다는 피고의 항변을 배척하면서 제1심판결 이유를 인용하여 “OOO교회가 피고에게 매매대금 및 손해배상금을 지급할 당시에 이 사건 매매계약이 종중총회의 적법한 결의 없이 체결된 것으로서 무효임을 알았다고 인정할 증거가 부족하다.”라고 판단하였다."
"이유","위 인정 사실을 앞서 본 법리에 비추어 보면, 원심은 피고의 상계항변에 관하여 판단하면서 OOO교회가 선의의 점유자인지 악의의 점유자인지, 또는 언제부터 악의의 점유자가 되었는지를 밝힌 다음 그에 따라 책임의 범위를 정하였어야 할 것이다."
"이유","그러므로 원심판결 중 원고 패소 부분을 파기하고, 이 부분 사건을 다시 심리·판단하도록 원심법원에 환송하며, 피고의 상고를 기각하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
