"판시사항","공동주택의 공용부분인 공동대피소로 건축된 부분을 주거용 방실로 개조하여 주거용으로 사용케 한 경우 구분소유의 목적이 되는지  여부"
"판결요지","공유자는 그가 가지는 전유부분과 분리하여 공용부분에 대한 지분을 처분할 수 없는 것이므로 건물 일부인 위 공용부분을 주거용 방실로 개조하여 이를 매도하여 주거용으로 사용케 하였다 하더라도 그 부분이 따로 구분소유의 목적이 되는 것은 아니다."
"이유","위 소외 8은 자신의 비용으로 1985.1.경 계단식 공동주택 12세대와 그밖에 이 사건 계쟁건물부분을 완공한 사실, 계쟁건물부분은 원래 위 공동주택의 공동 대피소로 예정된 곳이었으나 위 소외 8은 그 부분을 2세대가 거주할 수 있는 방실로 건축하였다."
"이유","공동주택의 건축주인 위 소외 1 등도 이를 양해하고 그 후 1985.7.17. 위 공동주택을 분양하면서 계쟁건물부분 2세대분을 위 소외 8 몫으로 분양한 사실이다."
"이유","1983.9.20. 체결한 위 소외 8과의 공사도급계약내용도 주거용으로는 위 12세대만을 건축하는 것으로 되어 있고 이를 전제로 공사비를 완성된 5세대의 주택으로 지급하는 방법이 약정된 바 있었다."
"이유","위 공동주택의 지하대피소 구비 여부를 확인하기 위하여 1989.7.19.경 현장을 답사하였다는 구청공무원인 제1심증인 소외 9도 당시 계쟁건물부분이 공부상 표시된 바와 같은 공동대피소의 구조를 갖추고 있음을 확인하였다고 증언하고 있음을 알 수 있는 바이다."
"이유","이와 같은 여러 정황에 비추어 볼 때 이 사건 계쟁건물부분은 적어도 그 준공 당시에는 일단 위 공동주택 12세대를 위한 공동대피소의 구조를 갖추고 있었을 것으로 봄이 상당하다."
"이유","공유자는 그가 가지는 전유부분과 분리하여 공용부분에 대한 지분을 처분할 수 없는 것이므로 위 OOO이 공사비로 받을 수 있는 위 5세대의 주택도 아니어서 그 처분권도 없다."
"이유","또 처분할 수도 없는 이 사건 계쟁건물부분인 위 공용부분을 주거용 방실로 개조하여 피고들에게 매도하여 주거용으로 사용케 하였다 하더라도 계쟁건물부분이 따로 구분소유의 목적이 되는 것은 아니라 할 것이다."
"이유","또 위 공동주택의 대지에 관한 사용권도 모두 위 12세대 주택의 소유자가 분유하고 있지 계쟁건물부분의 구분소유를 위한 대지권은 남아있지 아니함으로, 계쟁부분만의 소유를 목적으로 한 권리의 득실변동의 등기는 현실적으로도 불가능한 상태이다."
"이유","뿐만 아니라 위 공동주택의 등기부등본인 갑 제1 내지 12호증을 보더라도, 계쟁건물부분은 등기부상 위 12세대 주택의 공용부분인 지하층으로만 표시되어 있지 이에 대한 독립한 소유권 기타 권리가 등기부상에 표상되어 있지 않다."
