"판시사항","소유권이전등기의 추정력이 전 소유자에 대하여도 미치는지 여부 및 등기명의자가 등기 원인 행위의 태양이나 과정을 다소 다르게 주장한다고 하여 그 추정력이 깨어지는지 여부"
"판결요지","부동산에 관하여 소유권이전등기가 마쳐져 있는 경우 그 등기명의자는 제 3자에 대하여서뿐만 아니라, 그 전 소유자에 대하여서도 적법한 등기원인에 의하여 소유권을 취득한 것으로 추정 된다."
"판결요지","이러한 경우에도 이를 다투는 측에서 등기명의자의 소유권이전등기가 전 등기명의인의 의사에 반하여 이루어진 것으로서 무효라는 주장·입증을 하여야 한다."
"이유","원심 판결 이유에 의하면, 원심은 그 판결에서 채용하고 있는 증거들을 종합하여 다음과 같은 사실을 인정하고 있다."
"이유","이 사건 토지 중 원심 판결 첨부 별지 목록 3, 4, 7, 8항 기재 각 토지는 경남 창녕읍 답 2,390㎡와 같은 동 993의 4 답 671㎡가 분할·합병절차를 거쳐 생긴 토지 중의 일부이다."
"이유","원고는 ○○○의 대리인인 소외 △△△으로부터 이 사건 분할 전 토지를 단독으로 매수하여 매도인 측과 소외 1 측의 양해하에 소외 1에게 그 등기명의를 신탁하여 그에 관하여 위와 같은 소외 1 명의의 소유권이전등기가 경료되게 되었다."
"이유","원고는 소외 2가 1980년 4월경 버스 회사를 설립하자 그에게 이 사건 분할 전 토지 중 일부를 차고지로 사용하도록 허용하는 한편, 일정한 범위 내에서 이를 회사 운영 자금의 융통을 위한 담보로 제공하는 것도 허용 하였다."
"이유","이에 따라 소외 2는 1980. 4. 25.경부터 이 사건 분할 전 토지 중 일부를 차고지로 쓰는 한편, 1982. 8. 5. 이 사건 분할 전 토지를 담보로 자금을 융통하기도 하였다."
"이유","그러던 중 소외 2가 1984. 2. 14.경 부도를 내고 구속되자 피고는 같은 해 5월 11일자로 이 사건 분할 전 토지에 대하여 피고 명의의 소유권이전청구권 가등기를 경료하는 한편, 소외 2의 채무 일부를 대위 변제 하였다."
"이유","같은 해 8월 6일경에는 소외 2의 버스 회사에 대한 권리 의무를 피고가 승계하기로 하고 같은 달 28일 그 대표이사가 되었다."
"이유","그 후 1985. 10. 18.과 같은 달 24일 이 사건 분할 전 토지에 관한 위 가등기가 말소되고, 같은 해 10월 24일자로 채권최고액 금 9,000만 원, 채무자 피고, 근저당권자 주식회사 OOO은행으로 된 근저당권설정등기가 경료되었다가 1987. 7. 29. 그 등기가 말소 된다."
"이유","같은 날 채권 최고액 금 1억 400만 원, 채무자 □□□, 근저당권자 같은 은행으로 된 근저당권설정등기가 다시 경료되었으며, 이 등기는 1988. 5. 9. 말소되었다."
"이유","소외 1은 피고가 금융기관으로부터 버스회사의 운영자금을 융통하기 위한 담보 설정에 사용한다고 하여 그런 줄로만 알고 인감증명서를 발급받는 절차에 협력하였을 뿐인데, 피고가 그 이후의 나머지 절차를 자기 마음대로 일방적으로 처리하여 이 사건 토지에 관하여 위와 같은 피고 명의의 소유권이전등기가 경료되게 되었다."
"이유","이 사건 분할 전 토지에 대한 등기 필증은 원고가 줄곧 소지하고 있었고, 그래서 이 사건 이전등기시에는 보증인 2명의 보증으로 등기 필증에 갈음하였다."
"이유","원심은 위 인정 사실을 기초로, 위 가등기 말소 사실, 등기필증의 소지관계, 인감증명서의 발급 경위 등과 그 밖에 변론에 나타난 사정 즉, 명의신탁자가 누구인지에 관한 피고 주장의 일관성 결여, 피고측의 매수·양수과정에 관한 주장을 인정할 증거가 없는 점이다."
"이유","소외 2나 피고가 피고 주장의 명의 신탁자에게 그 대금을 청산하였다는 직접적인 증거 자료가 전혀 없는 점이다."
"이유","피고가 소외 1을 속여 원고와 소외 1 몰래, 그들 의사에 반하여 이 사건 이전등기를 경료 하였다고 추단함이 상당하므로 이 사건 이전등기는 원인 관계를 결한 무효의 등기라고 판단하여 소외 1을 대위하여 이 사건 이전등기의 말소를 구하는 원고의 청구를 인용하고 있다."
"이유","그러나 부동산에 관하여 소유권이전 등기가 마쳐져 있는 경우 그 등기 명의자는 제 3자에 대하여서 뿐만 아니라, 그 전 소유자에 대하여서도 적법 한 등기 원인에 의하여 소유권을 취득한 것으로 추정 된다."
