"판시사항","합병전 토지에 관한 소유권이전등기가 원인무효임을 이유로 합병된 토지중 그 위치를 특정하여 그 부분에 관한 소유권이전등기의 말소를 구하는 경우의 피고 적격"
"이유","OOO이, 농지분배를 받아 상환완료한 후 그 앞으로 소유권이전등기를 마쳤다가 그중 같은 목록 3, 4, 5기재 토지는 부산 부산진구 감만동, 토지와 합병한 후, 피고 주식회사 OOO파이프 앞으로 소유권이전등기를 넘겨주었다."
"이유","같은 목록 6, 7기재 토지는, 소외 주식회사 OOO방송을 거쳐, 피고 주식회사 OOO파이프 앞으로 소유권이전등기를 넘겨주었으며, 그 후 위 토지들은 모두 같은 구 감만동 , 토지에 합병되어 위 토지들에 관한 등기부는 폐쇄되었다."
"이유","위 토지들이 위 토지에 합병되기 전의 소유권이전등기가 원인무효라고 볼 증거가 없다는 이유로 원고의 청구를 배척하였음이 분명하다."
"이유","다음, 원고의 원심판결 별지목록의 1, 2기재 토지에 관한 상고 및 피고 주식회사 OOO파이프에 대한 같은 목록의 3내지 7기재 토지에 관한 상고에 관하여 본다."
"이유","농지개혁법시행령 제10조 소정의 재무부장관의 인계절차없이 이루어진 것으로 당연무효라는 취지로 주장하자, 같은 목록 5기재 토지에 관하여는 판단을 하지 아니한다."
"이유","같은 목록 6, 7기재 토지에 관하여는, 일건 기록상 위 토지가 국유행정 재산이라고 볼 증거가 없다고 하여, 원고의 청구를 배척하였다."
"이유","이에 대한 원고의 상고이유 전단부분의 요지는, 모두 원심의 전권사항인 증거취사와 사실인정을 들어 원심판결을 비난하는 취지로 귀착되어 적법한 상고이유가 될 수 없다."
"이유","위 같은 목록 1내지 4기재 토지에 관하여는 원심에서 그러한 주장을 한 사실이 없고 이것이 직권 조사사항도 아니므로 이 점에 관한 상고이유는 당심에서 한 새로운 주장으로서 적법한 상고이유가 될 수 없다."
"이유","농지개혁법시행령 제10조에 의하여 재무부장관이 공공용 또는 공용으로 필요하지 아니하다고 하여 농림부장관에게 인계되었다는 점은, 농지분배를 받았다고 주장하는 피고측에 주장입증책임이 있다고 할 것인 바이다."
"이유","원심판결이 막연히 위에서 본 바와 같이 같은 목록의 5기재 토지에 관하여는 아무런 판단도 하지 아니한다."
"이유","6, 7기재 토지에 관하여는 증거가 없다고 판단하였음은, 판단을 유탈하고 입증책임의 법리를 오해하여 판결에 영향을 미친 위법을 저질렀다는 비난을 면할 수 없다고 할 것이므로, 나머지 상고이유에 관하여 볼 필요도 없다."
"이유","인의 소유권이전등기를 바탕으로 하여 이루어진 이상, 피고 주식회사OOO파이프 명의의 소유권이전등기역시 원인무효라고 할 것이므로 같은 피고가 위 소유권이전등기를 마칠 때에도 위 토지가 귀속재산인 사실에는 아무런 변함이 없다."
"이유","같은 피고가 위 토지가 귀속재산인 사실을 모르고 그 명의로 소유권이전등기를 하였다고 하여서 자주점유를 시작한 것으로 볼 수도 없으니 이점을 비난하는 같은 피고의 상고이유는 받아들일 만한 것이 되지 못한다고 할 것이다."
"이유","OOO, OOO, OOO에 대한 원심판결 별지 (2)목록의 3내지 7기재 토지에 관한 소는 부적법한 소이므로 원심판결중 이에 관한 부분을 파기한다."
"이유","제 1 심 판결중 같은 부분을 취소하여, 이 부분에 관한 원고의 소를 각하할 것이며, 피고 주식회사 부산파이프에 대한 원고의 상고중, 원심판결 별지 (2)목록의 5, 6, 7기재 토지에 관한 부분은 이유있으므로 원심판결중 이 부분을 파기환송하기로 한다."
