"판시사항","취득시효기간 만료 당시의 점유자로부터 점유를 승계한 현 점유자가 전 점유자의 취득시효 완성의 효과를 주장하여 직접 자기에게 소유권이전등기를 청구할 권원이 있는지 여부"
"판결요지","점유취득시효기간이 만료된 이후 부동산에 대한 점유를 상실한 사람은 그 상실원인이 무엇이든지 간에 등기부상 소유자를 상대로 시효취득을 주장하여 소유권이전등기를 청구할 수 없다."
"이유","위 교회가 점유를 잃게 된 원인이 이를 원고에게 매도하였기 때문이고 원고에게 소유권이전등기의무를 지고 있다고 하여도 마찬가지라 할 것이므로 위 교회가 취득시효완성을 원인으로 한 소유권이전등기청구를 여전히 행사할 수 있음을 전제로 한 원고의 청구는 이유 없다고 하여 이를 기각하였다."
"이유","이와 견해를 달리하여 점유자가 그 점유 당시 취득시효가 완성되었다고 하더라도 이를 현 점유자에게 인도하여 점유를 상실한 이상 등기부상 소유자에 대하여 스스로 취득시효완성을 주장하여 소유권이전등기를 청구할 수 없고, 이는 직전 점유자가 점유를 잃게 된 원인이 이를 현 점유자에게 매도하였기 때문이다."
"이유","직전 점유자가 현 점유자에게 소유권이전등기의무를 지고 있다고 하여도 마찬가지라는 취지의 견해를 표명한 바 있는 당원 1991.12.10. 선고 91다32428 판결은, 이를 폐기하기로 한다."
"이유","그러므로 원심판결을 파기하고 사건을 원심법원에 환송하기로 하여, 대법관 OOO, 대법관 OOO, 대법관 OOO을 제외한 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
"이유","직접 자기에게 취득시효 완성을 원인으로 한 소유권이전등기를 청구할 권원이 없다고 보면서, 이러한 견해에 어긋나는 당원 1991.12.10. 선고 91다32428 판결은 폐기되어야 한다고 하고 있다."
"이유","그러나 다수의견의 이러한 견해는 취득시효 완성으로 인한 소유권이전등기청구권 및 점유승계에 관한 법리를 오해한 데에서 비롯된 것으로 볼 수밖에 없어 찬성할 수 없으므로, 다음과 같은 반대의견을 표시하는 것이다."
"이유","첫째로, 부동산을 현실적으로 점유하고 있는 자에 한하여 점유취득시효를 주장할 수 있다고 해석하는 것이 취득시효제도의 존재이유에 부합하기 때문이다."
"이유","원래 부동산에 대한 취득시효제도는 부동산을 점유 즉 사실상 지배하는 상태가 오랫동안 계속된 경우 이러한 권리자로서의 외형을 지닌 사실적 지배상태를 존중하여, 그것이 실제의 권리관계를 반영하고 있는지를 묻지 아니한다."
"이유","과거에 부동산을 장기간 점유하였던 자라도 점유를 상실하여 권리자의 외형을 갖추지 못하고 있는 자는 시효취득 주장을 할 수 없다고 하는 것이 취득시효제도의 본래의 취지에 비추어 당연한 것이라고 생각된다."
"이유","둘째로, 민법 제245조 제1항은‘20년 간 소유의 의사로 평온·공연하게 부동산을“점유하는 자”는 등기함으로써 소유권을 취득한다’고 규정하고 있는바, 그 문리상 현재부동산을 점유하고 있는 자만이 점유취득시효 주장을 할 수 있는 것으로 규정하고 있는 것임이 분명하다고 할 것이다."
"이유","현행 민법하에서는 소유의 의사로 평온·공연하게 20년간 계속된 장기점유권 자체의 권능으로서 현재의 점유자만이 소유자에 대하여 취득시효 완성으로 인한 소유권이전등기청구를 할 수 있고, 따라서 점유를 잃으면 그 등기청구권도 없게 되는 것이라고 함이 민법 제245조 제1항에 충실한 해석이라고 할 것이다."
"이유","다수의견과 같이 취득시효 완성으로 인한 소유권이전등기청구권을 점유와 분리하여 행사할 수 있는 것이라고 하면, 취득시효 완성 당시의 점유자는 타인에게 부동산을 양도하여 점유를 이전한 후에도 점유자를 제쳐 놓고 소유자와 야합하여 시효이익을 포기할 수도 있다."
"이유","또 점유자 이외의 제3자에게 부동산을 이중으로 양도하여 그 사람이 등기를 마쳐 버리면 점유자는 소유권을 취득할 수 없게 되어 부동산에 대한 현실적 지배를 보호하려는 취득시효제도의 취지에 반하는 결과가 된다."
"이유","또한, 다수의견과 같이 취득시효만료 당시의 점유자로부터 점유를 승계한 현 점유자는 전 점유자의 소유자에 대한 소유권이전등기청구권을 대위행사할 수 있을 뿐이다."
"이유","직접 자기에게 시효취득을 원인으로 한 소유권이전등기를 청구할 권원이 없다고 한다면, 이는 전 점유자의 점유를 승계한 현 점유자의 민법 제199조에 터잡은 점유승계의 주장과 효과를 아무런 근거없이 제한하는 것이 될 것이다."
"이유","그리고 다수의견은 취득시효 완성으로 인한 등기청구권의 법적성질을 물권적인 것으로 파악하는지 채권적인 것으로 파악하는지 밝히고 있지 않지만, 만일 채권적인 것으로 보는 것이라면, 그 등기청구권은 점유를 이전한 후 10년을 경과함으로써 소멸시효가 완성되고 이를 소유자 측에서 주장하면 현 점유자로서는 속수무책이 되고 말 것이다."
"이유","넷째로, 취득시효관련소송의 절차적인 측면에 비추어 보아도 위의 견해가 다수의견의 견해에 비하여 보다 합리성이 있다고 할 것이다."
