"판시사항","양도금지 특약이 붙은 채권이 양도된 경우에 채무자가 민법 제487조 후단의 채권자 불확지를 원인으로 하여 변제공탁을 할 수 있는지 여부"
"판결요지","민법 제487조 후단의 '변제자가 과실 없이 채권자를 알 수 없는 경우'라 함은 객관적으로 채권자 또는 변제수령권자가 존재하고 있으나 채무자가 선량한 관리자의 주의를 다하여도 채권자가 누구인지를 알 수 없는 경우를 말한다."
"판결요지","채권양도금지특약에 반하여 채권양도가 이루어진 경우, 그 양수인이 양도금지특약이 있음을 알았거나 중대한 과실로 알지 못하였던 경우에는 채권양도는 효력이 없게 된다."
"판결요지","반대로 양수인이 중대한 과실 없이 양도금지특약의 존재를 알지 못하였다면 채권양도는 유효하게 되어 채무자로서는 양수인에게 양도금지특약을 가지고 그 채무이행을 거절할 수 없게 되어 양수인의 선의, 악의 등에 따라 양수채권의 채권자가 결정되는 바이다."
"이유","계약상대자가 채권양도를 하고자 하는 경우에는 미리 연대보증인 또는 공사이행보증서 발급기관의 동의를 얻어 발주기관의 서면승인을 받아야 한다고 규정되어 있는 바이다."
"이유","위 사실 및 기록에 비추어 살펴보면, 원심이 피고와 소외 주식회사 OOO 사이의 이 사건 도급계약 체결시 양도금지특약이 있었다고 본 것은 정당하고, 거기에 상고이유 주장과 같은 채증법칙 위반이나 법리오해 등의 위법이 있다고 할 수 없다."
"이유","채권양도금지특약에 반하여 채권양도가 이루어진 경우, 그 양수인이 양도금지특약이 있음을 알았거나 중대한 과실로 알지 못하였던 경우에는 채권양도는 효력이 없게 된다."
"이유","반대로 양수인이 중대한 과실 없이 양도금지특약의 존재를 알지 못하였다면 채권양도는 유효하게 되어 채무자로서는 양수인에게 양도금지특약을 가지고 그 채무이행을 거절할 수 없게 되어, 양수인의 선의, 악의 등에 따라 양수채권의 채권자가 결정되는 바이다."
"이유","그러한 경우에도 채무자로서는 양수인의 선의 등의 여부를 알 수 없어 과연 채권이 적법하게 양도된 것인지에 관하여 의문이 제기될 여지가 충분히 있으므로 특별한 사정이 없는 한 민법 제487조 후단의 채권자 불확지를 원인으로 하여 변제공탁을 할 수 있다고 할 것이다."
"이유","피고가 위 5,000만 원을 포함한 공사 잔대금 채무 모두를 압류의 경합을 이유로 민사소송법 제581조에 따라 집행공탁하였다고 하더라도 이는 피고가 적시한 공탁원인에 관계없이 위 변제공탁과 집행공탁을 모두 포함한 의미의 공탁을 하였다고 할 것이다."
"이유","이것만 가지고 피고가 OOO와 원고 사이의 위 채권양도양수행위를 추후 승인하였다고 단정하기 어렵다고 판단하여 원고의 위 주장을 배척하면서 피고의 위 5,000만 원의 공사대금채무는 피고의 적법한 변제공탁으로써 바로 소멸하였다고 보았는 바이다."
"이유","위에서 본 법리 및 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정 및 판단은 정당한 것으로 수긍이 된다."
"이유","거기에 상고이유로서 주장하는 바와 같은 채증법칙 위반이나 변제공탁에 관한 법리오해 등의 위법이 있다고 할 수 없다."
"이유","그러므로 상고를 기각하고, 상고비용은 패소자의 부담으로 하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
