"판시사항","집합건물의 하자보수에 갈음한 손해배상청구권의 소멸시효기간의 기산일 보증기간을 10년으로 한 공동주택의 내력구조부에 대한 의무하자보수보증계약에 있어 보증대상의 범위"
"판결요지","구 주택건설촉진법 시행령제43조의5 제1항 제1호 (가)목에서는, 주택사업공제조합이 행할 수 있는 하자보수보증을 의무하자보수보증과 장기하자보수보증으로 구분하고, 의무하자보수보증을 ‘구 공동주택관리령제16조’의 규정에 의한 하자보수의무기간 중 발생한 하자의 보수에 대한 보증이라고 규정하고 있을 뿐이다."
"판결요지","구 주택건설촉진법 제38조 제16항 및 그에 따른 구 공동주택관리령 제16조의2의 규정에 의한 하자의 보수에 대한 보증으로 되어 있지 아니한다."
"판결요지","구 공동주택관리령 제16조와 그에 따른 시행규칙에서는 보증기간을 10년 내지 5년이라고만 규정하고 있을 뿐 그 범위를 주택이 무너졌거나 무너질 우려가 있는 경우로 한정하고 있지 않다."
"판결요지","그러므로 보증기간을 10년으로 하여 이루어진 공제조합의 의무하자보수보증의 보증대상은 결국 내력구조부에 발생한 모든 하자라고 봄이 상당하다."
"판결요지","사업주체가 공동주택의 사용검사권자에게 사용검사신청서를 제출하면서 주택사업공제조합으로부터 하자보수보증서를 발급받아 이를 예치한 경우, 그 하자보수보증서에 의하여 보증대상이 되는 하자의 보수책임기간도 사용검사일로부터 구 공동주택관리규칙제11조 제1항에 규정된 바와 같이 각 세부항목별로 그 규정하는 기간으로 한정된다고 보아야 한다."
"판결요지","그 이후에 발생한 하자는 비록 그것이 하자보수보증서에 기재된 보증기간 내에 발생하였다 할지라도 그 보증대상이 되지 않는다고 보아야 한다."
"이유","항소심에 이르러 소가 교환적으로 변경된 경우에는 구 청구는 취하되어 그에 해당하는 제1심판결은 실효되고 신 청구만이 항소심의 심판대상이 되는 것이므로, 제1심이 원고의 청구를 일부 인용한 데 대하여 쌍방이 항소하였다."
"이유","항소심이 제1심이 인용한 금액보다 추가로 인용하는 경우, 항소심은 제1심판결 중 항소심이 추가로 인용하는 부분에 해당하는 원고 패소부분을 취소한다거나 피고의 항소를 기각한다는 주문표시를 하여서는 아니 된다."
"이유","원심 판시와 같은 하자에 대하여 하자보수에 갈음하는 손해배상을 구하는 이 사건 소를 제기하였다가, 원심에 이르러 원고가 관리하는 아파트의 구분소유자들로부터 하자보수에 갈음하는 손해배상청구권을 양수받은 후 그 양수금 청구만을 하는 것으로 소를 교환적으로 변경하였음을 알 수 있다."
"이유","제1심판결 중 원심이 추가로 인용하는 부분에 해당하는 원고 패소부분을 취소하거나 피고의 항소를 기각한다는 주문표시를 한 것은 잘못이다."
"이유","원심은 그 청구 가운데 일부만 인용하고 있고, 그와 같은 소송과정은 위 피고들의 항쟁 때문임이 명백함에도 불구하다."
"이유","원심은 그 인용한 금액 중 제1심판결의 인용부분에 대하여는 위 피고들이 제1심판결 선고일까지만 항쟁함이 상당하다고 판단하였는 바이다."
"이유","소송촉진 등에 관한 특례법 제3조 제2항의 적용범위에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
"이유","민법 제667조가 정하는 수급인의 하자보수에 갈음하는 손해배상채무는 이행의 기한이 없는 채무로서 이행청구를 받은 때부터 지체책임이 있다."
"이유","원심판결 이유에 의하면, 원심은, 위 피고들에 대하여, 원고가 제1심에서 제출한 청구취지 변경신청서가 송달된 다음날부터 지연손해금을 가산하고 있다."
"이유","원심의 위와 같은 조치에는 이행의 기한이 없는 채무의 지체책임의 기산일에 대한 법리를 오해하여 판결에 영향을 미친 위법이 있다."
"이유","집합건물의 소유 및 관리에 관한 법률부칙 제6조는, 집합주택의 관리방법과 기준에 관한 주택법의 특별한 규정은 그것이 집합건물법에 저촉하여 구분소유자의 기본적인 권리를 해하지 않는 한 효력이 있으나 다만 공동주택의 담보책임 및 하자보수에 관하여는 주택법 제46조의 규정이 정하는 바에 따른다고 규정하고 있다."
"이유","개정 주택법 부칙 제3항이 헌법재판소 2008. 7. 31. 선고 2005헌가16 결정에 의하여 위헌 무효라고 선언됨으로써 그 효력이 상실되었다."
"이유","개정 집합건물법 부칙 제6조 시행 이전에 사용검사 또는 사용승인을 받은 공동주택에 관하여 그 구분소유자가 집합건물법에 따라 하자보수에 갈음하는 손해배상을 청구하는 경우에는 그 담보책임 및 하자보수에 관하여 개정 주택법 제46조를 적용할 수 없다."
"이유","집합건물법 제9조 및 그에 의해 준용되는 민법 제667조 내지 제671조에 따라 하자담보책임의 내용 및 범위가 결정된다 할 것이다."
"이유","기록에 의하면 원고는 이 사건 아파트의 분양자인 위 피고들을 상대로집합건물법 제9조에 의하여 하자보수에 갈음하는 손해배상을 청구하고 있음이 분명하다."
"이유","민법 제671조에서 정한 하자보수 및 그에 갈음한 손해배상청구권은 내력구조부에 발생한 모든 하자를 대상으로 하는 것이므로, 같은 취지의 원심의 판단은 결론에 있어서 정당하다."
"이유","상고이유는 이 사건 아파트의 하자보수 및 담보책임에 관하여 집합건물법의 적용이 배제되고 개정 주택법 규정만이 적용된다는 전제하에 원심판결을 탓하는 것에 불과하여 받아들일 수 없다."
"이유","원심은, 그 채용증거에 의하여 그 판시와 같은 사실을 인정한 후, 그 판시와 같은 이유로 이 사건 아파트에 그 판시와 같은 하자가 있고, 그에 대하여 그 판시와 같은 보수가 필요하다고 판단하였다."
"이유","원심판결 이유를 기록에 비추어 살펴보면, 원심의 위와 같은 사실인정과 판단은 정당한 것으로 수긍할 수 있다."
"이유","거기에 상고이유에서 주장하는 바와 같은 채증법칙 위배로 인한 사실오인의 위법 등이 있다고 할 수 없다."
"이유","이 사건 아파트 구분소유자들이 그로부터 10년이 경과하기 전인 2007. 7.경부터 2007. 9. 11.까지 사이에 원고에게 위 피고들에 대하여 가지는 손해배상채권을 양도함으로써 그 권리를 행사하여 소멸시효의 진행을 중단하였다."
"이유","구분소유자들은 상사소멸시효가 완성되기 전으로 원고의 이 사건 소 제기 당시인 2004. 12. 24. 원고를 통하여 자신들의 권리를 행사하고 출소기간을 준수하였다고 봄이 상당하다고 판단하였다."
"이유","위 법률 제9조에 의한 책임은 분양계약에 기한 책임이 아니라 집합건물의 분양자가 집합건물의 현재의 구분소유자에 대하여 부담하는 법정책임이다."
"이유","원심이 같은 취지에서 하자보수에 갈음한 손해배상청구권에 대하여 10년의 소멸시효가 적용된다고 본 것은 정당하고, 거기에 상고이유로 주장하는 바와 같은 법리오해의 위법이 있다고 할 수 없다."
"이유","2004. 12. 24. 소송이 제기된 이 사건 소로써 그 소멸시효가 중단되었다고 판단한 부분은 다음과 같은 이유에서 수긍하기 어렵다."
"이유","그리고 입주자대표회의가 자신의 권원에 기한 손해배상청구소송 계속 중에 양수금청구로 청구원인을 변경하면 이는 소의 추가적 혹은 교환적 변경으로서 위 변경신청서를 법원에 제출한 시점에 소제기의 효과가 발생하여 양수금청구의 소멸시효가 중단된다고 할 것이다."
"이유","소송 계속 중 입주자대표회의가 구분소유자들로부터 손해배상청구권을 양수하고 채권양도통지를 함으로써 최고의 효력이 생기고 그 통지시점으로부터 6월 이내에 청구취지 및 원인 변경신청서가 법원에 제출된 경우라면 위 채권양도통지 시점에 시효중단의 효력이 생겼다고 볼 수 있을 것이다."
"이유","또는 일단 시효완성 후에 채무자가 시효를 원용하지 아니할 것 같은 태도를 보여 권리자로 하여금 그와 같이 신뢰하게 하였거나, 채권자보호의 필요성이 크다."
"이유","원심이 들고 있는 사정만으로 위와 같은 특별한 사정이 있다고 보아 소멸시효 중단일을 달리 해석할 수도 없다."
"이유","법원이, 손해배상책임을 인정하면서, 제반 사정을 참작하여 손해분담의 공평이라는 손해배상제도의 이념에 비추어 그 손해배상액을 제한하는 경우, 그 책임감경사유에 관한 사실인정이나 그 비율을 정하는 것은 그것이 형평의 원칙에 비추어 현저히 불합리하다고 인정되지 않는 한 사실심의 전권사항에 속한다."
