"판시사항","대항력을 갖춘 임차권의 목적인 주택이 양도되어 양수인이 임대인의 지위를 승계한 경우, 양도인의 임대보증금반환채무가 소멸하는지 여부"
"이유","소외 6이 있었던 사실, 망인은 사망하기 전 주택인 이 사건 부동산을 소유하고 있었는데, 2006. 4.경 소외 5의 처인 피고에게 이 사건 부동산을 증여했다."
"이유","2006. 5. 9. 피고 명의로 소유권이전등기를 마쳐 준 사실, 사망 당시 망인은 이 사건 부동산 이외에 다른 재산은 없었다."
"이유","그러나 원심이 망인의 임대차보증금반환채무가 상속채무에 해당함을 전제로 원고 등의 각 유류분 부족액을 산정한 조치는 다음과 같은 이유로 수긍할 수 없다."
"이유","주택의 임차인이 제3자에 대한 대항력을 갖춘 후 임차주택의 소유권이 양도되어 그 양수인이 임대인의 지위를 승계하는 경우에는, 임대차보증금의 반환채무도 부동산의 소유권과 결합하여 일체로서 이전하는 것이므로 양도인의 임대인으로서의 지위나 보증금반환채무는 소멸하는 것이다."
"이유","소외 9에게 임대차보증금 2,400만 원에 각 임대함으로써 합계 8,500만 원의 임대차보증금반환채무를 부담하고 있는 상태에서 피고에게 이 사건 부동산을 증여하였음을 알 수 있다."
"이유","그렇다면, 앞서 본 법리에 비추어, 증여로 인하여 이 사건 부동산의 소유권이 피고에게 양도됨으로써 피고는 임대인의 지위를 승계하였다 할 것이다."
"이유","이 경우 임대차보증금반환채무도 부동산의 소유권과 결합하여 일체로서 이전하게 되어 망인의 임대인으로서의 지위나 임대차보증금반환채무는 소멸하였다고 할 것이다."
"이유","따라서 원고 등의 유류분 부족액을 산정함에 있어 위와 같은 망인의 임대차보증금반환채무를 상속채무에 포함시켜서는 안 될 것이다."
"이유","그럼에도 불구하고 원심은, 원고 등의 유류분 부족액을 산정함에 있어 위와 같은 망인의 임대차보증금반환채무가 상속채무임을 전제로, 원고 등의 각 순상속분액을 -1,000만 원으로 산정한 다음, 원고 등의 각 유류분액 6,764,705원에서 위 순상속분액을 뺀 16,764,705원을 원고 등의 각 유류분 부족액이라고 판단하였다."
"이유","원심판결에는 대항력 있는 주택임대차에 있어서 임차주택이 양도된 경우의 임대인의 지위에 관한 법리를 오해한 나머지 유류분 부족액을 잘못 산정한 위법이 있다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
