"판시사항","연립주택 2동의 건물외부에 표시된 ""가""동과 ""나""동의 실제표시가 등기부에 뒤바뀌어 표시된 경우 등기부의 표시와 실제건물과의 사이에 동일성이 인정되는지 여부"
"판결요지","건물에 관한 소유권보존등기가 당해 건물의 객관적, 물리적 현황을 공시하는 등기로서 효력이 있는 것인지의 여부는, 등기부에 표시된 소재, 지번, 종류, 구조와 면적 등이 실제건물과 간에 사회통념상 동일성이 인정될 정도로 합치되는지의 여부에 따라 결정된다."
"이유","원심은, 천안시 OOO 350의 15 지상에 22평형 8세대로 된 연립주택이 좌우로 건립되어 있는데, 전체의 구조나 면적과 세대별 구조나 면적이 똑같은 사실, 위 연립주택 2동을 건축한 건축업자가 연립주택들을 분양할 때 오른쪽 것을 ""가""동으로, 왼쪽 것을 ""나""동으로 각기 표시하여 분양하였다."
"이유","현재도 연립주택 건물들의 외부에 그렇게 표시되어 있는 사실, 위 연립주택 2동에 관하여 당초의 설계도면에는 ""가""동, ""나""동이 표시되어 있지 않았는데, 건축사가 잘못하여 현장의 실제 건물표시와는 달리 ""가"", ""나""동을 바꾸어 신청함으로써 건축물관리대장에 실제 건물표시와 달리 ""가, ""나""동이 서로 바뀌어 등재되게 되었다."
"이유","건축사가 잘못하여 현장의 실제 건물표시와는 달리 ""가"", ""나""동을 바꾸어 신청함으로써 건축물관리대장에 실제 건물표시와 달리 ""가, ""나""동이 서로 바뀌어 등재되게 되었다."
"이유","동 표시에 있어서 현저한 차이가 있으니, 양자 사이에 사회관념상 동일성 또는 유사성이 있다고 보기 어렵다."
"이유","따라서 ""가""동 104호로 표시, 등재된 위 소외인 명의의 소유권보존등기와 이에 터잡은 원고 명의의 소유권이전등기는 이 사건 연립주택인 ""나""동 104호를 표상하는 유효한 등기하고 할 수 없다."
"이유","위와 같이 소유권보존등기와 소유권이전등기가 되어 있다고 하더라도 그것에 의하여 이 사건 연립주택이 원고의 소유라는 추정력은 생기지 아니한다고 판단하였다."
"이유","건물에 관한 소유권보존등기가 당해 건물의 객관적, 물리적인 현황을 공시하는 등기로서 효력이 있는 것인지의 여부는, 등기부에 표시된 소재, 지번, 종류, 구조와 면적 등이 실제건물과 간에 사회통념상 동일성이 인정될 정도로 합치되는지의 여부에 따라 결정되는 것인 바이다."
"이유","연립주택 ""가"" 동 104호에 관한위 소유권보존등기가 왼쪽 연립주택 ""나""동 104호를 표상하는 등기로서 효력이 없는 것이라고 단정할 수는 없다."
"이유","만일 위 소외인이 실제로 왼쪽 연립주택 ""나""동 104호의 소유권자로부터 권리를 취득하여 자신의 명의로 소유권보존등기를 한 것인데 등기부의 표시란에 ""가""동 104호로 기재된 것이라면, 그 등기에 의하여 왼쪽 연립주택 ""나""동 104호가 위 소외인의 소유로 추정될 수도 있는 것이다."
"이유","원심은 이 점에 관하여는 제대로 심리도 하지 아니한 채 위와 같이 판단하였으니, 원심판결에는 심리를 제대로 하지 못하였거나 소유권보존등기의 효력에 관한 법리를 오해한 위법이 있다고 하지 않을 수 없다."
"이유","이와 같은 위법은 판결에 영향을 미친 것임이 명백하여 소송촉진등에관한특례법 제12조 제2항 소정의 파기사유에 해당하므로 이 점을 지적하는 논지는 이유가 있다."
"이유","그러므로 원심판결을 파기하고, 다시 심리판단하게 하기 위하여 사건을 원심법원에 환송하기로 관여 법관의 의견이 일치되어 주문과 같이 판결한다."
