"판시사항","교회의 대표자가 교인총회의 결의를 거치지 아니하고 교회 재산을 처분한 행위에 대하여 민법 제126조의 표현대리에 관한 규정을 준용할 수 있는지 여부"
"판결요지","기독교 단체인 교회에 있어서 교인들의 연보, 헌금 기타 교회의 수입으로 이루어진 재산은 특별한 사정이 없는 한 그 교회 소속 교인들의 총유에 속한다."
"판결요지","따라서 그 재산의 처분은 그 교회의 정관 기타 규약에 의하거나 그것이 없는 경우에는 그 교회 소속 교인들로 구성된 총회의 결의에 따라야 한다."
"판결요지","비법인사단인 교회의 대표자는 총유물인 교회 재산의 처분에 관하여 교인총회의 결의를 거치지 아니하고는 이를 대표하여 행할 권한이 없다."
"판결요지","그리고 교회의 대표자가 권한 없이 행한 교회 재산의 처분행위에 대하여는 민법 제126조의 표현대리에 관한 규정이 준용되지 아니한다."
"이유","취득시효 완성 주장에 대하여 상속에 의하여 점유권을 취득한 경우 상속인은 새로운 권원에 의하여 자기 고유의 점유를 개시하지 아니 하는 한 피상속인의 점유를 떠나 자신만의 점유를 주장할 수 없다."
"이유","그리고 부동산의 점유취득시효에 있어서 그 기간의 기산점이 원칙적으로 시효취득의 기초가 되는 점유가 개시된 시점이 되고, 당사자가 이를 임의로 선택할 수 없다."
"이유","또한 그 기산점을 기초로 취득시효가 일단 완성된 후에 제3자가 소유권이전등기를 마친 경우에는 그 사람에 대하여 취득시효의 완성으로 대항할 수 없다."
"이유","원심은 채택증거를 종합하여 판시와 같은 사실을 인정한 다음, 이 사건 각 부동산에 대한 취득시효의 기산점은 원고의 조부 소외 1이 점유를 개시한 1948. 6. 11.이고, 그로부터 20년이 경과한 1968. 4. 11. 원고의 점유취득시효가 완성되었다."
"이유","위 취득시효 완성을 원인으로 한 소유권이전등기가 마쳐지지 아니한 사이에 1980. 9. 24. 소외 2 등 3인의 명의로 소유권보존등기가 마쳐지고 이어서 1995. 6. 21. 피고의 명의로 소유권이전등기가 마쳐졌다."
"이유","기독교 단체인 교회에 있어서 교인들의 연보, 헌금 기타 교회의 수입으로 이루어진 재산은 특별한 사정이 없는 한 그 교회 소속 교인들의 총유에 속한다."
"이유","따라서 그 재산의 처분은 그 교회의 정관 기타 규약에 의하거나 그것이 없는 경우에는 그 교회 소속 교인들로 구성된 총회의 결의에 따라야 한다."
"이유","원심은 피고 교회가 비법인사단에 해당한다고 전제한 다음, 교회 재산의 처분에 관하여 피고의 정관이나 기타 규약에 정함이 없고, 피고 교회가 속한 OOO 총회의 헌법이 피고 교회 교인총회의 결의를 대신한다고 볼 수도 없다."
"이유","원심판결에는 상고이유의 주장과 같은 채증법칙 위배로 인한 사실오인, 교회 재산의 처분에 관한 법리오해 등의 위법이 없다."
"이유","비법인사단인 교회의 대표자는 총유물인 교회 재산의 처분에 관하여 교인총회의 결의를 거치지 아니하고는 이를 대표하여 행할 권한이 없다."
"이유"," 그리고 교회의 대표자가 권한 없이 행한 교회 재산의 처분행위에 대하여는 민법 제126조의 표현대리에 관한 규정이 준용되지 아니한다."
"이유","원심이 같은 취지에서 이 사건 제2, 제3 부동산에 관한 원고의 표현대리 주장을 받아들이지 아니한 조치는 정당하다."
"이유","원심은, 피고 교회가 교인총회의 결의가 없었다는 이유로 당회의 결의를 거친 이 사건 매매계약이 무효라고 주장하는 것이 신의성실의 원칙을 위반하였거나 권리남용에 해당한다고 볼 수 없다고 판단하였다."
