"판시사항","기간을 정하여 체결한 근로계약에서 근로자에게 근로계약이 갱신될 수 있으리라는 정당한 기대권이 인정되는 경우, 기대권에 반하는 사용자의 부당한 근로계약 갱신 거절의 효력"
"이유","기간을 정하여 근로계약을 체결한 근로자의 경우 그 기간이 만료됨으로써 근로자로서의 신분관계는 당연히 종료되고 근로계약을 갱신하지 못하면 갱신거절의 의사표시가 없어도 그 근로자는 당연 퇴직되는 것이 원칙이다."
"이유","원심판결 이유를 채택된 증거들에 비추어 살펴보면, 원심이 그 판시와 같은 이유를 들어 원고에게 근로계약 갱신에 대한 정당한 기대권이 인정된다고 판단한 것은 위 법리에 기초한 것으로서 정당하다."
"이유","거기에 상고이유 주장과 같이 채증법칙을 위반하여 사실을 오인하거나 근로계약 갱신의 기대권에 관한 법리를 오해한 잘못이 없다."
"이유","원심은, 피고가 2012년 기본계획 등에서 외부용역사업 위주로 기존의 인문정책연구사업의 방향을 변경한 것의 합리적 필요성을 인정하기 어렵다."
"이유","피고가 갱신거절을 피하기 위한 합리적 노력을 충분히 하였다고 보기 어렵다는 등 그 판시와 같은 이유를 들어 피고가 원고에 대한 근로계약 갱신을 거절한 것은 효력이 없다고 판단하였다."
"이유","피고는 정부출연연구기관 등의 설립·운영 및 육성에 관한 법률에 의하여 설립되어 경제·인문사회분야의 정부출연연구기관을 지원, 육성하고 체계적으로 관리하는 업무 등을 영위하는 법인이다."
"이유","그 모집 공고에는 박사학위 취득 후 연구기관 등에서 3년 이상 경력을 가진 자, 인문학 전공자로서 정책연구 수행이 가능한 자 등으로 응시자격이 제한되어 있었고, ‘합격자는 2008년 12월 말까지 계약직으로 임용하고 평가결과에 따라 재임용 여부를 결정한다’고 기재되어 있었다."
"이유","원고는 위 모집에 지원하여 계약직 연구전문위원으로 채용되었고, 그 무렵 피고와 계약기간을 2008. 4. 7.부터 2008. 12. 31.까지로 하는 고용계약을 체결하였다."
"이유","이에 피고는 2012. 1. 20.경 원고에게 ‘원고가 재계약 체결을 거절하였으므로 원고와 피고 사이의 고용계약은 2011. 12. 31. 그 계약기간이 만료되어 종료되었다’는 취지의 통지를 하였다."
"이유","한편 피고는 2012. 3.경 2012년도 인문정책연구사업 기본계획서에서 2002년 이후로 본연의 업무인 외부공모사업보다 간행물 제작·발간과 같은 내부사업과 자체 연구업무 수행 등으로 사업추진역량이 분산되어 인문정책연구사업의 성과가 부진하였다고 평가한 다음, 내부사업과 자체 연구업무를 축소하는 대신 외부전문기관의 연구수행 규모를 확대하기로 정책방향을 변경하기로 하였다."
"이유","이에 따라 예산 항목 중 2011년 8%에 불과하였던 외부용역비 비율을 2012년에는 90%로 대폭 증가시키고, 자체 연구수행 및 정기간행물 발간사업은 폐지하는 방향으로 사업계획을 수립하였다."
"이유","이러한 사실관계와 함께 채택된 증거들에 의하여 인정되는 다음과 같은 사정들, 즉 ① 피고는 경제·인문사회분야의 정부출연연구기관을 지원, 육성하고 체계적으로 관리하는 것을 목적으로 설립된 법인인 점이다."
"이유","피고는 2002년경부터 자체 연구업무 등 내부사업을 확대하여 왔으나 2010년 국회 정무위원회의 국정감사에서 ‘피고는 정부출연연구기관을 지원하는 업무를 목적으로 설립되었으므로 자체 연구업무가 아닌 연구지원업무를 주로 수행하여야 한다’는 지적을 받은 점이다."
"이유","이에 피고는 2012년경 그동안 자체 연구업무 등 내부사업을 확대하였으나 그 성과가 부진하였다고 진단한 다음 외부전문기관의 연구수행 규모를 대폭 확대하고 정기간행물 발간사업은 폐지하는 방향으로 사업계획을 수립한 점이다."
"이유","피고는 이와 같은 사업계획에 따라 내부사업을 축소·폐지하는 과정에서 자체 연구업무를 주로 담당하던 원고와의 계약갱신을 거절한 것으로 보이는 점이다."
"이유","피고는 이 사건 갱신거절에 앞서 원고에게 평가관리실 산하 평가팀에 신설되는 국책연구기관의 연구윤리 준수에 대한 평가 업무를 맡을 것을 제안하였으나 원고가 이를 거절한 점이다."
"이유","이 사건 당시 원고는 간행물 발간, 용역연구과제 및 국제학술행사 기획 등의 업무에도 관여하였던 것으로 보이지만 주된 업무는 자체 연구업무였던 것으로 보인다."
"이유","자체 연구업무 외에 원고가 관여하였던 다른 업무는 전문연구위원으로 채용된 원고가 아닌 일반 직원이 담당할 수 있을 것으로 보이는 점이다."
"이유","원고는 2010년 근무평정에서 다른 계약직 직원보다 낮은 점수를 받았는데 그러한 평가가 객관적 합리성이나 공정성을 결여하였다고 볼 만한 자료가 없는 점 등을 종합하여 보면, 피고가 원고에 대한 근로계약 갱신을 거절한 데에는 합리적인 이유가 있다고 볼 여지가 충분하다."
"이유","그럼에도 원심은 그 판시와 같은 사정만을 들어 이 사건 갱신거절은 합리성이 결여되어 무효라고 단정하였으니, 이러한 원심판결에는 기간의 정함이 있는 근로계약에 대한 갱신거절의 정당성에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다."
"이유","그러므로 원심판결 중 피고 패소 부분을 파기하고, 이 부분 사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여, 관여 대법관의 일치된 의견으로 주문과 같이 판결한다."
