"판시사항","임용기간 만료 후 4개월 동안 교수로서 직무를 수행하도록 하고 봉급을 지급하였다면 묵시적 재임용계약이 체결되었다고 볼 수 있는지 여부"
"판결요지","구 사립학교법 제52조, 교육공무원법 제31조에 의하면 사립학교에서 외국인을 초빙교수로 임용할 수 있고, 이 경우 구 사립학교법 제53조의2 제2항에 따라 정규교수로 임용하는 경우와 동일한 임용기간을 정하여 임용하여야 하는 것은 아니라 할 것인 바이다."
"판결요지","당시 외국국적을 보유하고 있는 외국인의 신분으로 외국인교수채용에 관한 문교부의 지침에 따라 정규교수와는 달리 1년의 기간을 정하여 임용된 것이라면, 이러한 임용을 위한 계약은 그 성질상 사법상의 고용계약에 다름아닌 것임에 비추어 적법하다."
"판결요지","학교법인이 대학교원으로 하여금 임용기간이 만료된 후에도 4개월 동안 교수로서 직무를 수행하도록 하고 봉급을 지급하는 등 하였다는 이유만으로 묵시적으로 재임용계약이 체결되었다고 볼 수 없다."
"판결요지","따라서 기간을 정하여 임용된 대학교원이 그 임용기간의 만료에 따른 재임용의 기대권을 가진다고 볼 수 없다."
"판결요지","재임용 제외조치 및 통지는 임기만료로 당연퇴직되었음을 확인하고 알려주는 데 그칠 뿐 이로 인하여 그 교원과 학교법인 사이에 어떠한 법률효과를 발생하는 것도 아니다."
"이유","원심판결 이유에 의하면 원심은, 원고가 미국 국적을 가지고 있던 1981. 3. 2. 피고가 설치·운영하는 ○○대학교△△대학에 3년 임기의 조교수로 임용된 것을 시작으로 하여 1984. 3. 1.부터 4년 간의 임기로 재임용되었다가 1984. 10. 1. 5년 임기의 부교수로 임용되었다."
"이유","구 사립학교법 제53조의2 제2항에 의하면 대학교육기관의 교원은 직명별로 10년 이내의 범위 안에서 당해 학교법인의 정관이 정하는 바에 따라 기간을 정하여 당해 학교의 장이 임면한다고 규정되어 있다."
"이유","구 사립학교법 제52조, 교육공무원법 제31조에 의하면 사립학교에서 외국인을 초빙교수로 임용할 수 있고, 이 경우 구 사립학교법 제53조의2 제2항에 따라 정규교수로 임용하는 경우와 동일한 임용기간을 정하여 임용하여야 하는 것은 아니라 할 것인 바이다."
"이유","원고는 당시 외국국적을 보유하고 있는 외국인의 신분으로 외국인교수채용에 관한 문교부의 지침에 따라 정규교수와는 달리 1년의 기간을 정하여 임용된 것이다."
"이유","같은 취지의 원심의 판단은 정당하고 거기에 소론과 같은 묵시적 의사표시에 관한 법리를 오해하거나 신의성실의 원칙을 위반한 위법이 없다."
