"판시사항","수목의 절단과 토석의 굴취로 임야가 훼손된 사안에서, 그 수목의 대체비용과 사방공사비용이 모두 통상손해라고 본 사례"
"판결요지","소송비용의 재판에 대한 불복은 본안의 재판에 대한 상소의 전부 또는 일부가 이유 있는 경우에 한하여 허용되고, 본안의 상소가 그 이유가 없는 경우에는 허용되지 아니한다."
"판결요지","임야의 소나무가 절단됨으로써 산림이 훼손되고 그로 인하여 비가 올 경우에 흙이 무너져 내리고 심할 경우 산사태가 날 가능성까지 있는 경우에는, 대체교환이 가능한 소나무에 대한 대체비용과 산사태 등을 방지하기 위한 사방공사비용이 모두 원상회복에 필요한 비용으로서 통상의 손해액이라고 한 사례."
"판결요지","일반적으로 불법행위로 인한 손해는 물건이 멸실되었을 때에는 멸실 당시의 시가를, 물건이 훼손되었을 때에는 수리 또는 원상회복이 가능한 경우에는 수리비 또는 원상회복에 드는 비용을, 수리 또는 원상회복이 불가능하거나 그 비용이 과다한 경우에는 훼손으로 인하여 교환가치가 감소된 부분을 통상의 손해로 보아야 한다."
"이유","기록에 비추어 살펴보면, 원심이 그 거시 증거에 의하여 피고가 훼손한 그 판시 이 사건 임야의 면적이 426㎡이다."
"이유","이에 반하는 내용의 소론 사실조회 결과를 배척한 것은 정당한 것으로 수긍이 되고 거기에 논지가 지적하는 바와 같이 경험칙 및 채증법칙에 위배하여 사실을 오인한 위법이 있다고 할 수 없다."
"이유","불법행위로 인한 손해는 특별한 사정이 없는 한 불법행위 당시를 표준으로 하여 그 손해액을 결정하여야 하므로, 원심이 피고의 이 사건 불법행위 당시인 1987년을 기준으로 훼손임야에 대한 복구비용을 산정한 것은 정당하고, 거기에 소론과 같이 손해배상액 산정의 법리를 오해한 위법이 없다."
"이유","기록에 비추어 살펴보면, 원심의 위와 같은 사실인정 및 판단은 정당한 것으로 수긍할 수 있고, 거기에 소론이 지적하는 바와 같은 위법이 있다고 할 수 없다."
"이유","또 사방공사비로서 교통호 복구비를 별도로 인정하는 터이므로 위 산죽 등 복구비를 따로 인정하지 아니한다는 취지로 판단하고 있는 바이다."
"이유","임야의 교환가격에 다소 영향이 있다고 하더라도 교통호의 사방공사비를 인정하는 터이고 그 공사에 의하여 위 훼손된 산죽 등이 복구될 수 있고 임야의 교환가격도 원래대로 회복될 수 있으므로 따로 손해의 배상을 인정할 필요가 없다는 취지로 보인다."
"이유","이는 기록에 비추어 보면, 정당한 것으로 수긍할 수 있으므로, 이 부분에 관한 원심의 판단을 다투는 논지는 받아들일 수 없다."
"이유","그리고 소송비용의 재판에 대한 불복은 본안의 재판에 대한 상고의 전부 또는 일부가 이유 있는 경우에 한하여 허용된다."
"이유","본안의 상고가 그 이유가 없는 경우에는 허용되지 아니한다 할 것이므로, 원고의 상고논지가 위와 같이 전부 이유 없는 이상 원심의 소송비용의 부담에 대한 재판을 다투는 논지도 받아들일 수 없다."
"이유","대체교환이 가능한 소나무에 대한 대체비용과 산사태 등을 방지하기 위한 사방공사비용이 모두 원상회복에 필요한 비용으로서 통상의 손해액이라고 할 것이다."
"이유","원심의 위와 같은 인정 및 판단은 정당한 것으로 수긍할 수 있고, 거기에 소론과 같이 심리를 다하지 아니하거나 채증법칙을 위배하여 사실을 그릇 인정하거나 손해배상 책임의 발생 및 그 범위에 관한 법리를 오해한 위법이 있다고 할 수 없다."
"이유","그러므로 상고를 모두 기각하고 상고비용은 각 패소자의 부담으로 하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
