"판시사항","귀속재산의 매수인이 소유권을 취득하기 위한 요건 및 그 대금이 완납된 후 국가가 당해 귀속재산을 다시 타에 매각한 처분의 효력"
"판결요지","환지처분이 일단 확정되어 효력을 발생한 후에는 이를 소급하여 시정하는 뜻의 환지변경처분은 이를 할 수 없다."
"판결요지","그러한 환지변경의 절차가 필요할 때에는 그를 위하여 환지 전체의 절차를 처음부터 다시 밟아야 하며 그 일부만을 따로 떼어 환지처분을 변경할 수 없음은 물론, 그러한 절차를 밟지 아니하고 한 환지변경처분은 무효이다."
"판결요지","합동환지처분으로 공유관계가 성립된 경우 그 지분 비율은 단지 종전 토지의 지적만을 기준으로 할 것이 아니고, 환지와 종전 토지와의 관계, 위치, 지목, 등위, 이용도, 토질, 환경 등 여러 사정을 참작하여 결정된다."
"이유","원심판결의 이유에 의하면, 원심은 거시 증거에 의하여, 환지 전 서울 동대문구 OOO동 대 992평 및 대 1,770평은 원래 귀속재산으로서 대한민국의 소유였다."
"이유","1960. 5. 31. 원고에게도 같은 방법으로 그 점유 부분을 특정하고 그 위치 및 지적을 위 대 30평으로 표시하여 그 대금을 3년간 분할상환 조건으로 매각한 사실이다."
"이유","위 대 35.7㎡로 환지된 토지는 당초 피고가 매수한 위 ㉯부분에 해당하는 위 분할 전 일부 토지일 뿐 피고가 위 매수 토지를 특정함에 있어 착오로 잘못 신청·등재한 위 대 21평을 표상하는 것으로 볼 수 없다고 판단하여, 이를 배척하였다."
"이유","환지처분이 일단 확정되어 효력을 발생한 후에는 이를 소급하여 시정하는 뜻의 환지변경처분은 이를 할 수 없다."
"이유","그러한 환지변경의 절차가 필요할 때에는 그를 위하여 환지 전체의 절차를 처음부터 다시 밟아야 하며 그 일부만을 따로 떼어 환지처분을 변경할 수 없음은 물론, 그러한 절차를 밟지 아니하고 한 환지변경처분은 무효이다."
"이유","그러함에도 원심은 건설부장관의 인가 등과 같은 환지절차를 새로이 밟았는지에 관하여 아무런 심리도 하지 아니한 채 이러한 환지처분정정처분이 적법·유효한 것임을 전제로 하여 피고가 위 합필 전대 35.7㎡를 환지받아 그 소유권을 확정적으로 취득한 것으로 판단하였는 바이다."
"이유","거기에는 확정된 환지처분을 정정하는 절차에 관한 법리를 오인한 나머지 그 효력에 관한 심리를 다하지 아니한 위법이 있다고 할 것이다."
"이유","매수자가 매수대금을 완납하여 그 소유권을 확정적으로 취득한 연후에 있어서는 대한민국은 그 재산을 처분할 권한을 보유하는 것이라고는 볼 수 없으므로 대한민국이 이를 다시 매각하였다면, 이는 전연 권한 없는 기관에 의한 매각처분으로서 당연무효의 처분이 된다."
"이유","환지처분의 효과로서 환지는 그 환지처분의 공고한 날의 익일부터 이를 종전의 토지로 보게 되므로 종전의 토지소유자는 환지등기가 없어도 그 날부터 종전 토지에 대한 소유권을 상실함과 동시에 새로 부여된 환지의 소유권을 취득했다."
"이유","1필지의 토지를 공유하는 자는 누구를 막론하고 그 중 일부 토지를 배타적으로 사용할 수는 없으므로, 결국 종전 토지의 특정 부분 소유자들도 그 토지가 합동환지된 후에는 그에 대하여 공유지분권만을 주장할 수 있을 뿐 그 중 일부를 배타적으로 점유사용할 수 없다."
"이유","합동환지처분으로 공유관계가 성립된 경우 그 지분 비율은 단지 종전 토지의 지적만을 기준으로 할 것이 아니다."
"이유","환지와 종전 토지와의 관계, 위치, 지목, 등위, 이용도, 토질, 환경 등 여러 사정을 참작하여 결정된다고 할 것이다."
"이유","그 후 대한민국은 종전 토지를 기준으로 정밀측량을 실시하여 그 매각 부분의 지적을 위 토지에서 분할된 위 대 21평 및 위 토지에서 분할된 위 대 15평으로 정정한 다음 1967년 5월경 원고로부터 그 대금 전액을 납부받았는 바이다."
"이유","따라서, 만일 합필 후 대 89.3㎡ 중 위 ㉯표시 부분이 환지 후 위 토지 중 일부라면, 그 토지 부분에 관하여도 원고는 종전 토지인 위 토지에 상응하는 공유지분을 가진다고 할 것이다."
"이유","거기에는 합동환지처분의 효력 및 환지확정 후 귀속재산인 종전 토지에 관한 매각처분의 정정 조치의 법리를 오해한 나머지 토지 소유권 귀속에 관한 심리미진 내지는 채증법칙 위배로 인한 사실오인의 위법이 있다고 할 것이다."
"이유","그러나 실제로는 원고가 매수한 부분은 위 토지의 일부와 위 토지의 일부에 걸쳐 있었던 반면, 피고의 망부인 소외 1이 매수한 부분은 위 토지의 일부이었던 사실이다."
