"판시사항","임대차계약 종료 후 재계약을 하거나 임대차계약 종료 전 당사자의 합의로 차임 등이 증액된 경우 주택임대차보호법 제7조의 적용 여부"
"판결요지","처분문서는 그 성립의 진정함이 인정되는 이상 법원은 그 기재 내용을 부인할 만한 분명하고도 수긍할 수 있는 반증이 없는 한 그 처분문서에 기재되어 있는 문언대로의 의사표시의 존재 및 내용을 인정하여야 한다."
"판결요지","당사자 사이에 계약의 해석을 둘러싸고 이견이 있어 처분문서에 나타난 당사자의 의사해석이 문제되는 경우에는 문언의 내용, 그와 같은 약정이 이루어진 동기와 경위, 약정에 의하여 달성하려는 목적, 당사자의 진정한 의사 등을 종합적으로 고찰하여 논리와 경험칙에 따라 합리적으로 해석하여야 한다."
"판결요지","의사표시 해석에 있어서 당사자의 진정한 의사를 알 수 없다면, 의사표시의 요소가 되는 것은 표시행위로부터 추단되는 효과의사 즉, 표시상의 효과의사이고 표의자가 가지고 있던 내심적 효과의사가 아니므로, 당사자의 내심의 의사보다는 외부로 표시된 행위에 의하여 추단된 의사를 가지고 해석함이 상당하다."
"판결요지","주택임대차보호법 제7조에서 ""약정한 차임 또는 보증금이 임차주택에 관한 조세·공과금 기타 부담의 증감이나 경제사정의 변동으로 인하여 상당하지 아니하게 된 때에는 당사자는 장래에 대하여 그 증감을 청구할 수 있다."
"판결요지","그러나 증액의 경우에는 대통령령이 정하는 기준에 따른 비율을 초과하지 못한다.""고 정하고 있기는 하나, 위 규정은 임대차계약의 존속중 당사자 일방이 약정한 차임 등의 증감을 청구한 때에 한하여 적용된다."
"판결요지","임대차계약이 종료된 후 재계약을 하거나 또는 임대차계약 종료 전이라도 당사자의 합의로 차임 등이 증액된 경우에는 적용되지 않는다."
"이유","위 인정 사실에 의하면, 위와 같이 피고가 원고의 일방적인 임대차보증금 및 임대료 인상에 따르지 아니하였다고 하여 이를 이유로 위 임대차계약을 해지할 수 없다 할 것이다."
"이유","또한 위와 같이 인상된 임대차보증금 및 차임을 납부하지 않으면 계약갱신을 거절하겠다는 원고의 일방적인 통지 또한, 그 효력이 없다."
"이유","달리 원고가 별도로 위 임대차계약상 정해진 기간 내에 피고에게 위 계약갱신 거절의 통지를 하였음을 인정할 아무런 증거가 없으므로 결국, 위 임대차계약은 2000. 4. 29. 전 임대차계약과 동일한 조건으로 묵시적으로 갱신되어 2002. 4. 29.까지 존속한다고 판단하여 원고의 이 사건 청구를 배척하였다."
"이유","처분문서는 그 성립의 진정함이 인정되는 이상 법원은 그 기재 내용을 부인할 만한 분명하고도 수긍할 수 있는 반증이 없는 한 그 처분문서에 기재되어 있는 문언대로의 의사표시의 존재 및 내용을 인정하여야 한다."
"이유","당사자 사이에 계약의 해석을 둘러싸고 이견이 있어 처분문서에 나타난 당사자의 의사해석이 문제되는 경우에는 문언의 내용, 그와 같은 약정이 이루어진 동기와 경위, 약정에 의하여 달성하려는 목적, 당사자의 진정한 의사 등을 종합적으로 고찰하여 논리와 경험칙에 따라 합리적으로 해석하여야 한다."
"이유","임대주택법 제3조는 임대주택의 건설·공급 및 관리에 관하여 이 법에서 정하지 아니한 사항에 대하여는 주택건설촉진법 및 주택임대차보호법을 적용한다고 규정한다."
"이유","주택임대차보호법 제6조 제1항은 임대인이 임대차기간 만료 전 6월부터 1월까지에 임차인에 대하여 갱신거절의 통지 또는 조건을 변경하지 아니하면 갱신하지 아니한다는 뜻의 통지를 하지 아니한 경우에는 그 기간이 만료된 때에 전임대차와 동일한 조건으로 다시 임대차한 것으로 본다고 규정하고 있다."
"이유","위 통지 당시 그 임대차보증금 및 차임 인상분의 적정 여부는 원고의 이 사건 임대차계약 갱신거절의 의사표시 효력과는 아무런 관계가 없다 할 것이다."
"이유","원심은 채증법칙에 위배하여 사실을 오인하였거나 주택임대차계약의 묵시적 갱신에 관한 법리를 오해한 나머지 원고와 피고 사이에 이 사건 아파트에 관한 임대차계약이 묵시적으로 갱신되었다고 잘못 판단하였다 할 것이다."
"이유","사건을 다시 심리·판단하게 하기 위하여 원심법원에 환송하기로 하여 관여 법관의 일치된 의견으로 주문과 같이 판결한다."
